Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-11,0.0,0.0,0.0
2021-02-12,258.0,0.0,0.0
2021-02-13,258.0,0.0,0.0
2021-02-14,258.0,0.0,0.0
2021-02-15,258.0,0.0,0.0
2021-02-16,258.0,146.0,0.0
2021-02-17,435.0,0.0,0.0
2021-02-18,569.0,0.0,0.0
2021-02-19,720.0,0.0,0.0
2021-02-20,880.0,0.0,0.0
2021-02-21,1031.0,0.0,0.0
2021-02-22,1182.0,0.0,0.0
2021-02-23,1342.0,1200.0,0.0
2021-02-24,1911.0,0.0,0.0
2021-02-25,2480.0,0.0,0.0
2021-02-26,3048.0,3000.0,0.0
2021-02-27,3288.0,0.0,0.0
2021-02-28,3528.0,0.0,0.0
2021-03-01,3768.0,0.0,0.0
2021-03-02,4008.0,0.0,0.0
2021-03-03,3679.0,0.0,0.0
2021-03-04,3342.0,0.0,0.0
2021-03-05,3013.0,0.0,0.0
2021-03-06,3013.0,0.0,0.0
2021-03-07,3013.0,0.0,0.0
2021-03-08,3013.0,0.0,0.0
2021-03-09,3013.0,0.0,0.0
2021-03-10,3013.0,0.0,0.0
2021-03-11,3013.0,0.0,0.0
2021-03-12,3013.0,0.0,0.0
2021-03-13,3013.0,0.0,0.0
2021-03-14,3013.0,8424.0,0.0
2021-03-15,2817.0,8606.0,0.0
2021-03-16,2551.0,0.0,0.0
2021-03-17,2293.0,0.0,0.0
2021-03-18,2035.0,0.0,0.0
2021-03-19,1777.0,0.0,0.0
2021-03-20,1520.0,0.0,0.0
2021-03-21,1262.0,0.0,0.0
2021-03-22,1200.0,0.0,0.0
2021-03-23,1200.0,0.0,0.0
2021-03-24,1200.0,9821.0,0.0
2021-03-25,1093.0,0.0,0.0
2021-03-26,987.0,0.0,0.0
2021-03-27,889.0,0.0,0.0
2021-03-28,782.0,0.0,0.0
2021-03-29,675.0,10084.0,0.0
2021-03-30,578.0,0.0,0.0
2021-03-31,480.0,0.0,0.0
2021-04-01,489.0,0.0,0.0
2021-04-02,498.0,0.0,0.0
2021-04-03,498.0,10371.0,2.0
2021-04-04,524.0,0.0,0.0
2021-04-05,542.0,0.0,0.0
2021-04-06,560.0,0.0,0.0
2021-04-07,569.0,0.0,0.0
2021-04-08,587.0,10712.0,5.0
2021-04-09,711.0,10858.0,20.0
2021-04-10,658.0,0.0,0.0
2021-04-11,595.0,10891.0,20.0
2021-04-12,658.0,0.0,0.0
2021-04-13,720.0,0.0,0.0
2021-04-14,782.0,0.0,0.0
2021-04-15,844.0,0.0,0.0
2021-04-16,782.0,11388.0,109.0
2021-04-17,862.0,0.0,0.0
2021-04-18,942.0,0.0,0.0
2021-04-19,889.0,11537.0,194.0
2021-04-20,1182.0,0.0,0.0
2021-04-21,1466.0,0.0,0.0
2021-04-22,1760.0,11779.0,985.0
2021-04-23,2488.0,12121.0,1337.0
2021-04-24,2737.0,0.0,0.0
2021-04-25,2986.0,0.0,0.0
2021-04-26,3235.0,0.0,0.0
2021-04-27,3146.0,12445.0,2105.0
2021-04-28,3244.0,0.0,0.0
2021-04-29,3342.0,12666.0,2731.0
2021-04-30,2755.0,0.0,0.0
2021-05-01,2693.0,0.0,0.0
2021-05-02,2640.0,0.0,0.0
2021-05-03,2586.0,0.0,0.0
2021-05-04,2533.0,0.0,0.0
2021-05-05,2284.0,0.0,0.0
2021-05-06,2035.0,13000.0,4000.0
2021-05-07,2382.0,0.0,0.0
2021-05-08,2737.0,0.0,0.0
2021-05-09,3084.0,0.0,0.0
2021-05-10,3431.0,0.0,0.0
2021-05-11,3777.0,13744.0,5775.0
2021-05-12,3999.0,0.0,0.0
2021-05-13,4222.0,0.0,0.0
2021-05-14,4097.0,0.0,0.0
2021-05-15,3964.0,0.0,0.0
2021-05-16,3839.0,0.0,0.0
2021-05-17,3715.0,0.0,0.0
2021-05-18,3582.0,0.0,0.0
2021-05-19,3582.0,0.0,0.0
2021-05-20,3582.0,0.0,0.0
2021-05-21,3582.0,16334.0,7219.0
