Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-25,0.0,0.0,0.0
2021-02-26,62.0,0.0,0.0
2021-02-27,62.0,2224.0,0.0
2021-02-28,43.0,0.0,0.0
2021-03-01,34.0,2427.0,0.0
2021-03-02,47.0,0.0,0.0
2021-03-03,55.0,0.0,0.0
2021-03-04,61.0,0.0,0.0
2021-03-05,66.0,0.0,0.0
2021-03-06,71.0,0.0,0.0
2021-03-07,85.0,0.0,0.0
2021-03-08,98.0,0.0,0.0
2021-03-09,98.0,0.0,0.0
2021-03-10,98.0,0.0,0.0
2021-03-11,98.0,19947.0,0.0
2021-03-12,152.0,28534.0,0.0
2021-03-13,157.0,30890.0,0.0
2021-03-14,170.0,34217.0,0.0
2021-03-15,220.0,42330.0,0.0
2021-03-16,253.0,48130.0,0.0
2021-03-17,294.0,55060.0,0.0
2021-03-18,321.0,60182.0,0.0
2021-03-19,302.0,66399.0,0.0
2021-03-20,303.0,68852.0,0.0
2021-03-21,279.0,69266.0,0.0
2021-03-22,240.0,72405.0,0.0
2021-03-23,241.0,78350.0,0.0
2021-03-24,223.0,83076.0,0.0
2021-03-25,227.0,88694.0,0.0
2021-03-26,204.0,91918.0,0.0
2021-03-27,197.0,93231.0,370.0
2021-03-28,199.0,93902.0,370.0
2021-03-29,211.0,98402.0,518.0
2021-03-30,212.0,103959.0,960.0
2021-03-31,200.0,106973.0,1192.0
2021-04-01,173.0,109246.0,1192.0
2021-04-02,166.0,111559.0,1192.0
2021-04-03,167.0,113319.0,1192.0
2021-04-04,175.0,115029.0,1192.0
2021-04-05,165.0,118325.0,1233.0
2021-04-06,148.0,121848.0,1625.0
2021-04-07,158.0,126320.0,1625.0
2021-04-08,177.0,130985.0,1626.0
2021-04-09,199.0,136077.0,1639.0
2021-04-10,195.0,137371.0,1639.0
2021-04-11,186.0,137851.0,1639.0
2021-04-12,191.0,141766.0,1722.0
2021-04-13,193.0,145795.0,1819.0
2021-04-14,183.0,149078.0,1820.0
2021-04-15,175.0,152733.0,1823.0
2021-04-16,160.0,155919.0,1826.0
2021-04-17,150.0,155973.0,1826.0
2021-04-18,146.0,155974.0,1826.0
2021-04-19,123.0,157092.0,1826.0
2021-04-20,102.0,158543.0,1827.0
2021-04-21,89.0,160282.0,1828.0
2021-04-22,71.0,161608.0,1830.0
2021-04-23,60.0,163431.0,1840.0
2021-04-24,62.0,0.0,0.0
2021-04-25,65.0,0.0,0.0
2021-04-26,58.0,164368.0,1841.0
2021-04-27,56.0,165549.0,1898.0
2021-04-28,50.0,166469.0,1898.0
2021-04-29,53.0,168211.0,1898.0
2021-04-30,44.0,168935.0,1898.0
2021-05-01,45.0,169369.0,1898.0
2021-05-02,46.0,169797.0,1898.0
2021-05-03,50.0,170591.0,1899.0
2021-05-04,69.0,174152.0,1950.0
2021-05-05,111.0,180072.0,2260.0
2021-05-06,168.0,188671.0,2457.0
2021-05-07,267.0,201836.0,2492.0
2021-05-08,285.0,204459.0,2492.0
2021-05-09,323.0,0.0,0.0
2021-05-10,358.0,214830.0,2518.0
2021-05-11,453.0,230431.0,2518.0
2021-05-12,506.0,243251.0,2521.0
2021-05-13,547.0,257247.0,2521.0
2021-05-14,559.0,271912.0,2522.0
2021-05-15,557.0,274321.0,2522.0
2021-05-16,540.0,277380.0,2522.0
2021-05-17,608.0,291108.0,2535.0
2021-05-18,601.0,305764.0,2535.0
2021-05-19,622.0,321185.0,2535.0
2021-05-20,619.0,334821.0,2535.0
2021-05-21,606.0,347883.0,2535.0
2021-05-22,600.0,349576.0,2535.0
2021-05-23,582.0,350406.0,2535.0
2021-05-24,556.0,360865.0,2535.0
2021-05-25,807.0,374708.0,34824.0
2021-05-26,847.0,385620.0,44339.0
2021-05-27,915.0,397545.0,54555.0
2021-05-28,1023.0,414035.0,64718.0
2021-05-29,1060.0,418060.0,66944.0
2021-05-30,1078.0,419903.0,68226.0
