Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-19,0.0,25263.0,0.0
2021-03-23,0.0,34178.0,0.0
2021-03-31,0.0,59993.0,2652.0
2021-04-01,212.0,0.0,0.0
2021-04-02,212.0,0.0,0.0
2021-04-03,212.0,0.0,0.0
2021-04-04,212.0,66439.0,0.0
2021-04-05,212.0,67686.0,0.0
2021-04-06,212.0,67863.0,0.0
2021-04-07,212.0,72576.0,9559.0
2021-04-08,214.0,74760.0,0.0
2021-04-09,216.0,76715.0,0.0
2021-04-10,219.0,77433.0,0.0
2021-04-11,221.0,0.0,0.0
2021-04-12,223.0,79450.0,0.0
2021-04-13,225.0,0.0,0.0
2021-04-14,227.0,79665.0,0.0
2021-04-15,227.0,80992.0,25032.0
2021-04-16,230.0,81429.0,27867.0
2021-04-17,210.0,0.0,0.0
2021-04-18,189.0,0.0,0.0
2021-04-19,168.0,82738.0,29768.0
2021-04-20,155.0,83035.0,31262.0
2021-04-21,142.0,83324.0,32789.0
2021-04-22,201.0,87288.0,37213.0
2021-04-23,192.0,0.0,0.0
2021-04-24,206.0,89827.0,39518.0
2021-04-25,196.0,89874.0,39550.0
2021-04-26,216.0,91038.0,41302.0
2021-04-27,230.0,91696.0,43758.0
2021-04-28,245.0,93182.0,45428.0
2021-04-29,183.0,94417.0,46877.0
2021-04-30,181.0,95312.0,48222.0
2021-05-01,162.0,0.0,0.0
2021-05-02,170.0,0.0,0.0
2021-05-03,146.0,95911.0,49852.0
2021-05-04,128.0,96670.0,50546.0
2021-05-05,133.0,97511.0,53288.0
2021-05-06,307.0,114620.0,54909.0
2021-05-07,327.0,116436.0,57187.0
2021-05-08,399.0,0.0,0.0
2021-05-09,470.0,0.0,0.0
2021-05-10,541.0,0.0,0.0
2021-05-11,604.0,143098.0,59686.0
2021-05-12,587.0,143908.0,60809.0
2021-05-13,426.0,0.0,0.0
2021-05-14,425.0,0.0,0.0
2021-05-15,390.0,0.0,0.0
2021-05-16,354.0,0.0,0.0
2021-05-17,319.0,157907.0,66866.0
2021-05-18,294.0,0.0,0.0
2021-05-19,328.0,162714.0,72142.0
2021-05-20,304.0,164102.0,72615.0
2021-05-21,350.0,0.0,0.0
2021-05-22,396.0,0.0,0.0
2021-05-23,442.0,184220.0,77158.0
2021-05-24,535.0,194721.0,79203.0
2021-05-25,610.0,206331.0,79593.0
2021-05-26,734.0,218711.0,83645.0
2021-05-27,847.0,0.0,0.0
2021-05-28,892.0,0.0,0.0
2021-05-29,936.0,252098.0,87079.0
