Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-11,0.0,0.0,0.0
2021-02-12,212.0,0.0,0.0
2021-02-13,212.0,0.0,0.0
2021-02-14,212.0,0.0,0.0
2021-02-15,212.0,668.0,0.0
2021-02-16,212.0,0.0,0.0
2021-02-17,214.0,0.0,0.0
2021-02-18,214.0,0.0,0.0
2021-02-19,214.0,0.0,0.0
2021-02-20,215.0,0.0,0.0
2021-02-21,215.0,0.0,0.0
2021-02-22,215.0,1852.0,0.0
2021-02-23,284.0,0.0,0.0
2021-02-24,352.0,0.0,0.0
2021-02-25,421.0,0.0,0.0
2021-02-26,489.0,0.0,0.0
2021-02-27,558.0,0.0,0.0
2021-02-28,627.0,0.0,0.0
2021-03-01,695.0,0.0,0.0
2021-03-02,695.0,0.0,0.0
2021-03-03,695.0,0.0,0.0
2021-03-04,695.0,0.0,0.0
2021-03-05,695.0,0.0,0.0
2021-03-06,695.0,0.0,0.0
2021-03-07,695.0,0.0,0.0
2021-03-08,695.0,0.0,0.0
2021-03-09,695.0,0.0,0.0
2021-03-10,695.0,0.0,0.0
2021-03-11,695.0,0.0,0.0
2021-03-12,695.0,0.0,0.0
2021-03-13,695.0,0.0,0.0
2021-03-14,695.0,0.0,0.0
2021-03-15,695.0,0.0,0.0
2021-03-16,695.0,0.0,0.0
2021-03-17,695.0,0.0,0.0
2021-03-18,695.0,0.0,0.0
2021-03-19,695.0,15524.0,0.0
2021-03-20,856.0,0.0,0.0
2021-03-21,1017.0,0.0,0.0
2021-03-22,1177.0,0.0,0.0
2021-03-23,1339.0,0.0,0.0
2021-03-24,1499.0,0.0,0.0
2021-03-25,1660.0,0.0,0.0
2021-03-26,1821.0,0.0,0.0
2021-03-27,1821.0,0.0,0.0
2021-03-28,1821.0,0.0,0.0
2021-03-29,1821.0,0.0,0.0
2021-03-30,1821.0,0.0,0.0
2021-03-31,1821.0,32714.0,0.0
2021-04-01,2030.0,0.0,0.0
2021-04-02,2240.0,0.0,0.0
2021-04-03,2449.0,40468.0,0.0
2021-04-04,2637.0,0.0,0.0
2021-04-05,2824.0,0.0,0.0
2021-04-06,3011.0,0.0,0.0
2021-04-07,3197.0,0.0,0.0
2021-04-08,3176.0,0.0,0.0
2021-04-09,3153.0,0.0,0.0
2021-04-10,3131.0,0.0,0.0
2021-04-11,3131.0,60172.0,0.0
2021-04-12,3294.0,0.0,0.0
2021-04-13,3456.0,0.0,0.0
2021-04-14,3618.0,0.0,0.0
2021-04-15,3781.0,73000.0,600.0
2021-04-16,4241.0,0.0,0.0
2021-04-17,4703.0,0.0,0.0
2021-04-18,5163.0,0.0,0.0
2021-04-19,5462.0,0.0,0.0
2021-04-20,5759.0,0.0,0.0
2021-04-21,6058.0,0.0,0.0
2021-04-22,6357.0,0.0,0.0
2021-04-23,6357.0,111825.0,1771.0
2021-04-24,6247.0,0.0,0.0
2021-04-25,6139.0,0.0,0.0
2021-04-26,6030.0,124000.0,2800.0
2021-04-27,5607.0,0.0,0.0
2021-04-28,5183.0,0.0,0.0
2021-04-29,4761.0,0.0,0.0
2021-04-30,4338.0,0.0,0.0
2021-05-01,4023.0,0.0,0.0
2021-05-02,3709.0,0.0,0.0
2021-05-03,3393.0,0.0,0.0
2021-05-04,3393.0,0.0,0.0
2021-05-05,3393.0,0.0,0.0
2021-05-06,3393.0,150694.0,2800.0
2021-05-07,3790.0,0.0,0.0
2021-05-08,4185.0,0.0,0.0
2021-05-09,4581.0,0.0,0.0
2021-05-10,4977.0,0.0,0.0
2021-05-11,5373.0,0.0,0.0
2021-05-12,5768.0,0.0,0.0
2021-05-13,6164.0,0.0,0.0
2021-05-14,6164.0,0.0,0.0
2021-05-15,6164.0,0.0,0.0
2021-05-16,6164.0,0.0,0.0
2021-05-17,6164.0,0.0,0.0
2021-05-18,6164.0,0.0,0.0
2021-05-19,6164.0,0.0,0.0
2021-05-20,6164.0,0.0,0.0
2021-05-21,6164.0,0.0,0.0
2021-05-22,6164.0,0.0,0.0
2021-05-23,6164.0,0.0,0.0
2021-05-24,6164.0,0.0,0.0
2021-05-25,6164.0,187234.0,58380.0
