Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-28,0.0,2684.0,0.0
2021-03-01,28.0,0.0,0.0
2021-03-02,28.0,0.0,0.0
2021-03-03,28.0,0.0,0.0
2021-03-04,28.0,0.0,0.0
2021-03-05,28.0,0.0,0.0
2021-03-06,28.0,0.0,0.0
2021-03-07,28.0,0.0,0.0
2021-03-08,28.0,0.0,0.0
2021-03-09,28.0,0.0,0.0
2021-03-10,28.0,0.0,0.0
2021-03-11,28.0,0.0,0.0
2021-03-12,28.0,0.0,0.0
2021-03-13,28.0,0.0,0.0
2021-03-14,28.0,0.0,0.0
2021-03-15,28.0,0.0,0.0
2021-03-16,28.0,7100.0,0.0
2021-03-17,334.0,28570.0,0.0
2021-03-18,393.0,0.0,0.0
2021-03-19,452.0,37317.0,0.0
2021-03-20,489.0,0.0,0.0
2021-03-21,527.0,43073.0,0.0
2021-03-22,534.0,0.0,0.0
2021-03-23,540.0,0.0,0.0
2021-03-24,242.0,0.0,0.0
2021-03-25,189.0,0.0,0.0
2021-03-26,137.0,0.0,0.0
2021-03-27,106.0,0.0,0.0
2021-03-28,75.0,0.0,0.0
2021-03-29,75.0,0.0,0.0
2021-03-30,75.0,0.0,0.0
2021-03-31,75.0,0.0,0.0
2021-04-01,75.0,0.0,0.0
2021-04-02,75.0,0.0,0.0
2021-04-03,75.0,52772.0,0.0
2021-04-04,76.0,0.0,0.0
2021-04-05,77.0,0.0,0.0
2021-04-06,78.0,0.0,0.0
2021-04-07,79.0,0.0,0.0
2021-04-08,80.0,0.0,0.0
2021-04-09,81.0,55000.0,2639.0
2021-04-10,93.0,0.0,0.0
2021-04-11,104.0,0.0,0.0
2021-04-12,115.0,0.0,0.0
2021-04-13,126.0,0.0,0.0
2021-04-14,137.0,0.0,0.0
2021-04-15,148.0,0.0,0.0
2021-04-16,159.0,0.0,0.0
2021-04-17,159.0,0.0,0.0
2021-04-18,159.0,0.0,0.0
2021-04-19,159.0,0.0,0.0
2021-04-20,159.0,0.0,0.0
2021-04-21,159.0,0.0,0.0
2021-04-22,159.0,0.0,0.0
2021-04-23,159.0,0.0,0.0
2021-04-24,159.0,0.0,0.0
2021-04-25,159.0,0.0,0.0
2021-04-26,159.0,0.0,0.0
2021-04-27,159.0,0.0,0.0
2021-04-28,159.0,0.0,0.0
2021-04-29,159.0,0.0,0.0
2021-04-30,159.0,0.0,0.0
2021-05-01,159.0,0.0,0.0
2021-05-02,159.0,0.0,0.0
2021-05-03,159.0,0.0,0.0
2021-05-04,159.0,0.0,0.0
2021-05-05,159.0,0.0,0.0
2021-05-06,159.0,0.0,0.0
2021-05-07,159.0,0.0,0.0
2021-05-08,159.0,0.0,0.0
2021-05-09,159.0,0.0,0.0
2021-05-10,159.0,0.0,0.0
2021-05-11,159.0,0.0,0.0
2021-05-12,159.0,0.0,0.0
2021-05-13,159.0,0.0,0.0
2021-05-14,159.0,0.0,0.0
2021-05-15,159.0,108538.0,5687.0
2021-05-16,255.0,0.0,0.0
2021-05-17,352.0,0.0,0.0
2021-05-18,449.0,0.0,0.0
2021-05-19,545.0,0.0,0.0
2021-05-20,642.0,0.0,0.0
2021-05-21,739.0,136476.0,27585.0
2021-05-22,878.0,0.0,0.0
2021-05-23,921.0,0.0,0.0
2021-05-24,964.0,0.0,0.0
2021-05-25,1007.0,0.0,0.0
2021-05-26,1104.0,0.0,0.0
2021-05-27,1201.0,0.0,0.0
2021-05-28,1298.0,209704.0,0.0
