Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-30,0.0,4875.0,0.0
2020-12-31,185.0,0.0,0.0
2021-01-01,185.0,0.0,0.0
2021-01-02,185.0,0.0,0.0
2021-01-03,185.0,0.0,0.0
2021-01-04,185.0,0.0,0.0
2021-01-05,185.0,0.0,0.0
2021-01-06,185.0,0.0,0.0
2021-01-07,185.0,0.0,0.0
2021-01-08,185.0,0.0,0.0
2021-01-09,185.0,0.0,0.0
2021-01-10,185.0,0.0,0.0
2021-01-11,185.0,0.0,0.0
2021-01-12,185.0,0.0,0.0
2021-01-13,185.0,0.0,0.0
2021-01-14,185.0,0.0,0.0
2021-01-15,185.0,0.0,0.0
2021-01-16,185.0,0.0,0.0
2021-01-17,185.0,0.0,0.0
2021-01-18,185.0,0.0,0.0
2021-01-19,185.0,0.0,0.0
2021-01-20,185.0,5725.0,480.0
2021-01-21,914.0,0.0,0.0
2021-01-22,1641.0,0.0,0.0
2021-01-23,2371.0,0.0,0.0
2021-01-24,3097.0,0.0,0.0
2021-01-25,3827.0,10433.0,4787.0
2021-01-26,3862.0,0.0,0.0
2021-01-27,3900.0,10702.0,4820.0
2021-01-28,3232.0,0.0,0.0
2021-01-29,2561.0,0.0,0.0
2021-01-30,1893.0,0.0,0.0
2021-01-31,1222.0,0.0,0.0
2021-02-01,554.0,0.0,0.0
2021-02-02,577.0,0.0,0.0
2021-02-03,598.0,12098.0,4853.0
2021-02-04,630.0,0.0,0.0
2021-02-05,662.0,12660.0,4855.0
2021-02-06,598.0,0.0,0.0
2021-02-07,533.0,0.0,0.0
2021-02-08,466.0,12801.0,4856.0
2021-02-09,586.0,0.0,0.0
2021-02-10,706.0,0.0,0.0
2021-02-11,794.0,0.0,0.0
2021-02-12,882.0,14086.0,5538.0
2021-02-13,894.0,0.0,0.0
2021-02-14,905.0,0.0,0.0
2021-02-15,914.0,14087.0,5757.0
2021-02-16,788.0,14087.0,5944.0
2021-02-17,1225.0,14188.0,7381.0
2021-02-18,2394.0,15195.0,9658.0
2021-02-19,2552.0,15644.0,10074.0
2021-02-20,2804.0,0.0,0.0
2021-02-21,3059.0,0.0,0.0
2021-02-22,3314.0,17232.0,10530.0
2021-02-23,3308.0,17379.0,10554.0
2021-02-24,3399.0,0.0,0.0
2021-02-25,2763.0,19075.0,12376.0
2021-02-26,2696.0,19593.0,12564.0
2021-02-27,2623.0,0.0,0.0
2021-02-28,2552.0,0.0,0.0
2021-03-01,2479.0,21083.0,12600.0
2021-03-02,2470.0,21191.0,12644.0
2021-03-03,2857.0,0.0,0.0
2021-03-04,3241.0,26489.0,12707.0
2021-03-05,3179.0,27041.0,12708.0
2021-03-06,3282.0,0.0,0.0
2021-03-07,3388.0,0.0,0.0
2021-03-08,3493.0,29317.0,12710.0
2021-03-09,3991.0,0.0,0.0
2021-03-10,3432.0,0.0,0.0
2021-03-11,2869.0,33289.0,12763.0
2021-03-12,2977.0,34018.0,12844.0
2021-03-13,2687.0,0.0,0.0
2021-03-14,2397.0,0.0,0.0
2021-03-15,2107.0,34171.0,12888.0
2021-03-16,2221.0,0.0,0.0
2021-03-17,2338.0,36775.0,13522.0
2021-03-18,2189.0,37179.0,14104.0
2021-03-19,2403.0,37865.0,14739.0
2021-03-20,2435.0,0.0,0.0
2021-03-21,2464.0,0.0,0.0
2021-03-22,2494.0,37953.0,15066.0
2021-03-23,2590.0,37962.0,16906.0
2021-03-24,3238.0,38142.0,19887.0
2021-03-25,3607.0,39578.0,20325.0
2021-03-26,3250.0,39633.0,20733.0
2021-03-27,4000.0,0.0,0.0
2021-03-28,4750.0,0.0,0.0
2021-03-29,5500.0,45422.0,20734.0
2021-03-30,6154.0,0.0,0.0
2021-03-31,6262.0,49289.0,23698.0
2021-04-01,5703.0,0.0,0.0
2021-04-02,5735.0,0.0,0.0
2021-04-03,5152.0,50259.0,24344.0
2021-04-04,4774.0,0.0,0.0
2021-04-05,4393.0,0.0,0.0
2021-04-06,3393.0,0.0,0.0
2021-04-07,2391.0,0.0,0.0
2021-04-08,2596.0,52634.0,27092.0
2021-04-09,5152.0,58567.0,27801.0
2021-04-10,5319.0,0.0,0.0
2021-04-11,5284.0,0.0,0.0
2021-04-12,5248.0,61134.0,28056.0
2021-04-13,6127.0,0.0,0.0
2021-04-14,7007.0,67158.0,28281.0
2021-04-15,7256.0,0.0,0.0
2021-04-16,5152.0,70058.0,28614.0
2021-04-17,4967.0,0.0,0.0
2021-04-18,4779.0,0.0,0.0
2021-04-19,4595.0,70482.0,29686.0
2021-04-20,5125.0,0.0,0.0
2021-04-21,5653.0,0.0,0.0
2021-04-22,6813.0,80721.0,32609.0
2021-04-23,6708.0,0.0,0.0
2021-04-24,7071.0,0.0,0.0
2021-04-25,7434.0,0.0,0.0
2021-04-26,7798.0,0.0,0.0
2021-04-27,6535.0,0.0,0.0
2021-04-28,5269.0,87038.0,34492.0
2021-04-29,8261.0,98008.0,35432.0
2021-04-30,12794.0,109409.0,36228.0
2021-05-01,12343.0,0.0,0.0
2021-05-02,11889.0,0.0,0.0
2021-05-03,11434.0,110199.0,36376.0
2021-05-04,13190.0,0.0,0.0
2021-05-05,14945.0,115447.0,42301.0
2021-05-06,14277.0,124014.0,50192.0
2021-05-07,16346.0,138577.0,53658.0
2021-05-08,16627.0,0.0,0.0
2021-05-09,16911.0,0.0,0.0
2021-05-10,17196.0,0.0,0.0
2021-05-11,15270.0,140805.0,55780.0
2021-05-12,17242.0,144775.0,62276.0
2021-05-13,14195.0,0.0,0.0
2021-05-14,8135.0,147592.0,65011.0
2021-05-15,8557.0,0.0,0.0
2021-05-16,8982.0,0.0,0.0
2021-05-17,9404.0,0.0,0.0
2021-05-18,9826.0,152584.0,67905.0
2021-05-19,9043.0,156058.0,73205.0
2021-05-20,10037.0,159327.0,76259.0
2021-05-21,11461.0,163815.0,80464.0
2021-05-22,10690.0,0.0,0.0
2021-05-23,9919.0,0.0,0.0
2021-05-24,9152.0,0.0,0.0
