Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-01-15,0.0,0.0,0.0
2021-01-16,139.0,191181.0,0.0
2021-01-17,81.0,224301.0,0.0
2021-01-18,110.0,454049.0,0.0
2021-01-19,122.0,674835.0,0.0
2021-01-20,117.0,806484.0,0.0
2021-01-21,126.0,1043534.0,0.0
2021-01-22,144.0,1390592.0,0.0
2021-01-23,144.0,1582201.0,0.0
2021-01-24,144.0,1615504.0,0.0
2021-01-25,163.0,2023809.0,0.0
2021-01-26,140.0,2029480.0,0.0
2021-01-27,160.0,2355979.0,0.0
2021-01-28,195.0,2928053.0,0.0
2021-01-29,218.0,3500027.0,0.0
2021-01-30,224.0,3744334.0,0.0
2021-01-31,222.0,3758843.0,0.0
2021-02-01,199.0,3950156.0,0.0
2021-02-02,218.0,4138918.0,0.0
2021-02-03,217.0,4449552.0,0.0
2021-02-04,210.0,4959445.0,0.0
2021-02-05,198.0,5416849.0,0.0
2021-02-06,210.0,5775322.0,0.0
2021-02-07,213.0,5812362.0,0.0
2021-02-08,239.0,6259008.0,0.0
2021-02-09,256.0,6611561.0,0.0
2021-02-10,266.0,7017114.0,0.0
2021-02-11,264.0,7505010.0,0.0
2021-02-12,264.0,7967647.0,0.0
2021-02-13,236.0,8044786.0,7668.0
2021-02-14,256.0,0.0,0.0
2021-02-15,234.0,8418653.0,98118.0
2021-02-16,232.0,8641002.0,216339.0
2021-02-17,225.0,8844641.0,342116.0
2021-02-18,242.0,9381591.0,464932.0
2021-02-19,257.0,9693000.0,756942.0
2021-02-20,288.0,9964383.0,873940.0
2021-02-21,290.0,10124531.0,960642.0
2021-02-22,301.0,10308552.0,1115542.0
2021-02-23,316.0,10585757.0,1321635.0
2021-02-24,329.0,10884879.0,1481754.0
2021-02-25,333.0,11206188.0,1860859.0
2021-02-26,342.0,11552857.0,2204083.0
2021-02-27,352.0,11788669.0,2453878.0
2021-02-28,333.0,11845075.0,2456191.0
2021-03-01,355.0,12256337.0,2597799.0
2021-03-02,384.0,12906771.0,2713978.0
2021-03-03,440.0,13739121.0,2876927.0
2021-03-04,511.0,14796835.0,3208668.0
2021-03-05,594.0,15996683.0,3501021.0
2021-03-06,691.0,17168303.0,3754041.0
2021-03-07,692.0,17227903.0,3761107.0
2021-03-08,844.0,18943283.0,4065450.0
2021-03-09,906.0,20004227.0,4363679.0
2021-03-10,939.0,21034481.0,4650530.0
2021-03-11,845.0,21435841.0,4729079.0
2021-03-12,903.0,23075504.0,5142953.0
2021-03-13,913.0,24307635.0,5430774.0
2021-03-14,923.0,24452385.0,5455653.0
2021-03-15,1029.0,27079484.0,5867948.0
2021-03-16,1107.0,28862037.0,6202499.0
2021-03-17,1186.0,30600787.0,6542468.0
2021-03-18,1364.0,32426230.0,6913587.0
2021-03-19,1433.0,34842030.0,7221362.0
2021-03-20,1539.0,37125187.0,7478654.0
2021-03-21,1569.0,37574302.0,7491696.0
2021-03-22,1609.0,40631153.0,7863441.0
2021-03-23,1633.0,42731952.0,8109334.0
2021-03-24,1657.0,44846538.0,8299171.0
2021-03-25,1673.0,47001472.0,8502968.0
2021-03-26,1661.0,49426618.0,8683155.0
2021-03-27,1622.0,51441436.0,8828346.0
2021-03-28,1601.0,51660234.0,8870201.0
2021-03-29,1306.0,52211398.0,8901956.0
2021-03-30,1264.0,53989035.0,9065318.0
2021-03-31,1239.0,55783201.0,9334695.0
2021-04-01,1375.0,59148798.0,9640340.0
2021-04-02,1547.0,63081589.0,9972706.0
2021-04-03,1626.0,65739470.0,10240181.0
2021-04-04,1923.0,68678838.0,10426325.0
2021-04-05,2277.0,72277309.0,10833617.0
2021-04-06,2487.0,75937015.0,11140459.0
2021-04-07,2596.0,78763027.0,11435646.0
2021-04-08,2644.0,82456522.0,11877740.0
2021-04-09,2590.0,85763852.0,12311308.0
2021-04-10,2652.0,88885961.0,12709186.0
2021-04-11,2632.0,91587400.0,12941165.0
2021-04-12,2632.0,95043039.0,13490046.0
2021-04-13,2495.0,97301914.0,13877664.0
2021-04-14,2515.0,100179199.0,14314039.0
2021-04-15,2369.0,102349255.0,14874254.0
2021-04-16,2263.0,104408484.0,15529157.0
2021-04-17,2177.0,106431076.0,16191514.0
2021-04-18,2000.0,107371770.0,16480796.0
2021-04-19,1925.0,109659181.0,17469932.0
2021-04-20,1781.0,0.0,0.0
2021-04-21,1569.0,111673361.0,17972744.0
2021-04-22,1608.0,113584269.0,19170339.0
2021-04-23,1549.0,0.0,0.0
2021-04-24,1493.0,0.0,0.0
2021-04-25,1587.0,117795008.0,21390165.0
2021-04-26,1594.0,119886252.0,22638695.0
2021-04-27,1707.0,121263287.0,23615946.0
2021-04-28,1802.0,122538179.0,24515213.0
2021-04-29,1710.0,123811908.0,25456864.0
2021-04-30,1770.0,125376952.0,26621155.0
2021-05-01,1717.0,126328970.0,27297355.0
2021-05-02,1556.0,126704151.0,27507360.0
2021-05-03,1403.0,127696675.0,28385461.0
2021-05-04,1332.0,128627919.0,29122833.0
2021-05-05,1333.0,129730641.0,30200597.0
2021-05-06,1380.0,131058890.0,31544713.0
2021-05-07,1366.0,132294827.0,32895173.0
2021-05-08,1436.0,133366482.0,34127375.0
2021-05-09,1459.0,133854676.0,34450192.0
2021-05-10,1555.0,135192013.0,35906905.0
2021-05-11,1668.0,136557345.0,37305298.0
2021-05-12,1668.0,137805245.0,38240332.0
2021-05-13,1631.0,139087590.0,39274256.0
