Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-01-12,0.0,0.0,0.0
2021-01-13,48.0,0.0,0.0
2021-01-14,48.0,0.0,0.0
2021-01-15,48.0,0.0,0.0
2021-01-16,48.0,0.0,0.0
2021-01-17,48.0,0.0,0.0
2021-01-18,48.0,0.0,0.0
2021-01-19,48.0,0.0,0.0
2021-01-20,48.0,0.0,0.0
2021-01-21,48.0,0.0,0.0
2021-01-22,48.0,132000.0,0.0
2021-01-23,46.0,0.0,0.0
2021-01-24,43.0,149242.0,0.0
2021-01-25,43.0,161959.0,0.0
2021-01-26,80.0,245685.0,0.0
2021-01-27,106.0,308003.0,0.0
2021-01-28,133.0,368318.0,5468.0
2021-01-29,148.0,405012.0,11287.0
2021-01-30,189.0,482145.0,20810.0
2021-01-31,191.0,493133.0,22548.0
2021-02-01,216.0,539532.0,35406.0
2021-02-02,210.0,596260.0,51999.0
2021-02-03,214.0,646026.0,71621.0
2021-02-04,221.0,700266.0,96553.0
2021-02-05,235.0,744884.0,120725.0
2021-02-06,215.0,777096.0,137207.0
2021-02-07,213.0,784318.0,139131.0
2021-02-08,215.0,814585.0,171270.0
2021-02-09,219.0,845407.0,221453.0
2021-02-10,277.0,969546.0,279251.0
2021-02-11,296.0,1017186.0,345605.0
2021-02-12,289.0,0.0,0.0
2021-02-13,293.0,1060326.0,415486.0
2021-02-14,298.0,1068747.0,425578.0
2021-02-15,310.0,1096095.0,482625.0
2021-02-16,309.0,1120963.0,537147.0
2021-02-17,260.0,1149939.0,597328.0
2021-02-18,222.0,1164144.0,623832.0
2021-02-19,237.0,0.0,0.0
2021-02-20,251.0,1224091.0,732634.0
2021-02-21,259.0,0.0,0.0
2021-02-22,233.0,0.0,0.0
2021-02-23,210.0,1269905.0,789966.0
2021-02-24,231.0,1363138.0,825650.0
2021-02-25,276.0,1461920.0,853745.0
2021-02-26,301.0,1583581.0,865870.0
2021-02-27,335.0,1616165.0,982370.0
2021-02-28,365.0,1691724.0,998439.0
2021-03-01,434.0,0.0,0.0
2021-03-02,503.0,1968057.0,1055291.0
2021-03-03,625.0,2286123.0,1100228.0
2021-03-04,596.0,0.0,0.0
2021-03-05,563.0,2413615.0,1114537.0
2021-03-06,615.0,0.0,0.0
2021-03-07,696.0,2888757.0,1133787.0
2021-03-08,751.0,0.0,0.0
2021-03-09,806.0,0.0,0.0
