Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-08,0.0,0.0,0.0
2021-02-09,36.0,3000.0,0.0
2021-02-10,23.0,0.0,0.0
2021-02-11,19.0,0.0,0.0
2021-02-12,17.0,0.0,0.0
2021-02-13,15.0,0.0,0.0
2021-02-14,15.0,0.0,0.0
2021-02-15,14.0,0.0,0.0
2021-02-16,10.0,0.0,0.0
2021-02-17,10.0,10000.0,0.0
2021-02-18,15.0,0.0,0.0
2021-02-19,20.0,0.0,0.0
2021-02-20,25.0,0.0,0.0
2021-02-21,30.0,0.0,0.0
2021-02-22,35.0,0.0,0.0
2021-02-23,40.0,0.0,0.0
2021-02-24,45.0,0.0,0.0
2021-02-25,45.0,0.0,0.0
2021-02-26,45.0,0.0,0.0
2021-02-27,45.0,0.0,0.0
2021-02-28,45.0,0.0,0.0
2021-03-01,45.0,0.0,0.0
2021-03-02,45.0,0.0,0.0
2021-03-03,45.0,0.0,0.0
2021-03-04,45.0,0.0,0.0
2021-03-05,45.0,0.0,0.0
2021-03-06,45.0,0.0,0.0
2021-03-07,45.0,0.0,0.0
2021-03-08,45.0,0.0,0.0
2021-03-09,45.0,0.0,0.0
2021-03-10,45.0,0.0,0.0
2021-03-11,45.0,0.0,0.0
2021-03-12,45.0,0.0,0.0
2021-03-13,45.0,0.0,0.0
2021-03-14,45.0,0.0,0.0
2021-03-15,45.0,0.0,0.0
2021-03-16,45.0,0.0,0.0
2021-03-17,45.0,0.0,0.0
2021-03-18,45.0,0.0,0.0
2021-03-19,45.0,124193.0,0.0
2021-03-20,80.0,0.0,0.0
2021-03-21,116.0,0.0,0.0
2021-03-22,151.0,0.0,0.0
2021-03-23,186.0,0.0,0.0
2021-03-24,221.0,0.0,0.0
2021-03-25,256.0,0.0,0.0
2021-03-26,291.0,0.0,0.0
2021-03-27,291.0,0.0,0.0
2021-03-28,263.0,0.0,0.0
2021-03-29,235.0,0.0,0.0
2021-03-30,207.0,0.0,0.0
2021-03-31,179.0,0.0,0.0
2021-04-01,151.0,0.0,0.0
2021-04-02,123.0,0.0,0.0
2021-04-03,94.0,0.0,0.0
2021-04-04,94.0,0.0,0.0
2021-04-05,94.0,0.0,0.0
2021-04-06,94.0,0.0,0.0
2021-04-07,94.0,0.0,0.0
2021-04-08,94.0,0.0,0.0
2021-04-09,94.0,0.0,0.0
2021-04-10,94.0,0.0,0.0
2021-04-11,94.0,0.0,0.0
2021-04-12,94.0,0.0,0.0
2021-04-13,94.0,0.0,0.0
2021-04-14,94.0,361951.0,100691.0
2021-04-15,111.0,0.0,0.0
2021-04-16,127.0,0.0,0.0
2021-04-17,143.0,0.0,0.0
2021-04-18,160.0,0.0,0.0
2021-04-19,176.0,416084.0,134047.0
2021-04-20,284.0,480646.0,141176.0
2021-04-21,309.0,0.0,0.0
2021-04-22,318.0,518904.0,148298.0
2021-04-23,365.0,0.0,0.0
2021-04-24,413.0,0.0,0.0
2021-04-25,460.0,0.0,0.0
2021-04-26,507.0,0.0,0.0
2021-04-27,462.0,0.0,0.0
2021-04-28,500.0,744914.0,193840.0
2021-04-29,570.0,798465.0,204126.0
2021-04-30,605.0,858296.0,209827.0
2021-05-01,633.0,0.0,0.0
2021-05-02,661.0,0.0,0.0
2021-05-03,688.0,0.0,0.0
2021-05-04,716.0,1083138.0,231503.0
2021-05-05,736.0,0.0,0.0
2021-05-06,724.0,0.0,0.0
2021-05-07,710.0,1231652.0,253635.0
2021-05-08,765.0,0.0,0.0
2021-05-09,820.0,0.0,0.0
2021-05-10,875.0,1475436.0,292134.0
2021-05-11,907.0,0.0,0.0
2021-05-12,947.0,0.0,0.0
2021-05-13,986.0,0.0,0.0
2021-05-14,1026.0,0.0,0.0
2021-05-15,1003.0,0.0,0.0
2021-05-16,979.0,0.0,0.0
2021-05-17,956.0,1979167.0,350212.0
2021-05-18,1016.0,0.0,0.0
2021-05-19,1077.0,0.0,0.0
2021-05-20,1138.0,0.0,0.0
2021-05-21,1199.0,0.0,0.0
2021-05-22,1260.0,0.0,0.0
2021-05-23,1321.0,0.0,0.0
2021-05-24,1381.0,2738504.0,403073.0
