Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-01,0.0,0.0,0.0
2021-03-02,24.0,0.0,0.0
2021-03-03,24.0,0.0,0.0
2021-03-04,24.0,0.0,0.0
2021-03-05,24.0,0.0,0.0
2021-03-06,24.0,0.0,0.0
2021-03-07,24.0,0.0,0.0
2021-03-08,24.0,0.0,0.0
2021-03-09,24.0,0.0,0.0
2021-03-10,24.0,0.0,0.0
2021-03-11,24.0,0.0,0.0
2021-03-12,24.0,0.0,0.0
2021-03-13,24.0,0.0,0.0
2021-03-14,24.0,0.0,0.0
2021-03-15,24.0,0.0,0.0
2021-03-16,24.0,0.0,0.0
2021-03-17,24.0,0.0,0.0
2021-03-18,24.0,0.0,0.0
2021-03-19,24.0,0.0,0.0
2021-03-20,24.0,0.0,0.0
2021-03-21,24.0,0.0,0.0
2021-03-22,24.0,0.0,0.0
2021-03-23,24.0,0.0,0.0
2021-03-24,24.0,0.0,0.0
2021-03-25,24.0,0.0,0.0
2021-03-26,24.0,0.0,0.0
2021-03-27,24.0,0.0,0.0
2021-03-28,24.0,0.0,0.0
2021-03-29,24.0,26727.0,0.0
2021-03-30,60.0,0.0,0.0
2021-03-31,95.0,0.0,0.0
2021-04-01,131.0,0.0,0.0
2021-04-02,167.0,0.0,0.0
2021-04-03,203.0,0.0,0.0
2021-04-04,239.0,93021.0,0.0
2021-04-05,271.0,103006.0,0.0
2021-04-06,257.0,0.0,0.0
2021-04-07,243.0,0.0,0.0
2021-04-08,229.0,0.0,0.0
2021-04-09,215.0,0.0,0.0
2021-04-10,201.0,0.0,0.0
2021-04-11,188.0,0.0,0.0
2021-04-12,177.0,152962.0,0.0
2021-04-13,192.0,0.0,0.0
2021-04-14,207.0,0.0,0.0
2021-04-15,221.0,0.0,0.0
2021-04-16,236.0,197914.0,0.0
2021-04-17,261.0,0.0,0.0
2021-04-18,287.0,0.0,0.0
2021-04-19,313.0,0.0,0.0
2021-04-20,324.0,0.0,0.0
2021-04-21,335.0,0.0,0.0
2021-04-22,346.0,0.0,0.0
2021-04-23,357.0,298377.0,0.0
2021-04-24,336.0,0.0,0.0
2021-04-25,316.0,0.0,0.0
2021-04-26,296.0,0.0,0.0
2021-04-27,275.0,0.0,0.0
2021-04-28,255.0,0.0,0.0
2021-04-29,234.0,0.0,0.0
2021-04-30,214.0,0.0,0.0
2021-05-01,214.0,0.0,0.0
2021-05-02,214.0,0.0,0.0
2021-05-03,214.0,0.0,0.0
2021-05-04,214.0,0.0,0.0
2021-05-05,214.0,0.0,0.0
2021-05-06,214.0,0.0,0.0
2021-05-07,214.0,0.0,0.0
2021-05-08,214.0,0.0,0.0
2021-05-09,214.0,0.0,0.0
2021-05-10,214.0,0.0,0.0
2021-05-11,214.0,453361.0,0.0
2021-05-12,207.0,0.0,0.0
2021-05-13,201.0,0.0,0.0
2021-05-14,194.0,0.0,0.0
2021-05-15,187.0,0.0,0.0
2021-05-16,180.0,0.0,0.0
2021-05-17,174.0,0.0,0.0
2021-05-18,167.0,0.0,0.0
2021-05-19,167.0,0.0,0.0
2021-05-20,167.0,0.0,0.0
2021-05-21,167.0,0.0,0.0
2021-05-22,169.0,0.0,0.0
2021-05-23,172.0,0.0,0.0
2021-05-24,174.0,0.0,0.0
2021-05-25,176.0,0.0,0.0
2021-05-26,191.0,0.0,0.0
2021-05-27,206.0,0.0,0.0
2021-05-28,220.0,0.0,0.0
