Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-19,0.0,60.0,0.0
2020-12-20,850.0,7419.0,0.0
2020-12-21,1863.0,32302.0,0.0
2020-12-22,2960.0,76920.0,0.0
2020-12-23,4035.0,139760.0,0.0
2020-12-24,4922.0,213084.0,0.0
2020-12-25,4842.0,251532.0,0.0
2020-12-26,4688.0,284106.0,0.0
2020-12-27,6289.0,388472.0,0.0
2020-12-28,8103.0,523276.0,0.0
2020-12-29,9941.0,679214.0,0.0
2020-12-30,11424.0,831928.0,0.0
2020-12-31,12824.0,990092.0,0.0
2021-01-01,13365.0,1061322.0,0.0
2021-01-02,14010.0,1132940.0,0.0
2021-01-03,14753.0,1282334.0,0.0
2021-01-04,15034.0,1434165.0,1.0
2021-01-05,14521.0,1559014.0,1.0
2021-01-06,13701.0,1662080.0,1.0
2021-01-07,13003.0,1777893.0,4.0
2021-01-08,12921.0,1844186.0,7.0
2021-01-09,12473.0,1888640.0,29.0
2021-01-10,10726.0,1926185.0,6003.0
2021-01-11,8884.0,1947200.0,25238.0
2021-01-12,7806.0,1971107.0,60875.0
2021-01-13,7900.0,2023018.0,117690.0
2021-01-14,8052.0,2079319.0,186437.0
2021-01-15,8055.0,2109932.0,222318.0
2021-01-16,8235.0,2139296.0,248295.0
2021-01-17,10036.0,2207543.0,332745.0
2021-01-18,12503.0,2277064.0,452945.0
2021-01-19,14988.0,2349639.0,590455.0
2021-01-20,16823.0,2426165.0,733838.0
2021-01-21,18613.0,2495739.0,897775.0
2021-01-22,19309.0,2533454.0,968691.0
2021-01-23,19936.0,2573300.0,1022162.0
2021-01-24,20869.0,2642228.0,1162486.0
2021-01-25,21367.0,2722958.0,1301642.0
2021-01-26,21275.0,2801433.0,1427695.0
2021-01-27,20986.0,2879115.0,1552401.0
2021-01-28,20593.0,2958522.0,1682677.0
2021-01-29,20469.0,2995043.0,1747283.0
2021-01-30,20199.0,3029328.0,1789945.0
2021-01-31,18932.0,3102499.0,1849280.0
2021-02-01,17242.0,3184770.0,1884484.0
2021-02-02,15530.0,3254628.0,1915427.0
2021-02-03,14027.0,3314692.0,1966687.0
2021-02-04,12716.0,3387070.0,2024600.0
2021-02-05,12078.0,3420841.0,2053252.0
2021-02-06,11528.0,3442374.0,2075387.0
2021-02-07,11363.0,3496316.0,2143920.0
2021-02-08,11465.0,3554793.0,2209116.0
2021-02-09,12003.0,3620907.0,2276380.0
2021-02-10,12513.0,3691233.0,2348314.0
2021-02-11,12878.0,3772109.0,2419829.0
2021-02-12,13108.0,3811044.0,2457234.0
2021-02-13,13340.0,3838431.0,2487577.0
2021-02-14,13688.0,3913160.0,2556429.0
2021-02-15,14235.0,3994478.0,2631908.0
2021-02-16,14696.0,4077793.0,2709932.0
2021-02-17,14612.0,4139594.0,2785251.0
2021-02-18,14547.0,4208570.0,2864734.0
2021-02-19,14567.0,4248129.0,2902721.0
2021-02-20,14608.0,4279713.0,2931362.0
2021-02-21,14840.0,4359021.0,3009694.0
2021-02-22,14979.0,4443890.0,3090040.0
2021-02-23,14749.0,4521083.0,3160258.0
2021-02-24,14528.0,4581954.0,3223111.0
2021-02-25,13993.0,4633461.0,3287642.0
2021-02-26,13664.0,4659209.0,3319523.0
2021-02-27,13320.0,4677466.0,3340644.0
2021-02-28,12300.0,4717632.0,3396343.0
2021-03-01,11336.0,4763137.0,3457602.0
2021-03-02,10644.0,4804144.0,3522112.0
2021-03-03,10390.0,4845931.0,3588653.0
2021-03-04,10428.0,4885418.0,3667479.0
2021-03-05,10425.0,4902581.0,3707798.0
2021-03-06,10367.0,4913149.0,3733070.0
2021-03-07,10495.0,4944111.0,3805736.0
2021-03-08,10387.0,4971284.0,3878794.0
2021-03-09,10345.0,4997781.0,3955264.0
2021-03-10,9904.0,5020871.0,4013760.0
2021-03-11,9468.0,5043929.0,4082633.0
2021-03-12,9384.0,5055026.0,4123922.0
2021-03-13,9338.0,5062873.0,4149102.0
2021-03-14,9189.0,5083703.0,4222918.0
2021-03-15,9152.0,5103612.0,4300948.0
2021-03-16,8936.0,5122142.0,4372294.0
2021-03-17,8849.0,5139641.0,4431119.0
2021-03-18,8549.0,5155468.0,4489071.0
2021-03-19,8256.0,5162221.0,4516932.0
2021-03-20,8046.0,5167337.0,4532156.0
2021-03-21,7365.0,5180350.0,4572512.0
2021-03-22,6634.0,5193624.0,4612877.0
2021-03-23,5312.0,5196224.0,4620029.0
2021-03-24,4994.0,5206968.0,4666356.0
2021-03-25,4522.0,5216948.0,4701601.0
2021-03-26,4235.0,5220944.0,4714810.0
2021-03-27,3997.0,5222654.0,4719010.0
2021-03-28,3225.0,5224691.0,4723557.0
2021-03-29,2943.0,5231431.0,4753407.0
2021-03-30,3275.0,5239065.0,4775633.0
2021-03-31,2782.0,5247008.0,4794878.0
2021-04-01,2471.0,5254948.0,4813344.0
2021-04-02,2365.0,5257717.0,4821305.0
2021-04-03,2337.0,5259054.0,4824180.0
2021-04-04,2760.0,5268577.0,4846887.0
2021-04-05,2671.0,5278724.0,4867957.0
2021-04-06,2596.0,5287481.0,4884496.0
2021-04-07,2539.0,5296150.0,4899579.0
2021-04-08,2531.0,5305310.0,4916314.0
2021-04-09,2509.0,5308670.0,4922364.0
2021-04-10,2521.0,5310158.0,4925792.0
2021-04-11,2368.0,5319052.0,4939876.0
2021-04-12,2210.0,5327728.0,4952884.0
2021-04-13,1964.0,5333304.0,4957657.0
2021-04-14,1712.0,5336717.0,4962760.0
2021-04-15,1299.0,5337152.0,4963170.0
2021-04-16,1303.0,5340336.0,4969624.0
2021-04-17,1265.0,5341079.0,4971536.0
2021-04-18,1122.0,5348040.0,4978884.0
2021-04-19,982.0,5354243.0,4985846.0
2021-04-20,1021.0,5360286.0,4992525.0
2021-04-21,1095.0,5366432.0,4999421.0
2021-04-22,1299.0,5372168.0,5006886.0
2021-04-23,1236.0,5374744.0,5010114.0
2021-04-24,1223.0,5375423.0,5011325.0
2021-04-25,1178.0,5380141.0,5018142.0
2021-04-26,1176.0,5385471.0,5025859.0
2021-04-27,1143.0,5389801.0,5032268.0
2021-04-28,1116.0,5394096.0,5039359.0
2021-04-29,1083.0,5398259.0,5046443.0
2021-04-30,1066.0,5399997.0,5049431.0
2021-05-01,1054.0,5400372.0,5050249.0
2021-05-02,1014.0,5403531.0,5056189.0
2021-05-03,948.0,5406928.0,5061813.0
2021-05-04,901.0,5410300.0,5066336.0
2021-05-05,827.0,5413396.0,5070187.0
2021-05-06,746.0,5416829.0,5073102.0
2021-05-07,733.0,5418486.0,5075380.0
2021-05-08,723.0,5418655.0,5075802.0
2021-05-09,695.0,5421414.0,5080425.0
2021-05-10,666.0,5424169.0,5084944.0
2021-05-11,636.0,5426563.0,5088581.0
2021-05-12,602.0,5428368.0,5091671.0
2021-05-13,584.0,5430178.0,5095140.0
2021-05-14,554.0,5430943.0,5096470.0
2021-05-15,549.0,5431072.0,5096643.0
2021-05-16,453.0,5431496.0,5097775.0
2021-05-17,348.0,5431677.0,5098498.0
2021-05-18,357.0,5433482.0,5103269.0
