Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-09,0.0,0.0,0.0
2021-03-10,817.0,0.0,0.0
2021-03-11,817.0,0.0,0.0
2021-03-12,817.0,0.0,0.0
2021-03-13,817.0,0.0,0.0
2021-03-14,817.0,12099.0,0.0
2021-03-15,794.0,0.0,0.0
2021-03-16,776.0,16096.0,0.0
2021-03-17,750.0,0.0,0.0
2021-03-18,724.0,0.0,0.0
2021-03-19,698.0,0.0,0.0
2021-03-20,672.0,0.0,0.0
2021-03-21,646.0,0.0,0.0
2021-03-22,640.0,0.0,0.0
2021-03-23,634.0,0.0,0.0
2021-03-24,634.0,0.0,0.0
2021-03-25,634.0,33000.0,0.0
2021-03-26,605.0,0.0,0.0
2021-03-27,576.0,0.0,0.0
2021-03-28,546.0,0.0,0.0
2021-03-29,517.0,0.0,0.0
2021-03-30,488.0,0.0,0.0
2021-03-31,459.0,0.0,0.0
2021-04-01,430.0,41901.0,0.0
2021-04-02,388.0,0.0,0.0
2021-04-03,346.0,0.0,0.0
2021-04-04,305.0,0.0,0.0
2021-04-05,263.0,0.0,0.0
2021-04-06,221.0,43944.0,0.0
2021-04-07,342.0,47728.0,0.0
2021-04-08,987.0,0.0,0.0
2021-04-09,1672.0,0.0,0.0
2021-04-10,2358.0,0.0,0.0
2021-04-11,3044.0,0.0,0.0
2021-04-12,3730.0,0.0,0.0
2021-04-13,4416.0,135473.0,0.0
2021-04-14,4260.0,0.0,0.0
2021-04-15,3583.0,0.0,0.0
2021-04-16,2905.0,0.0,0.0
2021-04-17,2226.0,0.0,0.0
2021-04-18,1549.0,0.0,0.0
2021-04-19,871.0,0.0,0.0
2021-04-20,192.0,0.0,0.0
2021-04-21,192.0,0.0,0.0
2021-04-22,192.0,0.0,0.0
2021-04-23,192.0,0.0,0.0
2021-04-24,192.0,0.0,0.0
2021-04-25,192.0,0.0,0.0
2021-04-26,192.0,0.0,0.0
2021-04-27,192.0,0.0,0.0
2021-04-28,192.0,0.0,0.0
2021-04-29,192.0,0.0,0.0
2021-04-30,192.0,0.0,0.0
2021-05-01,192.0,0.0,0.0
2021-05-02,192.0,0.0,0.0
2021-05-03,192.0,0.0,0.0
2021-05-04,192.0,0.0,0.0
2021-05-05,192.0,0.0,0.0
2021-05-06,192.0,0.0,0.0
2021-05-07,192.0,0.0,0.0
2021-05-08,192.0,0.0,0.0
2021-05-09,192.0,0.0,0.0
2021-05-10,192.0,0.0,0.0
2021-05-11,192.0,0.0,0.0
2021-05-12,192.0,0.0,0.0
2021-05-13,192.0,0.0,0.0
2021-05-14,192.0,146147.0,6999.0
2021-05-15,245.0,0.0,0.0
2021-05-16,297.0,0.0,0.0
2021-05-17,349.0,0.0,0.0
2021-05-18,401.0,0.0,0.0
2021-05-19,453.0,0.0,0.0
2021-05-20,506.0,0.0,0.0
2021-05-21,558.0,150273.0,14430.0
2021-05-22,569.0,0.0,0.0
2021-05-23,580.0,0.0,0.0
2021-05-24,591.0,0.0,0.0
2021-05-25,602.0,0.0,0.0
2021-05-26,614.0,0.0,0.0
2021-05-27,625.0,0.0,0.0
2021-05-28,636.0,155683.0,22200.0
