Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-17,0.0,125.0,0.0
2021-02-18,4.0,611.0,0.0
2021-02-19,19.0,5039.0,0.0
2021-02-20,19.0,0.0,0.0
2021-02-21,19.0,0.0,0.0
2021-02-22,19.0,11934.0,0.0
2021-02-23,19.0,0.0,0.0
2021-02-24,20.0,17888.0,0.0
2021-02-25,24.0,21896.0,0.0
2021-02-26,27.0,28530.0,0.0
2021-02-27,25.0,0.0,0.0
2021-02-28,24.0,0.0,0.0
2021-03-01,22.0,31785.0,0.0
2021-03-02,22.0,34772.0,0.0
2021-03-03,22.0,37303.0,0.0
2021-03-04,20.0,39174.0,0.0
2021-03-05,20.0,46469.0,0.0
2021-03-06,28.0,0.0,0.0
2021-03-07,36.0,0.0,0.0
2021-03-08,44.0,70796.0,0.0
2021-03-09,82.0,107558.0,0.0
2021-03-10,126.0,148915.0,35.0
2021-03-11,160.0,180741.0,443.0
2021-03-12,208.0,227194.0,3348.0
2021-03-13,221.0,0.0,0.0
2021-03-14,235.0,0.0,0.0
2021-03-15,248.0,282398.0,7877.0
2021-03-16,284.0,349844.0,9347.0
2021-03-17,326.0,423196.0,14289.0
2021-03-18,370.0,490413.0,18289.0
2021-03-19,393.0,553454.0,25381.0
2021-03-20,399.0,0.0,0.0
2021-03-21,404.0,0.0,0.0
2021-03-22,409.0,623569.0,29129.0
2021-03-23,384.0,667370.0,31756.0
2021-03-24,343.0,706101.0,35079.0
2021-03-25,301.0,737672.0,37450.0
2021-03-26,276.0,781665.0,41204.0
2021-03-27,273.0,0.0,0.0
2021-03-28,271.0,0.0,0.0
2021-03-29,269.0,825704.0,64958.0
2021-03-30,283.0,852946.0,96785.0
2021-03-31,295.0,877159.0,125580.0
2021-04-01,311.0,893315.0,156797.0
2021-04-02,309.0,913341.0,183357.0
2021-04-03,321.0,0.0,0.0
2021-04-04,334.0,0.0,0.0
2021-04-05,346.0,956638.0,240246.0
2021-04-06,383.0,996058.0,292508.0
2021-04-07,441.0,1036429.0,356679.0
2021-04-08,494.0,1066385.0,421221.0
2021-04-09,560.0,1101698.0,490819.0
2021-04-10,559.0,0.0,0.0
2021-04-11,558.0,0.0,0.0
2021-04-12,558.0,1129687.0,560905.0
2021-04-13,517.0,1145186.0,600995.0
2021-04-14,459.0,1156626.0,642422.0
2021-04-15,414.0,1175324.0,678405.0
2021-04-16,324.0,0.0,0.0
2021-04-17,316.0,0.0,0.0
2021-04-18,307.0,1211715.0,718396.0
2021-04-19,411.0,1282177.0,772703.0
2021-04-20,502.0,1389913.0,800500.0
2021-04-21,627.0,1527187.0,827196.0
2021-04-22,749.0,1667994.0,849051.0
2021-04-23,796.0,0.0,0.0
2021-04-24,843.0,0.0,0.0
2021-04-25,890.0,1839356.0,878734.0
2021-04-26,1068.0,2080125.0,920385.0
2021-04-27,1169.0,2273974.0,951490.0
2021-04-28,1133.0,0.0,0.0
2021-04-29,1099.0,2493961.0,995758.0
2021-04-30,1088.0,0.0,0.0
2021-05-01,1078.0,0.0,0.0
2021-05-02,1068.0,0.0,0.0
2021-05-03,814.0,0.0,0.0
2021-05-04,625.0,0.0,0.0
2021-05-05,541.0,2793847.0,1042998.0
2021-05-06,799.0,3091529.0,1105934.0
2021-05-07,824.0,0.0,0.0
2021-05-08,849.0,0.0,0.0
2021-05-09,873.0,3277886.0,1158439.0
2021-05-10,1144.0,3500968.0,1233061.0
2021-05-11,1372.0,3674147.0,1319881.0
2021-05-12,1624.0,3844717.0,1429966.0
2021-05-13,1577.0,4027333.0,1566103.0
2021-05-14,1682.0,0.0,0.0
2021-05-15,1788.0,0.0,0.0
2021-05-16,1893.0,4380733.0,1731673.0
2021-05-17,2211.0,4725079.0,1966189.0
2021-05-18,2371.0,4952144.0,2141332.0
2021-05-19,2601.0,5236829.0,2340313.0
2021-05-20,2707.0,5528513.0,2461885.0
2021-05-21,2809.0,0.0,0.0
2021-05-22,2910.0,0.0,0.0
2021-05-23,3011.0,6131651.0,2646575.0
2021-05-24,3135.0,6610864.0,2856059.0
2021-05-25,3318.0,7104069.0,2926796.0
2021-05-26,3409.0,7607158.0,2987942.0
2021-05-27,3599.0,8104589.0,3071739.0
2021-05-28,3741.0,0.0,0.0
2021-05-29,3884.0,0.0,0.0
2021-05-30,4027.0,9116564.0,3227026.0
2021-05-31,4229.0,9774029.0,3436538.0
