Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-01-12,0.0,0.0,0.0
2021-01-13,267.0,0.0,0.0
2021-01-14,267.0,0.0,0.0
2021-01-15,267.0,0.0,0.0
2021-01-16,267.0,0.0,0.0
2021-01-17,267.0,0.0,0.0
2021-01-18,267.0,0.0,0.0
2021-01-19,267.0,0.0,0.0
2021-01-20,267.0,0.0,0.0
2021-01-21,267.0,0.0,0.0
2021-01-22,267.0,0.0,0.0
2021-01-23,267.0,30000.0,0.0
2021-01-24,247.0,0.0,0.0
2021-01-25,226.0,0.0,0.0
2021-01-26,205.0,0.0,0.0
2021-01-27,185.0,0.0,0.0
2021-01-28,164.0,0.0,0.0
2021-01-29,143.0,0.0,0.0
2021-01-30,123.0,0.0,0.0
2021-01-31,123.0,40000.0,0.0
2021-02-01,130.0,0.0,0.0
2021-02-02,138.0,0.0,0.0
2021-02-03,146.0,0.0,0.0
2021-02-04,154.0,0.0,0.0
2021-02-05,162.0,0.0,0.0
2021-02-06,170.0,0.0,0.0
2021-02-07,178.0,0.0,0.0
2021-02-08,178.0,0.0,0.0
2021-02-09,178.0,0.0,0.0
2021-02-10,178.0,0.0,0.0
2021-02-11,178.0,0.0,0.0
2021-02-12,178.0,0.0,0.0
2021-02-13,178.0,0.0,0.0
2021-02-14,178.0,0.0,0.0
2021-02-15,178.0,0.0,0.0
2021-02-16,178.0,0.0,0.0
2021-02-17,178.0,0.0,0.0
2021-02-18,178.0,0.0,0.0
2021-02-19,178.0,0.0,0.0
2021-02-20,178.0,0.0,0.0
2021-02-21,178.0,0.0,0.0
2021-02-22,178.0,50000.0,30000.0
2021-02-23,479.0,0.0,0.0
2021-02-24,781.0,0.0,0.0
2021-02-25,1082.0,0.0,0.0
2021-02-26,1099.0,0.0,0.0
2021-02-27,1115.0,0.0,0.0
2021-02-28,1132.0,0.0,0.0
2021-03-01,1149.0,0.0,0.0
2021-03-02,864.0,0.0,0.0
2021-03-03,579.0,0.0,0.0
2021-03-04,295.0,0.0,0.0
2021-03-05,295.0,0.0,0.0
2021-03-06,295.0,0.0,0.0
2021-03-07,295.0,0.0,0.0
2021-03-08,295.0,0.0,0.0
2021-03-09,295.0,0.0,0.0
2021-03-10,295.0,0.0,0.0
2021-03-11,295.0,0.0,0.0
2021-03-12,295.0,0.0,0.0
2021-03-13,295.0,0.0,0.0
2021-03-14,295.0,0.0,0.0
2021-03-15,295.0,155772.0,48379.0
2021-03-16,517.0,0.0,0.0
2021-03-17,739.0,189456.0,52412.0
2021-03-18,804.0,0.0,0.0
2021-03-19,870.0,0.0,0.0
2021-03-20,936.0,0.0,0.0
2021-03-21,1001.0,209278.0,63370.0
2021-03-22,1181.0,0.0,0.0
2021-03-23,1138.0,0.0,0.0
2021-03-24,1096.0,251197.0,68943.0
2021-03-25,1196.0,0.0,0.0
2021-03-26,1296.0,0.0,0.0
2021-03-27,1396.0,0.0,0.0
2021-03-28,1496.0,0.0,0.0
2021-03-29,1482.0,0.0,0.0
2021-03-30,1469.0,304946.0,104257.0
2021-03-31,1449.0,0.0,0.0
2021-04-01,1443.0,0.0,0.0
2021-04-02,1437.0,0.0,0.0
2021-04-03,1431.0,0.0,0.0
2021-04-04,1425.0,0.0,0.0
2021-04-05,1419.0,0.0,0.0
2021-04-06,1413.0,0.0,0.0
2021-04-07,1413.0,404912.0,119621.0
2021-04-08,1492.0,0.0,0.0
2021-04-09,1572.0,0.0,0.0
2021-04-10,1652.0,0.0,0.0
2021-04-11,1731.0,0.0,0.0
2021-04-12,1811.0,0.0,0.0
2021-04-13,1890.0,0.0,0.0
2021-04-14,1970.0,543095.0,122131.0
2021-04-15,1876.0,0.0,0.0
2021-04-16,1781.0,0.0,0.0
2021-04-17,1687.0,0.0,0.0
2021-04-18,1593.0,0.0,0.0
2021-04-19,1498.0,607381.0,124671.0
2021-04-20,1480.0,0.0,0.0
2021-04-21,1462.0,0.0,0.0
2021-04-22,1538.0,0.0,0.0
2021-04-23,1614.0,0.0,0.0
2021-04-24,1689.0,0.0,0.0
2021-04-25,1765.0,0.0,0.0
2021-04-26,1841.0,0.0,0.0
2021-04-27,1841.0,0.0,0.0
2021-04-28,1841.0,0.0,0.0
2021-04-29,1841.0,699328.0,220594.0
2021-04-30,2057.0,0.0,0.0
2021-05-01,2274.0,0.0,0.0
2021-05-02,2490.0,0.0,0.0
2021-05-03,2706.0,0.0,0.0
2021-05-04,2922.0,805020.0,286028.0
2021-05-05,2988.0,0.0,0.0
2021-05-06,3054.0,0.0,0.0
2021-05-07,2904.0,0.0,0.0
2021-05-08,2753.0,0.0,0.0
2021-05-09,2603.0,0.0,0.0
2021-05-10,2453.0,0.0,0.0
2021-05-11,2303.0,0.0,0.0
2021-05-12,2303.0,0.0,0.0
2021-05-13,2303.0,0.0,0.0
2021-05-14,2303.0,0.0,0.0
2021-05-15,2303.0,0.0,0.0
2021-05-16,2303.0,0.0,0.0
2021-05-17,2303.0,0.0,0.0
2021-05-18,2303.0,1034808.0,385142.0
2021-05-19,2551.0,0.0,0.0
2021-05-20,2800.0,0.0,0.0
2021-05-21,3049.0,0.0,0.0
2021-05-22,3297.0,0.0,0.0
2021-05-23,3546.0,0.0,0.0
2021-05-24,3795.0,0.0,0.0
2021-05-25,4043.0,0.0,0.0
2021-05-26,4043.0,1300000.0,450000.0
2021-05-27,5283.0,1389247.0,490562.0
2021-05-28,5048.0,1412419.0,491816.0
