Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-28,0.0,0.0,0.0
2020-12-29,262.0,0.0,0.0
2020-12-30,262.0,0.0,0.0
2020-12-31,262.0,0.0,0.0
2021-01-01,262.0,0.0,0.0
2021-01-02,262.0,0.0,0.0
2021-01-03,262.0,0.0,0.0
2021-01-04,262.0,0.0,0.0
2021-01-05,262.0,0.0,0.0
2021-01-06,262.0,0.0,0.0
2021-01-07,262.0,0.0,0.0
2021-01-08,262.0,0.0,0.0
2021-01-09,262.0,0.0,0.0
2021-01-10,262.0,0.0,0.0
2021-01-11,262.0,0.0,0.0
2021-01-12,262.0,0.0,0.0
2021-01-13,262.0,0.0,0.0
2021-01-14,262.0,0.0,0.0
2021-01-15,262.0,0.0,0.0
2021-01-16,262.0,0.0,0.0
2021-01-17,262.0,0.0,0.0
2021-01-18,262.0,0.0,0.0
2021-01-19,262.0,0.0,0.0
2021-01-20,262.0,0.0,0.0
2021-01-21,262.0,0.0,0.0
2021-01-22,262.0,0.0,0.0
2021-01-23,262.0,0.0,0.0
2021-01-24,262.0,0.0,0.0
2021-01-25,262.0,0.0,0.0
2021-01-26,262.0,0.0,0.0
2021-01-27,459.0,0.0,0.0
2021-01-28,656.0,0.0,0.0
2021-01-29,852.0,0.0,0.0
2021-01-30,1049.0,0.0,0.0
2021-01-31,1246.0,0.0,0.0
2021-02-01,1442.0,0.0,0.0
2021-02-02,1639.0,0.0,0.0
2021-02-03,1639.0,0.0,0.0
2021-02-04,1639.0,0.0,0.0
2021-02-05,1639.0,0.0,0.0
2021-02-06,1639.0,0.0,0.0
2021-02-07,1639.0,0.0,0.0
2021-02-08,1639.0,0.0,0.0
2021-02-09,1639.0,0.0,0.0
2021-02-10,1639.0,0.0,0.0
2021-02-11,1639.0,0.0,0.0
2021-02-12,1639.0,0.0,0.0
2021-02-13,1639.0,0.0,0.0
2021-02-14,1639.0,0.0,0.0
2021-02-15,1639.0,137000.0,38000.0
2021-02-16,1700.0,0.0,0.0
2021-02-17,1760.0,0.0,0.0
2021-02-18,1821.0,0.0,0.0
2021-02-19,1881.0,0.0,0.0
2021-02-20,1942.0,0.0,0.0
2021-02-21,2002.0,0.0,0.0
2021-02-22,2063.0,0.0,0.0
2021-02-23,2063.0,0.0,0.0
2021-02-24,2063.0,0.0,0.0
2021-02-25,2063.0,0.0,0.0
2021-02-26,2063.0,0.0,0.0
2021-02-27,2063.0,0.0,0.0
2021-02-28,2063.0,0.0,0.0
2021-03-01,2063.0,0.0,0.0
2021-03-02,2063.0,0.0,0.0
2021-03-03,2063.0,0.0,0.0
2021-03-04,2063.0,0.0,0.0
2021-03-05,2063.0,0.0,0.0
2021-03-06,2063.0,0.0,0.0
2021-03-07,2063.0,0.0,0.0
2021-03-08,2063.0,322000.0,38000.0
2021-03-09,2193.0,0.0,0.0
2021-03-10,2324.0,0.0,0.0
2021-03-11,2455.0,0.0,0.0
2021-03-12,2585.0,0.0,0.0
2021-03-13,2716.0,0.0,0.0
2021-03-14,2846.0,0.0,0.0
2021-03-15,2977.0,0.0,0.0
2021-03-16,2977.0,0.0,0.0
2021-03-17,2977.0,0.0,0.0
2021-03-18,2977.0,0.0,0.0
2021-03-19,2977.0,0.0,0.0
2021-03-20,2977.0,0.0,0.0
2021-03-21,2977.0,0.0,0.0
2021-03-22,2977.0,500000.0,38000.0
2021-03-23,2871.0,0.0,0.0
2021-03-24,2766.0,0.0,0.0
2021-03-25,2660.0,0.0,0.0
2021-03-26,2554.0,0.0,0.0
2021-03-27,2448.0,0.0,0.0
2021-03-28,2342.0,0.0,0.0
2021-03-29,2237.0,0.0,38000.0
2021-03-30,2344.0,0.0,0.0
2021-03-31,2451.0,0.0,0.0
2021-04-01,2558.0,0.0,0.0
2021-04-02,2665.0,0.0,0.0
2021-04-03,2773.0,0.0,0.0
2021-04-04,2880.0,0.0,0.0
2021-04-05,2987.0,0.0,0.0
2021-04-06,2987.0,0.0,0.0
2021-04-07,2987.0,0.0,0.0
2021-04-08,2987.0,0.0,0.0
2021-04-09,2987.0,0.0,0.0
2021-04-10,2987.0,0.0,0.0
2021-04-11,2987.0,0.0,0.0
2021-04-12,2987.0,0.0,0.0
2021-04-13,2987.0,0.0,0.0
2021-04-14,2987.0,0.0,0.0
2021-04-15,2987.0,0.0,0.0
2021-04-16,2987.0,0.0,0.0
2021-04-17,2987.0,0.0,0.0
2021-04-18,2987.0,822000.0,38000.0
2021-04-19,3230.0,0.0,0.0
2021-04-20,3472.0,0.0,0.0
2021-04-21,3714.0,0.0,0.0
2021-04-22,3956.0,0.0,0.0
2021-04-23,4199.0,0.0,0.0
2021-04-24,4441.0,0.0,0.0
2021-04-25,4683.0,0.0,0.0
2021-04-26,5378.0,0.0,0.0
2021-04-27,6073.0,0.0,0.0
2021-04-28,6768.0,0.0,0.0
2021-04-29,7463.0,0.0,0.0
2021-04-30,8158.0,0.0,0.0
2021-05-01,8854.0,0.0,0.0
2021-05-02,9549.0,0.0,0.0
2021-05-03,9549.0,0.0,0.0
2021-05-04,9549.0,0.0,0.0
2021-05-05,9406.0,0.0,0.0
2021-05-06,9262.0,0.0,0.0
2021-05-07,9170.0,0.0,0.0
2021-05-08,9077.0,0.0,0.0
2021-05-09,8984.0,0.0,0.0
2021-05-10,8891.0,0.0,0.0
2021-05-11,8798.0,0.0,0.0
2021-05-12,8848.0,0.0,0.0
2021-05-13,8898.0,0.0,0.0
2021-05-14,8898.0,0.0,0.0
2021-05-15,8898.0,0.0,0.0
2021-05-16,8898.0,0.0,0.0
