Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-17,0.0,40732.0,0.0
2021-03-18,467.0,0.0,0.0
2021-03-19,467.0,0.0,0.0
2021-03-20,467.0,0.0,0.0
2021-03-21,467.0,0.0,0.0
2021-03-22,467.0,0.0,0.0
2021-03-23,467.0,0.0,0.0
2021-03-24,467.0,0.0,0.0
2021-03-25,467.0,0.0,0.0
2021-03-26,467.0,0.0,0.0
2021-03-27,467.0,0.0,0.0
2021-03-28,467.0,0.0,0.0
2021-03-29,467.0,0.0,0.0
2021-03-30,467.0,0.0,0.0
2021-03-31,467.0,0.0,0.0
2021-04-01,467.0,0.0,0.0
2021-04-02,467.0,0.0,0.0
2021-04-03,467.0,0.0,0.0
2021-04-04,467.0,0.0,0.0
2021-04-05,467.0,0.0,0.0
2021-04-06,467.0,0.0,0.0
2021-04-07,467.0,0.0,0.0
2021-04-08,467.0,0.0,0.0
2021-04-09,467.0,0.0,0.0
2021-04-10,467.0,0.0,0.0
2021-04-11,467.0,0.0,0.0
2021-04-12,467.0,0.0,0.0
2021-04-13,467.0,0.0,0.0
2021-04-14,467.0,105568.0,30281.0
2021-04-15,405.0,0.0,0.0
2021-04-16,343.0,0.0,0.0
2021-04-17,281.0,0.0,0.0
2021-04-18,219.0,0.0,0.0
2021-04-19,157.0,106105.0,30921.0
2021-04-20,229.0,0.0,0.0
2021-04-21,301.0,108501.0,42674.0
2021-04-22,407.0,109706.0,47112.0
2021-04-23,625.0,0.0,0.0
2021-04-24,844.0,122310.0,57215.0
2021-04-25,921.0,125363.0,58315.0
2021-04-26,930.0,126072.0,58315.0
2021-04-27,1218.0,0.0,0.0
2021-04-28,1505.0,0.0,0.0
2021-04-29,1821.0,0.0,0.0
2021-04-30,2024.0,0.0,0.0
2021-05-01,2228.0,0.0,0.0
2021-05-02,2573.0,0.0,0.0
2021-05-03,2985.0,0.0,0.0
2021-05-04,2985.0,0.0,0.0
2021-05-05,2985.0,0.0,0.0
2021-05-06,2985.0,0.0,0.0
2021-05-07,2985.0,0.0,0.0
2021-05-08,2985.0,0.0,0.0
2021-05-09,2985.0,0.0,0.0
2021-05-10,2985.0,405200.0,83273.0
2021-05-11,2927.0,0.0,0.0
2021-05-12,2869.0,0.0,0.0
2021-05-13,2810.0,0.0,0.0
2021-05-14,2752.0,474983.0,88483.0
2021-05-15,2704.0,493481.0,89266.0
2021-05-16,2678.0,0.0,0.0
2021-05-17,2653.0,533172.0,90405.0
2021-05-18,2503.0,542132.0,92582.0
2021-05-19,2416.0,553612.0,95394.0
2021-05-20,2445.0,568233.0,101026.0
2021-05-21,2490.0,584532.0,105734.0
2021-05-22,2870.0,602669.0,126249.0
2021-05-23,2469.0,602669.0,126249.0
2021-05-24,2212.0,0.0,0.0
2021-05-25,2136.0,0.0,0.0
2021-05-26,1998.0,614566.0,136217.0
2021-05-27,2052.0,0.0,0.0
2021-05-28,2091.0,0.0,0.0
2021-05-29,1783.0,0.0,0.0
2021-05-30,2234.0,0.0,0.0
2021-05-31,2542.0,638377.0,227317.0
