Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-28,0.0,595.0,0.0
2020-12-29,463.0,1468.0,0.0
2020-12-30,442.0,2261.0,0.0
2020-12-31,319.0,0.0,0.0
2021-01-01,258.0,0.0,0.0
2021-01-02,221.0,0.0,0.0
2021-01-03,197.0,0.0,0.0
2021-01-04,179.0,2960.0,0.0
2021-01-05,180.0,3849.0,0.0
2021-01-06,179.0,4625.0,0.0
2021-01-07,230.0,5434.0,0.0
2021-01-08,288.0,6341.0,0.0
2021-01-09,301.0,6646.0,0.0
2021-01-10,315.0,6982.0,0.0
2021-01-11,408.0,8349.0,0.0
2021-01-12,464.0,9976.0,0.0
2021-01-13,520.0,11488.0,0.0
2021-01-14,596.0,13312.0,0.0
2021-01-15,670.0,15186.0,0.0
2021-01-16,697.0,15854.0,0.0
2021-01-17,681.0,15971.0,0.0
2021-01-18,642.0,16244.0,575.0
2021-01-19,585.0,16316.0,1380.0
2021-01-20,529.0,16335.0,2135.0
2021-01-21,412.0,16601.0,2148.0
2021-01-22,286.0,16800.0,2165.0
2021-01-23,245.0,16926.0,2165.0
2021-01-24,236.0,16927.0,2165.0
2021-01-25,223.0,16946.0,2814.0
2021-01-26,221.0,16976.0,3637.0
2021-01-27,225.0,17057.0,4379.0
2021-01-28,263.0,17086.0,5133.0
2021-01-29,320.0,17138.0,6046.0
2021-01-30,333.0,17142.0,6350.0
2021-01-31,358.0,17142.0,6684.0
2021-02-01,398.0,17155.0,7859.0
2021-02-02,471.0,17292.0,9538.0
2021-02-03,532.0,17536.0,10918.0
2021-02-04,586.0,17676.0,12285.0
2021-02-05,640.0,17838.0,13792.0
2021-02-06,660.0,17847.0,14353.0
2021-02-07,644.0,17849.0,14476.0
2021-02-08,585.0,18105.0,14631.0
2021-02-09,461.0,18246.0,14674.0
2021-02-10,386.0,18677.0,14873.0
2021-02-11,407.0,19781.0,15555.0
2021-02-12,412.0,20960.0,16113.0
2021-02-13,399.0,21184.0,16290.0
2021-02-14,392.0,21185.0,16310.0
2021-02-15,427.0,21909.0,16465.0
2021-02-16,518.0,23216.0,16541.0
2021-02-17,621.0,25036.0,16720.0
2021-02-18,604.0,26535.0,16775.0
2021-02-19,577.0,27858.0,16832.0
2021-02-20,603.0,28583.0,16851.0
2021-02-21,663.0,29391.0,16851.0
2021-02-22,731.0,31145.0,16882.0
2021-02-23,808.0,33512.0,16911.0
2021-02-24,984.0,37803.0,16943.0
2021-02-25,1184.0,41962.0,16988.0
2021-02-26,1337.0,45261.0,17077.0
2021-02-27,1325.0,45842.0,17086.0
2021-02-28,1273.0,45971.0,17088.0
2021-03-01,1272.0,47506.0,17316.0
2021-03-02,1256.0,49388.0,17618.0
2021-03-03,1241.0,53321.0,17807.0
2021-03-04,1376.0,59196.0,17924.0
2021-03-05,1486.0,63893.0,18061.0
2021-03-06,1500.0,64663.0,18065.0
2021-03-07,1496.0,64739.0,18068.0
2021-03-08,1491.0,66403.0,18105.0
2021-03-09,1504.0,68737.0,18130.0
2021-03-10,1379.0,71176.0,18163.0
2021-03-11,1127.0,73819.0,18173.0
2021-03-12,1137.0,78782.0,18181.0
2021-03-13,1147.0,79693.0,18182.0
2021-03-14,1147.0,79765.0,18182.0
2021-03-15,1301.0,83440.0,18245.0
2021-03-16,1136.0,83500.0,18367.0
2021-03-17,962.0,83566.0,18472.0
2021-03-18,781.0,83580.0,18732.0
2021-03-19,458.0,83994.0,19019.0
2021-03-20,419.0,84395.0,19019.0
2021-03-21,416.0,84419.0,19019.0
2021-03-22,332.0,86814.0,19250.0
2021-03-23,733.0,91912.0,19638.0
2021-03-24,1184.0,97354.0,20321.0
2021-03-25,1571.0,102063.0,20996.0
2021-03-26,1822.0,105370.0,21694.0
2021-03-27,1834.0,105609.0,22019.0
2021-03-28,1834.0,105638.0,22019.0
2021-03-29,1795.0,107353.0,22414.0
2021-03-30,1760.0,111659.0,23121.0
