Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-13,0.0,0.0,0.0
2021-02-14,7.0,0.0,0.0
2021-02-15,94.0,0.0,0.0
2021-02-16,160.0,0.0,0.0
2021-02-17,217.0,0.0,0.0
2021-02-18,281.0,0.0,0.0
2021-02-19,326.0,0.0,0.0
2021-02-20,279.0,0.0,0.0
2021-02-21,278.0,0.0,0.0
2021-02-22,351.0,0.0,0.0
2021-02-23,383.0,0.0,0.0
2021-02-24,407.0,0.0,0.0
2021-02-25,423.0,0.0,0.0
2021-02-26,453.0,0.0,0.0
2021-02-27,453.0,0.0,0.0
2021-02-28,571.0,0.0,0.0
2021-03-01,582.0,0.0,0.0
2021-03-02,545.0,0.0,0.0
2021-03-03,611.0,0.0,0.0
2021-03-04,579.0,0.0,0.0
2021-03-05,535.0,0.0,0.0
2021-03-06,539.0,0.0,0.0
2021-03-07,434.0,0.0,0.0
2021-03-08,380.0,0.0,0.0
2021-03-09,363.0,0.0,0.0
2021-03-10,683.0,75341.0,11875.0
2021-03-11,722.0,76883.0,15084.0
2021-03-12,740.0,78177.0,17711.0
2021-03-13,797.0,0.0,0.0
2021-03-14,847.0,0.0,0.0
2021-03-15,852.0,81802.0,22923.0
2021-03-16,1050.0,86098.0,29066.0
2021-03-17,705.0,88219.0,32671.0
2021-03-18,785.0,90974.0,38513.0
2021-03-19,824.0,92573.0,42704.0
2021-03-20,764.0,92597.0,42752.0
2021-03-21,767.0,93801.0,44619.0
2021-03-22,908.0,98022.0,50097.0
2021-03-23,897.0,102363.0,55655.0
2021-03-24,944.0,105534.0,60481.0
2021-03-25,932.0,108630.0,65401.0
2021-03-26,938.0,111019.0,69055.0
2021-03-27,958.0,111517.0,69610.0
2021-03-28,1011.0,114730.0,71982.0
2021-03-29,958.0,118998.0,74905.0
2021-03-30,1039.0,127913.0,79734.0
2021-03-31,1052.0,133294.0,82992.0
2021-04-01,1011.0,136761.0,85571.0
2021-04-02,955.0,138558.0,87150.0
2021-04-03,936.0,138610.0,87232.0
2021-04-04,865.0,139855.0,88195.0
2021-04-05,866.0,144264.0,91039.0
2021-04-06,777.0,150660.0,94112.0
2021-04-07,897.0,161164.0,97989.0
2021-04-08,968.0,167957.0,100621.0
2021-04-09,977.0,170506.0,101873.0
2021-04-10,999.0,170571.0,103016.0
2021-04-11,1083.0,0.0,0.0
2021-04-12,1060.0,178155.0,107811.0
2021-04-13,1076.0,184109.0,112056.0
2021-04-14,775.0,184111.0,112057.0
2021-04-15,1089.0,198763.0,121860.0
2021-04-16,1052.0,199999.0,122648.0
2021-04-17,1029.0,200111.0,122657.0
2021-04-18,1040.0,204564.0,124888.0
2021-04-19,1200.0,213168.0,130118.0
2021-04-20,1164.0,217778.0,134014.0
2021-04-21,1461.0,0.0,0.0
2021-04-22,1246.0,0.0,0.0
2021-04-23,1501.0,0.0,0.0
2021-04-24,1795.0,267582.0,140950.0
2021-04-25,1802.0,271335.0,144227.0
2021-04-26,1645.0,274263.0,147642.0
2021-04-27,1810.0,282456.0,155812.0
2021-04-28,1869.0,290216.0,165059.0
2021-04-29,1695.0,293030.0,168130.0
2021-04-30,1410.0,293260.0,168466.0
2021-05-01,1114.0,293277.0,168481.0
2021-05-02,1054.0,294945.0,170964.0
2021-05-03,1085.0,298835.0,174905.0
2021-05-04,1040.0,307573.0,180401.0
2021-05-05,957.0,317612.0,183372.0
2021-05-06,1016.0,325383.0,184322.0
2021-05-07,1191.0,0.0,0.0
2021-05-08,1377.0,0.0,0.0
2021-05-09,1477.0,0.0,0.0
2021-05-10,1500.0,0.0,0.0
2021-05-11,1388.0,0.0,0.0
2021-05-12,1303.0,0.0,0.0
2021-05-13,1307.0,0.0,0.0
2021-05-14,1307.0,377044.0,204024.0
2021-05-15,1130.0,377487.0,204031.0
2021-05-16,1052.0,382219.0,204515.0
2021-05-17,1289.0,399742.0,207252.0
2021-05-18,1342.0,410328.0,208086.0
2021-05-19,1433.0,421523.0,210156.0
2021-05-20,1668.0,436484.0,215366.0
2021-05-21,1674.0,443737.0,217312.0
2021-05-22,1676.0,444282.0,217327.0
2021-05-23,1634.0,446633.0,218181.0
2021-05-24,1490.0,455766.0,222412.0
2021-05-25,1333.0,458915.0,223181.0
2021-05-26,1750.0,479863.0,235423.0
2021-05-27,1538.0,486638.0,238695.0
2021-05-28,1597.0,496596.0,240732.0
2021-05-29,1690.0,501061.0,241304.0
2021-05-30,1828.0,507853.0,244319.0
2021-05-31,2015.0,521645.0,252790.0
