Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-05-12,0.0,36404.0,0.0
2021-05-13,352.0,0.0,0.0
2021-05-14,352.0,0.0,0.0
2021-05-15,352.0,0.0,0.0
2021-05-16,352.0,0.0,0.0
2021-05-17,352.0,0.0,0.0
2021-05-18,352.0,0.0,0.0
2021-05-19,352.0,0.0,0.0
2021-05-20,352.0,0.0,0.0
2021-05-21,352.0,52446.0,0.0
2021-05-22,313.0,0.0,0.0
2021-05-23,274.0,0.0,0.0
2021-05-24,235.0,53626.0,0.0
2021-05-25,214.0,0.0,0.0
2021-05-26,192.0,55690.0,0.0
2021-05-27,145.0,0.0,0.0
2021-05-28,97.0,0.0,0.0
2021-05-29,88.0,0.0,0.0
2021-05-30,80.0,0.0,0.0
2021-05-31,71.0,56144.0,0.0
