Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-22,0.0,0.0,0.0
2020-12-23,0.0,0.0,0.0
2020-12-24,0.0,0.0,0.0
2020-12-25,0.0,0.0,0.0
2020-12-26,0.0,0.0,0.0
2020-12-27,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0
2020-12-29,0.0,0.0,0.0
2020-12-30,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0
2021-01-02,0.0,0.0,0.0
2021-01-03,0.0,0.0,0.0
2021-01-04,0.0,2.0,0.0
2021-01-05,0.0,2.0,0.0
2021-01-06,26.0,5.0,0.0
2021-01-07,26.0,6.0,0.0
2021-01-08,26.0,6.0,0.0
2021-01-09,26.0,6.0,0.0
2021-01-10,26.0,6.0,0.0
2021-01-11,26.0,6.0,0.0
2021-01-12,26.0,11.0,0.0
2021-01-13,26.0,11.0,0.0
2021-01-14,26.0,11.0,0.0
2021-01-15,26.0,11.0,0.0
2021-01-16,26.0,11.0,0.0
2021-01-17,26.0,11.0,0.0
2021-01-18,420.0,116.0,0.0
2021-01-19,682.0,191.0,0.0
2021-01-20,892.0,247.0,0.0
2021-01-21,1128.0,313.0,0.0
2021-01-22,1232.0,343.0,0.0
2021-01-23,1232.0,343.0,0.0
2021-01-24,1232.0,343.0,0.0
2021-01-25,1128.0,418.0,0.0
2021-01-26,1023.0,463.0,0.0
2021-01-27,813.0,463.0,0.0
2021-01-28,1259.0,651.0,0.0
2021-01-29,1862.0,841.0,0.0
2021-01-30,1862.0,841.0,0.0
2021-01-31,1862.0,841.0,0.0
2021-02-01,1573.0,841.0,0.0
2021-02-02,1416.0,841.0,0.0
2021-02-03,1442.0,841.0,5.0
2021-02-04,734.0,841.0,5.0
2021-02-05,26.0,841.0,5.0
2021-02-06,26.0,841.0,5.0
2021-02-07,26.0,841.0,5.0
2021-02-08,420.0,841.0,110.0
2021-02-09,682.0,842.0,184.0
2021-02-10,865.0,844.0,235.0
2021-02-11,1128.0,844.0,300.0
2021-02-12,1232.0,844.0,330.0
2021-02-13,1232.0,844.0,330.0
2021-02-14,1232.0,844.0,330.0
2021-02-15,1128.0,845.0,404.0
2021-02-16,1757.0,1046.0,448.0
2021-02-17,2307.0,1247.0,448.0
2021-02-18,2517.0,1367.0,448.0
2021-02-19,2412.0,1367.0,448.0
2021-02-20,2412.0,1367.0,448.0
2021-02-21,2412.0,1367.0,448.0
2021-02-22,2884.0,1570.0,448.0
2021-02-23,2727.0,1774.0,448.0
2021-02-24,1967.0,1774.0,448.0
2021-02-25,2229.0,1781.0,630.0
2021-02-26,2937.0,1781.0,820.0
2021-02-27,2937.0,1781.0,820.0
2021-02-28,2937.0,1781.0,820.0
2021-03-01,2176.0,1781.0,820.0
2021-03-02,1416.0,1781.0,820.0
2021-03-03,1888.0,1903.0,820.0
2021-03-04,1914.0,2099.0,820.0
2021-03-05,1967.0,2308.0,820.0
2021-03-06,1967.0,2308.0,820.0
2021-03-07,1967.0,2308.0,820.0
2021-03-08,1967.0,2308.0,820.0
2021-03-09,2753.0,2518.0,821.0
2021-03-10,3068.0,2719.0,821.0
2021-03-11,3225.0,2958.0,821.0
2021-03-12,2439.0,2958.0,821.0
2021-03-13,2439.0,2958.0,821.0
2021-03-14,2439.0,2958.0,821.0
2021-03-15,2465.0,2968.0,821.0
2021-03-16,2491.0,2983.0,1021.0
2021-03-17,2596.0,3001.0,1235.0
2021-03-18,2203.0,3012.0,1354.0
2021-03-19,2203.0,3012.0,1354.0
2021-03-20,2203.0,3012.0,1354.0
2021-03-21,2203.0,3012.0,1354.0
2021-03-22,2911.0,3014.0,1555.0
2021-03-23,2884.0,3019.0,1753.0
2021-03-24,2911.0,3258.0,1753.0
2021-03-25,3304.0,3498.0,1753.0
2021-03-26,4222.0,3737.0,1753.0
2021-03-27,4222.0,3737.0,1753.0
2021-03-28,4222.0,3737.0,1753.0
2021-03-29,4353.0,3976.0,1753.0
2021-03-30,4510.0,4217.0,1762.0
2021-03-31,4091.0,4217.0,1884.0
2021-04-01,3933.0,4217.0,2081.0
2021-04-02,3802.0,4219.0,2285.0
2021-04-03,3802.0,4219.0,2285.0
2021-04-04,3802.0,4219.0,2285.0
2021-04-05,2911.0,4219.0,2285.0
2021-04-06,2753.0,4220.0,2494.0
2021-04-07,3042.0,4221.0,2693.0
2021-04-08,3199.0,4224.0,2930.0
2021-04-09,3409.0,4484.0,2930.0
2021-04-10,3409.0,4484.0,2930.0
2021-04-11,3409.0,4484.0,2930.0
2021-04-12,4458.0,4753.0,2940.0
2021-04-13,4694.0,5017.0,2951.0
2021-04-14,5087.0,5305.0,2970.0
2021-04-15,5323.0,5590.0,2982.0
2021-04-16,5428.0,5876.0,2984.0
2021-04-17,5428.0,5876.0,2984.0
2021-04-18,5428.0,5876.0,2984.0
2021-04-19,6450.0,6428.0,2990.0
2021-04-20,7447.0,6969.0,2990.0
2021-04-21,8181.0,7229.0,3228.0
2021-04-22,8941.0,7489.0,3471.0
2021-04-23,9728.0,7752.0,3705.0
2021-04-24,9728.0,7752.0,3705.0
2021-04-25,9728.0,7752.0,3705.0
2021-04-26,8548.0,7756.0,3941.0
2021-04-27,7447.0,7773.0,4173.0
2021-04-28,6608.0,8044.0,4175.0
2021-04-29,5716.0,8311.0,4177.0
2021-04-30,5769.0,8815.0,4183.0
2021-05-01,5769.0,8815.0,4183.0
2021-05-02,5769.0,8815.0,4183.0
2021-05-03,5926.0,9094.0,4183.0
2021-05-04,6005.0,9366.0,4183.0
2021-05-05,6031.0,9645.0,4184.0
2021-05-06,6083.0,9925.0,4184.0
2021-05-07,5139.0,9932.0,4437.0
2021-05-08,5139.0,9932.0,4437.0
2021-05-09,5139.0,9932.0,4437.0
2021-05-10,6188.0,10226.0,4703.0
2021-05-11,7185.0,10511.0,4958.0
2021-05-12,7263.0,10518.0,5247.0
2021-05-13,7263.0,10523.0,5528.0
2021-05-14,7368.0,10529.0,5804.0
2021-05-15,7368.0,10529.0,5804.0
2021-05-16,7368.0,10529.0,5804.0
2021-05-17,7342.0,10540.0,6352.0
2021-05-18,7368.0,10545.0,6892.0
2021-05-19,8286.0,10826.0,7152.0
2021-05-20,9256.0,11110.0,7410.0
2021-05-21,10279.0,11406.0,7672.0
2021-05-22,10279.0,11406.0,7672.0
2021-05-23,10279.0,11406.0,7672.0
2021-05-24,8181.0,11406.0,7672.0
2021-05-25,8233.0,11965.0,7672.0
2021-05-26,8260.0,12245.0,7939.0
