Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-27,0.0,2454.0,0.0
2020-12-28,1013.0,5211.0,0.0
2020-12-29,1053.0,8185.0,0.0
2020-12-30,889.0,9717.0,0.0
2020-12-31,669.0,9742.0,0.0
2021-01-01,536.0,9742.0,0.0
2021-01-02,446.0,9742.0,0.0
2021-01-03,382.0,9742.0,0.0
2021-01-04,238.0,9744.0,0.0
2021-01-05,115.0,10367.0,0.0
2021-01-06,218.0,13868.0,0.0
2021-01-07,436.0,18043.0,0.0
2021-01-08,707.0,23227.0,0.0
2021-01-09,724.0,23531.0,0.0
2021-01-10,724.0,23534.0,0.0
2021-01-11,839.0,25740.0,0.0
2021-01-12,917.0,27829.0,0.0
2021-01-13,1061.0,34086.0,0.0
2021-01-14,1296.0,42734.0,0.0
2021-01-15,1408.0,50051.0,0.0
2021-01-16,1450.0,51156.0,0.0
2021-01-17,1509.0,51198.0,1091.0
2021-01-18,1631.0,54049.0,2766.0
2021-01-19,1851.0,56424.0,6682.0
2021-01-20,1705.0,58064.0,8519.0
2021-01-21,1333.0,58975.0,9157.0
2021-01-22,969.0,59298.0,9227.0
2021-01-23,912.0,59306.0,9227.0
2021-01-24,853.0,59306.0,9227.0
2021-01-25,620.0,59408.0,9229.0
2021-01-26,455.0,61898.0,9889.0
2021-01-27,636.0,65742.0,12965.0
2021-01-28,928.0,69135.0,16676.0
2021-01-29,1332.0,72128.0,21769.0
2021-01-30,1365.0,72324.0,22217.0
2021-01-31,1365.0,72332.0,22217.0
2021-02-01,1511.0,73384.0,24049.0
2021-02-02,1551.0,75043.0,26305.0
2021-02-03,1545.0,76667.0,31491.0
2021-02-04,1690.0,78188.0,39839.0
2021-02-05,1651.0,79125.0,46233.0
2021-02-06,1655.0,79195.0,46891.0
2021-02-07,1660.0,79197.0,46986.0
2021-02-08,1648.0,79417.0,49428.0
2021-02-09,1594.0,80490.0,51221.0
2021-02-10,1559.0,85003.0,52857.0
2021-02-11,1517.0,92773.0,54162.0
2021-02-12,1515.0,99087.0,55147.0
2021-02-13,1501.0,99534.0,55147.0
2021-02-14,1495.0,99534.0,55148.0
2021-02-15,1600.0,103489.0,55843.0
2021-02-16,1476.0,103801.0,56042.0
2021-02-17,1588.0,108148.0,59980.0
2021-02-18,1707.0,114654.0,64811.0
2021-02-19,1874.0,121814.0,68136.0
2021-02-20,1904.0,122757.0,68198.0
2021-02-21,1904.0,122757.0,68198.0
2021-02-22,1947.0,126661.0,69776.0
2021-02-23,2375.0,134217.0,70881.0
2021-02-24,2555.0,145007.0,71806.0
2021-02-25,2582.0,155925.0,72753.0
2021-02-26,2559.0,164924.0,73796.0
2021-02-27,2548.0,165685.0,73827.0
2021-02-28,2571.0,166112.0,73827.0
2021-03-01,2680.0,173535.0,73974.0
2021-03-02,2716.0,182273.0,74586.0
2021-03-03,2731.0,192025.0,76836.0
2021-03-04,2919.0,202288.0,82022.0
2021-03-05,3128.0,211637.0,86693.0
2021-03-06,3119.0,212120.0,86836.0
2021-03-07,3097.0,212121.0,86837.0
2021-03-08,3167.0,220064.0,87799.0
2021-03-09,3301.0,230588.0,89167.0
2021-03-10,3491.0,243666.0,91726.0
2021-03-11,2740.0,244123.0,92405.0
2021-03-12,2946.0,254760.0,99703.0
2021-03-13,3004.0,255793.0,100416.0
2021-03-14,3006.0,255818.0,100416.0
2021-03-15,2960.0,262737.0,101541.0
2021-03-16,2872.0,268286.0,106194.0
2021-03-17,2604.0,270944.0,114075.0
2021-03-18,2985.0,273714.0,119687.0
2021-03-19,2529.0,276865.0,125786.0
2021-03-20,2475.0,277346.0,126039.0
2021-03-21,2476.0,277358.0,126059.0
2021-03-22,2485.0,284221.0,127414.0
2021-03-23,2624.0,291401.0,133089.0
2021-03-24,2995.0,303519.0,138565.0
2021-03-25,3443.0,313579.0,145425.0
2021-03-26,3818.0,323348.0,152065.0
2021-03-27,3945.0,326387.0,152177.0
2021-03-28,3953.0,326487.0,152261.0
2021-03-29,3934.0,332306.0,154302.0
2021-03-30,3935.0,339016.0,160450.0
2021-03-31,4097.0,352398.0,167766.0
2021-04-01,4169.0,367982.0,170461.0
2021-04-02,4346.0,380861.0,177363.0
2021-04-03,4635.0,388920.0,177971.0
2021-04-04,4752.0,391327.0,177973.0
2021-04-05,4534.0,394997.0,178019.0
2021-04-06,4631.0,406717.0,180992.0
2021-04-07,4213.0,418384.0,182066.0
2021-04-08,4666.0,440258.0,187107.0
2021-04-09,5384.0,470135.0,190686.0
2021-04-10,5748.0,485555.0,190867.0
2021-04-11,5711.0,487230.0,190909.0
2021-04-12,5975.0,495494.0,191388.0
2021-04-13,6190.0,511360.0,194300.0
2021-04-14,6923.0,531515.0,200862.0
2021-04-15,6724.0,549540.0,205966.0
2021-04-16,6038.0,565122.0,210751.0
2021-04-17,5350.0,567430.0,210947.0
2021-04-18,5265.0,567513.0,210948.0
2021-04-19,5112.0,572371.0,211914.0
2021-04-20,4926.0,583069.0,216459.0
2021-04-21,4922.0,596937.0,229233.0
2021-04-22,5077.0,612639.0,239622.0
2021-04-23,5301.0,629268.0,247614.0
2021-04-24,5407.0,633222.0,248197.0
2021-04-25,5417.0,633483.0,248200.0
2021-04-26,5435.0,638402.0,249455.0
2021-04-27,5321.0,650235.0,250684.0
2021-04-28,4728.0,664074.0,252187.0
2021-04-29,5071.0,677010.0,271888.0
2021-04-30,5755.0,688327.0,298222.0
2021-05-01,6345.0,695047.0,307273.0
2021-05-02,6370.0,695074.0,307991.0
2021-05-03,6747.0,704472.0,311945.0
2021-05-04,7545.0,715618.0,329079.0
2021-05-05,8559.0,728226.0,351126.0
2021-05-06,8709.0,743253.0,371604.0
2021-05-07,8509.0,762393.0,386296.0
2021-05-08,8509.0,776484.0,387992.0
2021-05-09,8844.0,783558.0,388045.0
2021-05-10,9226.0,799184.0,393049.0
2021-05-11,9130.0,814943.0,403734.0
2021-05-12,8972.0,833432.0,416886.0
2021-05-13,8688.0,849934.0,430471.0
2021-05-14,8561.0,866437.0,445396.0
2021-05-15,8055.0,869537.0,448428.0
2021-05-16,7707.0,869833.0,448633.0
2021-05-17,7445.0,880630.0,453480.0
2021-05-18,7347.0,891339.0,467336.0
2021-05-19,7428.0,907699.0,484156.0
2021-05-20,7557.0,923380.0,501034.0
2021-05-21,7262.0,933931.0,516287.0
2021-05-22,7416.0,936337.0,522950.0
2021-05-23,7485.0,937816.0,523289.0
2021-05-24,7420.0,943142.0,532359.0
2021-05-25,7478.0,958031.0,543146.0
2021-05-26,7239.0,973952.0,555845.0
2021-05-27,7108.0,988908.0,570946.0
2021-05-28,7423.0,1005765.0,585901.0
2021-05-29,7536.0,1011067.0,591816.0
2021-05-30,7470.0,1011609.0,591839.0
2021-05-31,7614.0,1016569.0,604019.0
