Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-30,0.0,1200.0,0.0
2020-12-31,99.0,0.0,0.0
2021-01-01,99.0,0.0,0.0
2021-01-02,99.0,0.0,0.0
2021-01-03,99.0,0.0,0.0
2021-01-04,99.0,0.0,0.0
2021-01-05,99.0,0.0,0.0
2021-01-06,99.0,0.0,0.0
2021-01-07,99.0,0.0,0.0
2021-01-08,99.0,0.0,0.0
2021-01-09,99.0,0.0,0.0
2021-01-10,99.0,0.0,0.0
2021-01-11,99.0,1943.0,0.0
2021-01-12,182.0,2372.0,0.0
2021-01-13,283.0,2871.0,0.0
2021-01-14,351.0,3233.0,0.0
2021-01-15,377.0,0.0,0.0
2021-01-16,403.0,0.0,0.0
2021-01-17,428.0,3755.0,0.0
2021-01-18,599.0,4569.0,0.0
2021-01-19,666.0,5294.0,0.0
2021-01-20,759.0,6193.0,0.0
2021-01-21,835.0,6897.0,0.0
2021-01-22,891.0,0.0,0.0
2021-01-23,946.0,0.0,0.0
2021-01-24,1000.0,0.0,0.0
2021-01-25,909.0,7309.0,1245.0
2021-01-26,965.0,8280.0,1245.0
2021-01-27,971.0,9107.0,1342.0
2021-01-28,1021.0,9890.0,1483.0
2021-01-29,1006.0,0.0,0.0
2021-01-30,994.0,0.0,0.0
2021-01-31,979.0,10748.0,1680.0
2021-02-01,1070.0,11336.0,1905.0
2021-02-02,1078.0,11925.0,2327.0
2021-02-03,1131.0,12597.0,2810.0
2021-02-04,1152.0,13256.0,3163.0
2021-02-05,1163.0,0.0,0.0
2021-02-06,1176.0,0.0,0.0
2021-02-07,1187.0,13940.0,3688.0
2021-02-08,1118.0,14089.0,4050.0
2021-02-09,1005.0,14227.0,4426.0
2021-02-10,1030.0,15052.0,4871.0
2021-02-11,1134.0,16131.0,5259.0
2021-02-12,1157.0,0.0,0.0
2021-02-13,1179.0,0.0,0.0
2021-02-14,1201.0,17257.0,5638.0
2021-02-15,1344.0,18055.0,5969.0
2021-02-16,1658.0,19622.0,6296.0
2021-02-17,1642.0,20605.0,6514.0
2021-02-18,1722.0,21853.0,7080.0
2021-02-19,1764.0,0.0,0.0
2021-02-20,1805.0,0.0,0.0
2021-02-21,1847.0,23259.0,7726.0
2021-02-22,1804.0,23685.0,8241.0
2021-02-23,1701.0,24508.0,8862.0
2021-02-24,1744.0,25285.0,9475.0
2021-02-25,1629.0,26089.0,9982.0
2021-02-26,1604.0,0.0,0.0
2021-02-27,1578.0,0.0,0.0
2021-02-28,1554.0,27093.0,10700.0
2021-03-01,1642.0,27655.0,11466.0
2021-03-02,1618.0,28476.0,11984.0
2021-03-03,1679.0,29401.0,12717.0
2021-03-04,1848.0,30723.0,13448.0
2021-03-05,1911.0,0.0,0.0
