Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-05-12,0.0,609.0,0.0
2021-05-13,20.0,0.0,0.0
2021-05-14,20.0,0.0,0.0
2021-05-15,20.0,0.0,0.0
2021-05-16,20.0,0.0,0.0
2021-05-17,20.0,0.0,0.0
2021-05-18,20.0,3890.0,0.0
2021-05-19,34.0,0.0,0.0
2021-05-20,47.0,0.0,0.0
2021-05-21,61.0,13539.0,0.0
2021-05-22,65.0,0.0,0.0
2021-05-23,68.0,0.0,0.0
2021-05-24,72.0,17258.0,0.0
2021-05-25,81.0,0.0,0.0
2021-05-26,76.0,21912.0,0.0
2021-05-27,75.0,0.0,0.0
2021-05-28,74.0,0.0,0.0
2021-05-29,82.0,0.0,0.0
2021-05-30,91.0,0.0,0.0
2021-05-31,100.0,36640.0,0.0
