Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-23,0.0,0.0,0.0
2021-02-24,28.0,0.0,0.0
2021-02-25,28.0,0.0,0.0
2021-02-26,28.0,0.0,0.0
2021-02-27,28.0,3580.0,0.0
2021-02-28,89.0,0.0,0.0
2021-03-01,130.0,25252.0,0.0
2021-03-02,235.0,53287.0,0.0
2021-03-03,351.0,80336.0,0.0
2021-03-04,432.0,99616.0,0.0
2021-03-05,487.0,112914.0,0.0
2021-03-06,547.0,127608.0,0.0
2021-03-07,553.0,139720.0,0.0
2021-03-08,623.0,166363.0,0.0
2021-03-09,630.0,195923.0,0.0
2021-03-10,634.0,223923.0,0.0
2021-03-11,663.0,249909.0,0.0
2021-03-12,719.0,275851.0,0.0
2021-03-13,726.0,292104.0,0.0
2021-03-14,715.0,301699.0,0.0
2021-03-15,684.0,321331.0,0.0
2021-03-16,665.0,346508.0,0.0
2021-03-17,632.0,367213.0,0.0
2021-03-18,597.0,384334.0,792.0
2021-03-19,546.0,395006.0,4519.0
2021-03-20,535.0,402650.0,10604.0
2021-03-21,561.0,412342.0,16368.0
2021-03-22,581.0,422058.0,30861.0
2021-03-23,598.0,429868.0,52121.0
2021-03-24,635.0,436687.0,74289.0
2021-03-25,669.0,443124.0,93557.0
2021-03-26,671.0,446617.0,104931.0
2021-03-27,675.0,448187.0,118013.0
2021-03-28,671.0,451655.0,129110.0
2021-03-29,744.0,461907.0,159510.0
2021-03-30,793.0,473276.0,188385.0
2021-03-31,826.0,482808.0,215395.0
2021-04-01,898.0,498468.0,241758.0
2021-04-02,967.0,506069.0,264584.0
2021-04-03,977.0,508481.0,279023.0
2021-04-04,975.0,514036.0,287737.0
2021-04-05,921.0,523233.0,306803.0
2021-04-06,886.0,534191.0,328254.0
2021-04-07,860.0,546762.0,346270.0
2021-04-08,792.0,558750.0,360971.0
2021-04-09,753.0,565940.0,375260.0
2021-04-10,747.0,571472.0,385251.0
2021-04-11,786.0,583903.0,395891.0
2021-04-12,834.0,609153.0,409784.0
2021-04-13,828.0,632668.0,417470.0
2021-04-14,819.0,653531.0,425164.0
2021-04-15,822.0,671589.0,434301.0
2021-04-16,813.0,687176.0,438220.0
2021-04-17,787.0,695729.0,439286.0
2021-04-18,728.0,701812.0,443029.0
2021-04-19,701.0,726411.0,451237.0
2021-04-20,709.0,748444.0,462335.0
2021-04-21,676.0,757547.0,474213.0
2021-04-22,684.0,771829.0,489108.0
2021-04-23,681.0,783987.0,495750.0
2021-04-24,686.0,791910.0,498504.0
2021-04-25,708.0,800996.0,504165.0
2021-04-26,696.0,822201.0,513044.0
2021-04-27,702.0,844906.0,524843.0
2021-04-28,783.0,871219.0,537996.0
2021-04-29,709.0,877646.0,544018.0
2021-04-30,655.0,0.0,0.0
2021-05-01,636.0,883661.0,550876.0
2021-05-02,723.0,905683.0,563350.0
2021-05-03,728.0,914663.0,585539.0
2021-05-04,882.0,960070.0,609539.0
2021-05-05,949.0,991906.0,632366.0
2021-05-06,1139.0,1028693.0,651072.0
2021-05-07,1233.0,1045377.0,662083.0
2021-05-08,1323.0,1063898.0,670450.0
2021-05-09,1314.0,1089637.0,677014.0
2021-05-10,1419.0,0.0,0.0
2021-05-11,1355.0,1156486.0,720105.0
2021-05-12,1193.0,1166737.0,727893.0
2021-05-13,949.0,0.0,0.0
2021-05-14,827.0,1166869.0,727910.0
2021-05-15,756.0,1177030.0,728499.0
2021-05-16,658.0,1186999.0,728825.0
2021-05-17,682.0,1219234.0,756851.0
2021-05-18,777.0,1263585.0,789051.0
2021-05-19,1805.0,1412751.0,890829.0
2021-05-20,2160.0,1471500.0,912683.0
2021-05-21,2428.0,1513419.0,931361.0
2021-05-22,2580.0,1555497.0,934491.0
2021-05-23,2737.0,1593151.0,942824.0
2021-05-24,2891.0,1662273.0,968711.0
2021-05-25,2992.0,1731231.0,999305.0
2021-05-26,2170.0,0.0,0.0
2021-05-27,2100.0,1809412.0,1050452.0
2021-05-28,2158.0,1855858.0,1077782.0
2021-05-29,2247.0,1906388.0,1092648.0
2021-05-30,2319.0,1944458.0,1116994.0
2021-05-31,2321.0,2011455.0,1145417.0
