Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-02,0.0,880.0,0.0
2021-02-03,1291.0,1578.0,0.0
2021-02-04,2150.0,3204.0,0.0
2021-02-05,2090.0,4269.0,0.0
2021-02-06,2764.0,6854.0,0.0
2021-02-07,3282.0,9752.0,0.0
2021-02-08,3717.0,12934.0,0.0
2021-02-09,4063.0,16251.0,0.0
2021-02-10,4912.0,20161.0,0.0
2021-02-11,5846.0,25327.0,0.0
2021-02-12,6105.0,27367.0,0.0
2021-02-13,6937.0,33106.0,0.0
2021-02-14,7622.0,38591.0,0.0
2021-02-15,8162.0,43817.0,0.0
2021-02-16,8932.0,50047.0,0.0
2021-02-17,9529.0,56218.0,0.0
2021-02-18,10234.0,64048.0,0.0
2021-02-19,9694.0,64048.0,0.0
2021-02-20,9753.0,70009.0,0.0
2021-02-21,9626.0,75013.0,0.0
2021-02-22,9605.0,80159.0,0.0
2021-02-23,9267.0,85110.0,0.0
2021-02-24,9157.0,90865.0,0.0
2021-02-25,9056.0,98311.0,0.0
2021-02-26,9348.0,99419.0,0.0
2021-02-27,9378.0,105492.0,0.0
2021-02-28,9620.0,111415.0,0.0
2021-03-01,9766.0,117115.0,0.0
2021-03-02,10190.0,123665.0,0.0
2021-03-03,10190.0,129424.0,0.0
2021-03-04,10258.0,137124.0,0.0
2021-03-05,10415.0,138827.0,0.0
2021-03-06,10645.0,145768.0,0.0
2021-03-07,10632.0,151643.0,0.0
2021-03-08,10756.0,157813.0,0.0
2021-03-09,11102.0,165675.0,0.0
2021-03-10,12166.0,175456.0,0.0
2021-03-11,13163.0,186930.0,0.0
2021-03-12,13111.0,188436.0,0.0
2021-03-13,13858.0,198206.0,0.0
2021-03-14,14397.0,206114.0,0.0
2021-03-15,14510.0,212711.0,0.0
2021-03-16,12900.0,214486.0,0.0
2021-03-17,10676.0,215852.0,0.0
2021-03-18,8105.0,217597.0,0.0
2021-03-19,7825.0,218046.0,0.0
2021-03-20,5402.0,218645.0,0.0
2021-03-21,3382.0,218912.0,0.0
2021-03-22,2129.0,220768.0,0.0
2021-03-23,2242.0,222970.0,0.0
2021-03-24,2412.0,224979.0,0.0
2021-03-25,2597.0,227423.0,0.0
2021-03-26,2551.0,227696.0,0.0
2021-03-27,3036.0,230130.0,0.0
2021-03-28,3506.0,232175.0,0.0
2021-03-29,3463.0,233875.0,0.0
2021-03-30,3360.0,235682.0,0.0
2021-03-31,3367.0,237716.0,0.0
2021-04-01,3528.0,240773.0,0.0
2021-04-02,3550.0,241127.0,0.0
2021-04-03,4053.0,243749.0,1721.0
2021-04-04,4878.0,246896.0,3737.0
2021-04-05,6083.0,251139.0,5753.0
2021-04-06,7439.0,255881.0,7951.0
2021-04-07,8758.0,260285.0,10569.0
2021-04-08,10415.0,265235.0,14951.0
2021-04-09,11046.0,267795.0,15131.0
2021-04-10,10118.0,268459.0,15294.0
2021-04-11,10773.0,0.0,0.0
2021-04-12,11137.0,273660.0,25369.0
2021-04-13,9927.0,0.0,0.0
2021-04-14,8695.0,274782.0,28970.0
2021-04-15,8421.0,277522.0,34531.0
2021-04-16,8044.0,278069.0,35294.0
2021-04-17,9455.0,279302.0,40230.0
2021-04-18,9587.0,281848.0,45817.0
2021-04-19,9592.0,283973.0,51350.0
2021-04-20,10834.0,285562.0,56817.0
2021-04-21,12158.0,287171.0,62586.0
2021-04-22,12330.0,288903.0,69802.0
2021-04-23,12589.0,290014.0,70983.0
2021-04-24,12848.0,291227.0,76923.0
2021-04-25,12573.0,292413.0,82827.0
2021-04-26,12356.0,293429.0,88649.0
2021-04-27,11760.0,294269.0,92612.0
2021-04-28,11320.0,295251.0,97339.0
2021-04-29,10353.0,296529.0,101346.0
2021-04-30,9968.0,0.0,0.0
2021-05-01,8299.0,296961.0,102589.0
2021-05-02,8164.0,297639.0,108494.0
2021-05-03,8075.0,298396.0,114240.0
2021-05-04,8469.0,299407.0,119518.0
2021-05-05,8240.0,300189.0,123581.0
2021-05-06,7757.0,300438.0,126790.0
2021-05-07,7961.0,300664.0,128167.0
2021-05-08,8521.0,300906.0,130886.0
2021-05-09,7692.0,301239.0,133997.0
2021-05-10,6680.0,301707.0,136205.0
2021-05-11,5831.0,302097.0,138890.0
2021-05-12,4965.0,302482.0,140078.0
2021-05-13,4214.0,302506.0,140670.0
2021-05-14,3992.0,302688.0,141248.0
2021-05-15,3726.0,302974.0,142913.0
2021-05-16,3561.0,303336.0,145372.0
2021-05-17,3619.0,303919.0,147682.0
2021-05-18,3395.0,304394.0,149435.0
2021-05-19,3535.0,304861.0,151079.0
2021-05-20,3824.0,0.0,0.0
2021-05-21,4074.0,305401.0,153946.0
2021-05-22,4220.0,305850.0,156002.0
2021-05-23,4175.0,306430.0,158075.0
2021-05-24,4002.0,307210.0,159530.0
2021-05-25,4111.0,307927.0,161454.0
2021-05-26,3937.0,308423.0,162413.0
2021-05-27,3977.0,308905.0,163789.0
2021-05-28,3617.0,309022.0,164013.0
2021-05-29,3376.0,309444.0,165181.0
2021-05-30,3119.0,309815.0,166490.0
