Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-24,0.0,2924.0,0.0
2020-12-25,10.0,0.0,0.0
2020-12-26,10.0,0.0,0.0
2020-12-27,10.0,6824.0,0.0
2020-12-28,13.0,9579.0,0.0
2020-12-29,24.0,18529.0,0.0
2020-12-30,29.0,24998.0,0.0
2020-12-31,29.0,0.0,0.0
2021-01-01,31.0,0.0,0.0
2021-01-02,34.0,0.0,0.0
2021-01-03,37.0,0.0,0.0
2021-01-04,38.0,43960.0,0.0
2021-01-05,33.0,48236.0,0.0
2021-01-06,31.0,53185.0,0.0
2021-01-07,33.0,58402.0,0.0
2021-01-08,39.0,67468.0,0.0
2021-01-09,43.0,74794.0,0.0
2021-01-10,46.0,81300.0,0.0
2021-01-11,48.0,87060.0,0.0
2021-01-12,49.0,92879.0,0.0
2021-01-13,154.0,192567.0,0.0
2021-01-14,301.0,329983.0,0.0
2021-01-15,388.0,415417.0,1958.0
2021-01-16,430.0,461025.0,2221.0
2021-01-17,433.0,468708.0,3434.0
2021-01-18,449.0,485983.0,6546.0
2021-01-19,449.0,488513.0,9609.0
2021-01-20,342.0,489628.0,11402.0
2021-01-21,246.0,534317.0,18018.0
2021-01-22,219.0,594725.0,20083.0
2021-01-23,172.0,596296.0,22472.0
2021-01-24,174.0,604441.0,25185.0
2021-01-25,169.0,616390.0,28715.0
2021-01-26,171.0,621005.0,31314.0
2021-01-27,172.0,624730.0,31314.0
2021-01-28,117.0,626528.0,31314.0
2021-01-29,53.0,630820.0,31397.0
2021-01-30,57.0,631298.0,39009.0
2021-01-31,48.0,631485.0,41842.0
2021-02-01,33.0,631747.0,43455.0
2021-02-02,28.0,631791.0,45748.0
2021-02-03,34.0,632439.0,54162.0
2021-02-04,41.0,634346.0,60742.0
2021-02-05,42.0,636070.0,64246.0
2021-02-06,44.0,637098.0,73100.0
2021-02-07,45.0,637681.0,75836.0
2021-02-08,47.0,638391.0,79429.0
2021-02-09,48.0,0.0,0.0
2021-02-10,42.0,640115.0,84592.0
2021-02-11,34.0,640115.0,85332.0
2021-02-12,28.0,640115.0,85887.0
2021-02-13,18.0,640125.0,86188.0
2021-02-14,27.0,0.0,0.0
2021-02-15,35.0,663484.0,86198.0
2021-02-16,215.0,829185.0,86198.0
2021-02-17,369.0,958473.0,99666.0
2021-02-18,657.0,0.0,0.0
2021-02-19,940.0,1155227.0,418931.0
2021-02-20,1030.0,1210886.0,445418.0
2021-02-21,1054.0,1236103.0,453055.0
2021-02-22,1090.0,1277187.0,456217.0
2021-02-23,981.0,1336854.0,464302.0
2021-02-24,934.0,1425395.0,475389.0
2021-02-25,854.0,1562401.0,526412.0
2021-02-26,772.0,1708721.0,562311.0
2021-02-27,806.0,1818034.0,565377.0
2021-02-28,849.0,1889672.0,565423.0
2021-03-01,879.0,1959525.0,567338.0
2021-03-02,867.0,2012853.0,570582.0
2021-03-03,812.0,2043941.0,589639.0
2021-03-04,651.0,0.0,0.0
2021-03-05,511.0,2128766.0,603134.0
2021-03-06,424.0,2162358.0,603447.0
2021-03-07,375.0,0.0,0.0
2021-03-08,358.0,2245291.0,604339.0
2021-03-09,573.0,2495067.0,605801.0
2021-03-10,947.0,2882000.0,606000.0
2021-03-11,1245.0,0.0,0.0
2021-03-12,1411.0,3395671.0,609460.0
2021-03-13,1605.0,3604420.0,609874.0
2021-03-14,1714.0,3730045.0,609881.0
