Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-05,0.0,3849.0,0.0
2021-03-06,129.0,0.0,0.0
2021-03-07,129.0,0.0,0.0
2021-03-08,129.0,0.0,0.0
2021-03-09,129.0,0.0,0.0
2021-03-10,129.0,6447.0,0.0
2021-03-11,176.0,8116.0,0.0
2021-03-12,195.0,9341.0,0.0
2021-03-13,250.0,11431.0,0.0
2021-03-14,255.0,0.0,0.0
2021-03-15,260.0,12754.0,0.0
2021-03-16,315.0,14814.0,0.0
2021-03-17,343.0,16131.0,0.0
2021-03-18,327.0,0.0,0.0
2021-03-19,328.0,18593.0,0.0
2021-03-20,287.0,0.0,0.0
2021-03-21,297.0,20494.0,0.0
2021-03-22,287.0,0.0,0.0
2021-03-23,226.0,21194.0,0.0
2021-03-24,259.0,23454.0,0.0
2021-03-25,357.0,27445.0,0.0
2021-03-26,430.0,30722.0,0.0
2021-03-27,508.0,33885.0,0.0
2021-03-28,531.0,0.0,0.0
2021-03-29,576.0,0.0,0.0
2021-03-30,620.0,0.0,0.0
2021-03-31,597.0,40321.0,0.0
2021-04-01,521.0,42154.0,0.0
2021-04-02,468.0,0.0,0.0
2021-04-03,420.0,0.0,0.0
2021-04-04,426.0,47524.0,0.0
2021-04-05,441.0,0.0,0.0
2021-04-06,455.0,51574.0,0.0
2021-04-07,517.0,54907.0,0.0
2021-04-08,499.0,0.0,0.0
2021-04-09,482.0,57561.0,0.0
2021-04-10,536.0,0.0,0.0
2021-04-11,590.0,64179.0,0.0
2021-04-12,621.0,67085.0,0.0
2021-04-13,716.0,71780.0,0.0
2021-04-14,841.0,0.0,0.0
2021-04-15,1055.0,78019.0,7997.0
2021-04-16,1210.0,82267.0,9476.0
2021-04-17,1124.0,0.0,0.0
2021-04-18,1037.0,83641.0,9825.0
2021-04-19,1037.0,86131.0,10241.0
2021-04-20,987.0,88824.0,10815.0
2021-04-21,924.0,0.0,0.0
2021-04-22,846.0,98541.0,11358.0
2021-04-23,1010.0,108760.0,11494.0
2021-04-24,1031.0,0.0,0.0
2021-04-25,1054.0,0.0,0.0
2021-04-26,1003.0,113135.0,11560.0
2021-04-27,1167.0,119583.0,13017.0
2021-04-28,1230.0,124505.0,15000.0
2021-04-29,1247.0,128587.0,16530.0
2021-04-30,958.0,130218.0,17097.0
2021-05-01,933.0,0.0,0.0
2021-05-02,908.0,0.0,0.0
2021-05-03,883.0,0.0,0.0
2021-05-04,630.0,132065.0,18319.0
2021-05-05,743.0,140174.0,20302.0
2021-05-06,946.0,150173.0,21647.0
2021-05-07,1254.0,159420.0,23297.0
2021-05-08,1295.0,161266.0,23394.0
2021-05-09,1279.0,0.0,0.0
2021-05-10,1263.0,161849.0,23443.0
2021-05-11,1504.0,167476.0,25369.0
2021-05-12,1502.0,175754.0,27129.0
2021-05-13,1591.0,187446.0,29294.0
2021-05-14,1638.0,197548.0,31423.0
2021-05-15,1733.0,201838.0,31765.0
2021-05-16,1887.0,0.0,0.0
2021-05-17,2042.0,209881.0,33065.0
2021-05-18,2141.0,219004.0,34306.0
2021-05-19,2178.0,228911.0,35469.0
2021-05-20,2085.0,239094.0,36533.0
2021-05-21,2094.0,250034.0,38063.0
2021-05-22,2167.0,256175.0,38619.0
2021-05-23,2135.0,259809.0,38744.0
2021-05-24,2255.0,266238.0,40372.0
2021-05-25,3489.0,301175.0,50668.0
2021-05-26,3542.0,0.0,0.0
2021-05-27,3589.0,316382.0,60587.0
2021-05-28,3914.0,328268.0,70341.0
2021-05-29,3965.0,333875.0,72883.0
2021-05-30,4010.0,0.0,0.0
2021-05-31,3903.0,340151.0,76663.0
