Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-30,0.0,0.0,0.0
2020-12-31,3211.0,0.0,0.0
2021-01-01,3211.0,0.0,0.0
2021-01-02,3211.0,0.0,0.0
2021-01-03,3211.0,0.0,0.0
2021-01-04,3211.0,0.0,0.0
2021-01-05,3211.0,0.0,0.0
2021-01-06,3211.0,0.0,0.0
2021-01-07,3211.0,0.0,0.0
2021-01-08,3211.0,0.0,0.0
2021-01-09,3211.0,0.0,0.0
2021-01-10,3211.0,0.0,0.0
2021-01-11,3211.0,0.0,0.0
2021-01-12,3211.0,0.0,0.0
2021-01-13,3211.0,0.0,0.0
2021-01-14,3211.0,0.0,0.0
2021-01-15,3211.0,0.0,0.0
2021-01-16,3211.0,0.0,0.0
2021-01-17,3211.0,0.0,0.0
2021-01-18,3211.0,0.0,0.0
2021-01-19,3822.0,0.0,0.0
2021-01-20,4434.0,0.0,0.0
2021-01-21,5045.0,0.0,0.0
2021-01-22,5657.0,0.0,0.0
2021-01-23,6268.0,0.0,0.0
2021-01-24,6880.0,0.0,0.0
2021-01-25,7492.0,0.0,0.0
2021-01-26,7492.0,0.0,0.0
2021-01-27,7492.0,0.0,0.0
2021-01-28,7492.0,0.0,0.0
2021-01-29,7492.0,0.0,0.0
2021-01-30,7492.0,0.0,0.0
2021-01-31,7492.0,0.0,0.0
2021-02-01,7492.0,0.0,0.0
2021-02-02,7492.0,0.0,0.0
2021-02-03,7492.0,0.0,0.0
2021-02-04,7492.0,0.0,0.0
2021-02-05,7492.0,0.0,0.0
2021-02-06,7492.0,0.0,0.0
2021-02-07,7492.0,0.0,0.0
2021-02-08,7492.0,0.0,0.0
2021-02-09,7492.0,0.0,0.0
2021-02-10,7492.0,0.0,0.0
2021-02-11,7492.0,0.0,0.0
2021-02-12,7492.0,0.0,0.0
2021-02-13,7492.0,0.0,0.0
2021-02-14,7492.0,0.0,0.0
2021-02-15,7492.0,0.0,0.0
2021-02-16,7492.0,0.0,0.0
2021-02-17,7492.0,0.0,0.0
2021-02-18,7492.0,0.0,0.0
2021-02-19,7492.0,0.0,0.0
2021-02-20,7492.0,0.0,0.0
2021-02-21,7492.0,0.0,0.0
2021-02-22,7492.0,0.0,0.0
2021-02-23,7492.0,0.0,0.0
2021-02-24,7492.0,0.0,0.0
2021-02-25,7492.0,0.0,0.0
2021-02-26,7492.0,0.0,0.0
2021-02-27,7492.0,0.0,0.0
2021-02-28,7492.0,0.0,0.0
2021-03-01,7492.0,0.0,0.0
2021-03-02,7492.0,0.0,0.0
2021-03-03,7492.0,0.0,0.0
2021-03-04,7492.0,8449.0,7163.0
2021-03-05,7007.0,0.0,0.0
2021-03-06,6549.0,0.0,0.0
2021-03-07,6065.0,0.0,0.0
2021-03-08,5606.0,0.0,0.0
2021-03-09,5122.0,0.0,0.0
2021-03-10,4663.0,0.0,0.0
2021-03-11,4204.0,0.0,0.0
2021-03-12,4204.0,0.0,0.0
2021-03-13,4204.0,0.0,0.0
2021-03-14,4204.0,0.0,0.0
2021-03-15,4204.0,0.0,0.0
2021-03-16,4204.0,0.0,0.0
2021-03-17,4204.0,0.0,0.0
2021-03-18,4204.0,0.0,0.0
2021-03-19,4204.0,9750.0,8331.0
2021-03-20,4230.0,0.0,0.0
2021-03-21,4255.0,0.0,0.0
2021-03-22,4281.0,0.0,0.0
2021-03-23,4332.0,0.0,0.0
2021-03-24,4357.0,0.0,0.0
2021-03-25,4383.0,0.0,0.0
2021-03-26,4434.0,0.0,0.0
2021-03-27,4434.0,0.0,0.0
2021-03-28,4434.0,0.0,0.0
2021-03-29,4434.0,0.0,0.0
2021-03-30,4434.0,0.0,0.0
2021-03-31,4434.0,0.0,0.0
2021-04-01,4434.0,0.0,0.0
2021-04-02,4434.0,11715.0,8795.0
2021-04-03,4485.0,0.0,0.0
2021-04-04,4536.0,0.0,0.0
2021-04-05,4587.0,0.0,0.0
2021-04-06,4638.0,0.0,0.0
2021-04-07,4689.0,0.0,0.0
2021-04-08,4740.0,0.0,0.0
2021-04-09,4791.0,0.0,0.0
2021-04-10,4791.0,0.0,0.0
2021-04-11,4791.0,0.0,0.0
2021-04-12,4791.0,0.0,0.0
2021-04-13,4791.0,0.0,0.0
2021-04-14,4791.0,0.0,0.0
2021-04-15,4791.0,12094.0,10859.0
2021-04-16,4842.0,0.0,0.0
2021-04-17,4918.0,0.0,0.0
2021-04-18,4969.0,0.0,0.0
2021-04-19,5045.0,0.0,0.0
2021-04-20,5096.0,0.0,0.0
2021-04-21,5173.0,0.0,0.0
2021-04-22,5224.0,12758.0,11632.0
2021-04-23,4867.0,0.0,0.0
2021-04-24,4485.0,0.0,0.0
2021-04-25,4103.0,0.0,0.0
2021-04-26,3720.0,0.0,0.0
2021-04-27,3364.0,0.0,0.0
2021-04-28,2981.0,0.0,0.0
2021-04-29,2599.0,13289.0,11815.0
2021-04-30,2650.0,0.0,0.0
2021-05-01,2727.0,0.0,0.0
2021-05-02,2777.0,0.0,0.0
2021-05-03,2854.0,0.0,0.0
2021-05-04,2905.0,0.0,0.0
2021-05-05,2981.0,0.0,0.0
2021-05-06,3032.0,13934.0,12003.0
2021-05-07,3415.0,0.0,0.0
2021-05-08,3822.0,0.0,0.0
2021-05-09,4204.0,0.0,0.0
2021-05-10,4612.0,0.0,0.0
2021-05-11,4994.0,0.0,0.0
2021-05-12,5402.0,0.0,0.0
2021-05-13,5784.0,0.0,0.0
2021-05-14,5784.0,0.0,0.0
2021-05-15,5784.0,0.0,0.0
2021-05-16,5784.0,0.0,0.0
2021-05-17,5784.0,0.0,0.0
2021-05-18,5784.0,15688.0,12975.0
2021-05-19,5504.0,0.0,0.0
2021-05-20,5249.0,0.0,0.0
2021-05-21,4969.0,0.0,0.0
2021-05-22,4689.0,0.0,0.0
2021-05-23,4408.0,0.0,0.0
2021-05-24,4154.0,0.0,0.0
2021-05-25,3873.0,0.0,0.0
2021-05-26,3873.0,0.0,0.0
2021-05-27,3873.0,16502.0,13527.0
