Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-22,0.0,0.0,0.0
2021-02-23,316.0,0.0,0.0
2021-02-24,316.0,0.0,0.0
2021-02-25,316.0,3112.0,0.0
2021-02-26,376.0,4926.0,0.0
2021-02-27,415.0,6808.0,0.0
2021-02-28,392.0,0.0,0.0
2021-03-01,376.0,0.0,0.0
2021-03-02,370.0,9531.0,0.0
2021-03-03,405.0,0.0,0.0
2021-03-04,440.0,13200.0,0.0
2021-03-05,428.0,0.0,0.0
2021-03-06,414.0,0.0,0.0
2021-03-07,442.0,0.0,0.0
2021-03-08,470.0,0.0,0.0
2021-03-09,499.0,20976.0,0.0
2021-03-10,832.0,30446.0,0.0
2021-03-11,1528.0,48265.0,0.0
2021-03-12,2298.0,67489.0,0.0
2021-03-13,2950.0,84017.0,0.0
2021-03-14,3579.0,100000.0,0.0
2021-03-15,4309.0,118294.0,0.0
2021-03-16,4596.0,126449.0,0.0
2021-03-17,4758.0,139636.0,0.0
2021-03-18,5372.0,171535.0,0.0
2021-03-19,5337.0,189969.0,0.0
2021-03-20,5234.0,204121.0,0.0
2021-03-21,4762.0,209278.0,0.0
2021-03-22,4274.0,0.0,0.0
2021-03-23,4227.0,223444.0,0.0
2021-03-24,5113.0,256979.0,0.0
2021-03-25,4001.0,0.0,0.0
2021-03-26,3475.0,0.0,0.0
2021-03-27,3135.0,276068.0,0.0
2021-03-28,2976.0,0.0,0.0
2021-03-29,2733.0,279069.0,0.0
2021-03-30,2905.0,290108.0,0.0
2021-03-31,1891.0,300366.0,0.0
2021-04-01,2088.0,311262.0,0.0
2021-04-02,2352.0,323690.0,0.0
2021-04-03,2645.0,336758.0,0.0
2021-04-04,4306.0,376373.0,0.0
2021-04-05,5896.0,414382.0,0.0
2021-04-06,7706.0,466946.0,0.0
2021-04-07,9501.0,0.0,0.0
2021-04-08,11267.0,569825.0,0.0
2021-04-09,12003.0,599132.0,0.0
2021-04-10,11674.0,609875.0,0.0
2021-04-11,10188.0,616906.0,0.0
2021-04-12,8772.0,0.0,0.0
2021-04-13,6722.0,627168.0,0.0
2021-04-14,4720.0,0.0,0.0
2021-04-15,2719.0,630516.0,0.0
2021-04-16,1683.0,632812.0,0.0
2021-04-17,1683.0,634240.0,0.0
2021-04-18,1683.0,0.0,0.0
2021-04-19,1683.0,0.0,0.0
2021-04-20,1683.0,637415.0,0.0
2021-04-21,1683.0,0.0,0.0
2021-04-22,1683.0,649236.0,21606.0
2021-04-23,4372.0,651060.0,0.0
2021-04-24,7062.0,660548.0,0.0
2021-04-25,9751.0,678692.0,0.0
2021-04-26,12441.0,707838.0,0.0
2021-04-27,15131.0,744564.0,262466.0
2021-04-28,18095.0,782314.0,298257.0
2021-04-29,20386.0,811452.0,327210.0
2021-04-30,20505.0,845693.0,362926.0
2021-05-01,21406.0,887248.0,409290.0
2021-05-02,22923.0,947529.0,451063.0
2021-05-03,25829.0,1037675.0,494847.0
2021-05-04,28519.0,1128680.0,532817.0
2021-05-05,29452.0,1208913.0,547521.0
2021-05-06,35196.0,1356678.0,589672.0
2021-05-07,38271.0,1476779.0,610074.0
2021-05-08,37393.0,1536715.0,617908.0
2021-05-09,35506.0,1590636.0,622740.0
2021-05-10,32185.0,1643030.0,628079.0
2021-05-11,28254.0,1678198.0,631666.0
2021-05-12,25745.0,1712577.0,634652.0
2021-05-13,18585.0,1735389.0,637459.0
2021-05-14,13562.0,1758608.0,639459.0
2021-05-15,11196.0,1770527.0,641029.0
2021-05-16,9104.0,1778612.0,643691.0
2021-05-17,7545.0,1792657.0,651588.0
2021-05-18,6915.0,1802270.0,666287.0
2021-05-19,6469.0,1810479.0,685189.0
2021-05-20,6539.0,1818876.0,704024.0
2021-05-21,6894.0,1824984.0,731293.0
2021-05-22,7382.0,1827826.0,753136.0
2021-05-23,7942.0,1830623.0,773940.0
2021-05-24,9577.0,1836501.0,827513.0
2021-05-25,11392.0,1841111.0,888872.0
2021-05-26,12734.0,1843635.0,944249.0
2021-05-27,15238.0,1847246.0,1025326.0
2021-05-28,20523.0,1852565.0,1174675.0
2021-05-29,20681.0,0.0,0.0
2021-05-30,20887.0,1854643.0,1229228.0
2021-05-31,21832.0,1858546.0,1306462.0
