Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-20,0.0,0.0,0.0
2021-02-21,355.0,0.0,0.0
2021-02-22,355.0,0.0,0.0
2021-02-23,355.0,0.0,0.0
2021-02-24,355.0,0.0,0.0
2021-02-25,355.0,1113.0,0.0
2021-02-26,342.0,1288.0,0.0
2021-02-27,312.0,0.0,0.0
2021-02-28,279.0,0.0,0.0
2021-03-01,247.0,1531.0,0.0
2021-03-02,242.0,0.0,0.0
2021-03-03,236.0,1927.0,0.0
2021-03-04,221.0,0.0,0.0
2021-03-05,218.0,2250.0,0.0
2021-03-06,236.0,2406.0,0.0
2021-03-07,291.0,0.0,0.0
2021-03-08,349.0,3062.0,0.0
2021-03-09,322.0,0.0,0.0
2021-03-10,293.0,0.0,0.0
2021-03-11,274.0,0.0,0.0
2021-03-12,256.0,3374.0,0.0
2021-03-13,267.0,0.0,0.0
2021-03-14,240.0,3793.0,0.0
2021-03-15,306.0,0.0,0.0
2021-03-16,428.0,5021.0,0.0
2021-03-17,572.0,5730.0,0.0
2021-03-18,634.0,6085.0,0.0
2021-03-19,790.0,6517.0,332.0
2021-03-20,845.0,6837.0,461.0
2021-03-21,901.0,0.0,0.0
2021-03-22,866.0,0.0,0.0
2021-03-23,830.0,8074.0,595.0
2021-03-24,1156.0,9961.0,848.0
2021-03-25,1557.0,11857.0,1072.0
2021-03-26,1794.0,13410.0,1329.0
2021-03-27,2083.0,14850.0,1601.0
2021-03-28,2481.0,16570.0,2091.0
2021-03-29,2713.0,17746.0,2394.0
2021-03-30,2662.0,17906.0,2467.0
2021-03-31,2635.0,19118.0,3273.0
2021-04-01,2301.0,19636.0,3410.0
2021-04-02,2334.0,21195.0,3808.0
2021-04-03,2393.0,22947.0,4025.0
2021-04-04,2512.0,25516.0,4194.0
2021-04-05,2614.0,27149.0,4482.0
2021-04-06,3176.0,29601.0,4734.0
2021-04-07,3291.0,31710.0,5147.0
2021-04-08,3525.0,33163.0,5378.0
2021-04-09,3369.0,34172.0,5640.0
2021-04-10,3275.0,35290.0,6082.0
2021-04-11,2898.0,35697.0,6753.0
2021-04-12,2555.0,36113.0,6753.0
2021-04-13,2422.0,36432.0,8547.0
2021-04-14,2288.0,36690.0,10227.0
2021-04-15,2446.0,37199.0,12094.0
2021-04-16,2501.0,37519.0,13290.0
2021-04-17,2506.0,37909.0,14481.0
2021-04-18,2769.0,38335.0,16291.0
2021-04-19,2872.0,38429.0,17068.0
2021-04-20,2603.0,38667.0,17756.0
2021-04-21,2398.0,38927.0,18535.0
2021-04-22,2014.0,39123.0,19027.0
2021-04-23,1802.0,39281.0,19450.0
2021-04-24,1573.0,39426.0,19881.0
2021-04-25,1202.0,39636.0,20275.0
2021-04-26,1035.0,39715.0,20329.0
2021-04-27,855.0,39775.0,20410.0
2021-04-28,675.0,39965.0,20466.0
2021-04-29,607.0,40092.0,20724.0
2021-04-30,686.0,40156.0,21589.0
2021-05-01,855.0,40215.0,22849.0
2021-05-02,802.0,0.0,0.0
2021-05-03,858.0,40282.0,23538.0
2021-05-04,1213.0,40843.0,24674.0
2021-05-05,5660.0,57571.0,27745.0
2021-05-06,7614.0,65390.0,28901.0
2021-05-07,8377.0,0.0,0.0
2021-05-08,9050.0,72824.0,30029.0
2021-05-09,10478.0,78760.0,30747.0
2021-05-10,11543.0,83498.0,31072.0
2021-05-11,12574.0,88965.0,31830.0
2021-05-12,9173.0,93341.0,32305.0
2021-05-13,8246.0,97783.0,32762.0
2021-05-14,7974.0,100544.0,33082.0
2021-05-15,7826.0,103700.0,33559.0
2021-05-16,6969.0,106368.0,33780.0
2021-05-17,6195.0,107881.0,33927.0
2021-05-18,5577.0,110949.0,34367.0
2021-05-19,5143.0,113497.0,34758.0
2021-05-20,4772.0,116481.0,35041.0
2021-05-21,4644.0,118725.0,35323.0
2021-05-22,4130.0,0.0,0.0
2021-05-23,3783.0,121050.0,35729.0
2021-05-24,3590.0,121783.0,35809.0
2021-05-25,3358.0,123845.0,36232.0
2021-05-26,7412.0,127177.0,53662.0
2021-05-27,7845.0,0.0,0.0
2021-05-28,8445.0,129071.0,62107.0
2021-05-29,10193.0,130696.0,69532.0
2021-05-30,11319.0,131761.0,74783.0
2021-05-31,12085.0,132480.0,78240.0
