Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-18,0.0,0.0,0.0
2021-03-19,9.0,0.0,0.0
2021-03-20,9.0,0.0,0.0
2021-03-21,9.0,0.0,0.0
2021-03-22,9.0,0.0,0.0
2021-03-23,9.0,0.0,0.0
2021-03-24,9.0,0.0,0.0
2021-03-25,9.0,152.0,0.0
2021-03-26,20.0,0.0,0.0
2021-03-27,31.0,0.0,0.0
2021-03-28,43.0,0.0,0.0
2021-03-29,54.0,0.0,0.0
2021-03-30,66.0,0.0,0.0
2021-03-31,77.0,1501.0,0.0
2021-04-01,96.0,1851.0,0.0
2021-04-02,90.0,0.0,0.0
2021-04-03,84.0,2094.0,0.0
2021-04-04,76.0,0.0,0.0
2021-04-05,68.0,0.0,0.0
2021-04-06,61.0,0.0,0.0
2021-04-07,53.0,0.0,0.0
2021-04-08,38.0,2526.0,0.0
2021-04-09,32.0,0.0,0.0
2021-04-10,27.0,0.0,0.0
2021-04-11,24.0,2598.0,0.0
2021-04-12,34.0,2875.0,0.0
2021-04-13,43.0,3122.0,0.0
2021-04-14,47.0,3282.0,0.0
2021-04-15,60.0,3587.0,0.0
2021-04-16,81.0,3993.0,0.0
2021-04-17,108.0,4493.0,0.0
2021-04-18,114.0,4620.0,0.0
2021-04-19,105.0,4620.0,128.0
2021-04-20,145.0,5536.0,163.0
2021-04-21,166.0,5998.0,239.0
2021-04-22,215.0,7120.0,297.0
2021-04-23,335.0,9460.0,495.0
2021-04-24,453.0,11692.0,858.0
2021-04-25,462.0,11971.0,862.0
2021-04-26,589.0,0.0,0.0
2021-04-27,670.0,0.0,0.0
2021-04-28,774.0,18837.0,1168.0
2021-04-29,756.0,0.0,0.0
2021-04-30,661.0,20315.0,1392.0
2021-05-01,703.0,23425.0,1623.0
2021-05-02,748.0,0.0,0.0
2021-05-03,675.0,0.0,0.0
2021-05-04,601.0,0.0,0.0
2021-05-05,528.0,27648.0,1749.0
2021-05-06,776.0,32698.0,1959.0
2021-05-07,827.0,34346.0,2071.0
2021-05-08,834.0,37578.0,2300.0
2021-05-09,786.0,37819.0,2301.0
2021-05-10,813.0,39339.0,2336.0
2021-05-11,915.0,42088.0,2498.0
2021-05-12,1000.0,44579.0,2603.0
2021-05-13,729.0,45003.0,2623.0
2021-05-14,784.0,47632.0,2729.0
2021-05-15,747.0,50222.0,2941.0
2021-05-16,747.0,50339.0,3063.0
2021-05-17,684.0,50784.0,3065.0
2021-05-18,698.0,53578.0,3418.0
2021-05-19,751.0,56759.0,3780.0
2021-05-20,879.0,0.0,0.0
2021-05-21,878.0,60809.0,5179.0
2021-05-22,764.0,61086.0,5673.0
2021-05-23,802.0,61986.0,5673.0
2021-05-24,836.0,0.0,0.0
2021-05-25,718.0,63309.0,6456.0
2021-05-26,674.0,65037.0,7496.0
2021-05-27,641.0,66344.0,8318.0
2021-05-28,536.0,0.0,0.0
2021-05-29,540.0,67593.0,8777.0
2021-05-30,501.0,67706.0,8872.0
