Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-01-26,0.0,0.0,0.0
2021-01-27,647.0,0.0,0.0
2021-01-28,647.0,0.0,0.0
2021-01-29,647.0,0.0,0.0
2021-01-30,647.0,0.0,0.0
2021-01-31,647.0,0.0,0.0
2021-02-01,647.0,113175.0,0.0
2021-02-02,629.0,0.0,0.0
2021-02-03,611.0,0.0,0.0
2021-02-04,592.0,158487.0,0.0
2021-02-05,574.0,0.0,0.0
2021-02-06,557.0,0.0,0.0
2021-02-07,539.0,0.0,0.0
2021-02-08,521.0,0.0,0.0
2021-02-09,522.0,0.0,0.0
2021-02-10,522.0,0.0,0.0
2021-02-11,523.0,0.0,0.0
2021-02-12,523.0,0.0,0.0
2021-02-13,523.0,0.0,0.0
2021-02-14,523.0,0.0,0.0
2021-02-15,523.0,0.0,0.0
2021-02-16,523.0,0.0,0.0
2021-02-17,523.0,0.0,0.0
2021-02-18,523.0,0.0,0.0
2021-02-19,523.0,0.0,0.0
2021-02-20,523.0,402264.0,0.0
2021-02-21,666.0,0.0,0.0
2021-02-22,808.0,0.0,0.0
2021-02-23,951.0,0.0,0.0
2021-02-24,1094.0,0.0,0.0
2021-02-25,1237.0,0.0,0.0
2021-02-26,1380.0,0.0,0.0
2021-02-27,1523.0,0.0,0.0
2021-02-28,1523.0,0.0,0.0
2021-03-01,1523.0,0.0,0.0
2021-03-02,1523.0,0.0,0.0
2021-03-03,1523.0,0.0,0.0
2021-03-04,1523.0,0.0,0.0
2021-03-05,1523.0,0.0,0.0
2021-03-06,1523.0,0.0,0.0
2021-03-07,1523.0,0.0,0.0
2021-03-08,1523.0,0.0,0.0
2021-03-09,1523.0,0.0,0.0
2021-03-10,1523.0,0.0,0.0
2021-03-11,1523.0,0.0,0.0
2021-03-12,1523.0,0.0,0.0
2021-03-13,1523.0,0.0,0.0
2021-03-14,1523.0,0.0,0.0
2021-03-15,1523.0,0.0,0.0
2021-03-16,1523.0,0.0,0.0
2021-03-17,1523.0,0.0,0.0
2021-03-18,1523.0,0.0,0.0
2021-03-19,1523.0,1600000.0,0.0
2021-03-20,1334.0,0.0,0.0
2021-03-21,1145.0,0.0,0.0
2021-03-22,957.0,0.0,0.0
2021-03-23,768.0,0.0,0.0
2021-03-24,579.0,0.0,0.0
2021-03-25,391.0,0.0,0.0
2021-03-26,202.0,0.0,0.0
2021-03-27,202.0,0.0,0.0
2021-03-28,202.0,0.0,0.0
2021-03-29,202.0,0.0,0.0
2021-03-30,202.0,0.0,0.0
2021-03-31,202.0,0.0,0.0
2021-04-01,202.0,0.0,0.0
2021-04-02,202.0,0.0,0.0
2021-04-03,202.0,0.0,0.0
2021-04-04,202.0,0.0,0.0
2021-04-05,202.0,1700000.0,0.0
2021-04-06,433.0,0.0,0.0
2021-04-07,665.0,1806236.0,0.0
2021-04-08,663.0,1811658.0,0.0
2021-04-09,750.0,1835263.0,0.0
2021-04-10,750.0,1841124.0,0.0
2021-04-11,767.0,1850570.0,0.0
2021-04-12,794.0,0.0,0.0
2021-04-13,590.0,1873377.0,0.0
2021-04-14,360.0,0.0,0.0
2021-04-15,363.0,1885755.0,0.0
2021-04-16,320.0,1900583.0,0.0
2021-04-17,339.0,1910209.0,0.0
2021-04-18,363.0,1924703.0,0.0
2021-04-19,376.0,1938679.0,0.0
2021-04-20,434.0,1961992.0,0.0
2021-04-21,426.0,1966506.0,0.0
2021-04-22,453.0,1978239.0,0.0
2021-04-23,435.0,1989248.0,0.0
2021-04-24,430.0,0.0,0.0
2021-04-25,401.0,2006436.0,0.0
2021-04-26,395.0,2019177.0,0.0
2021-04-27,439.0,2051440.0,0.0
2021-04-28,613.0,2091511.0,0.0
2021-04-29,753.0,0.0,0.0
2021-04-30,896.0,0.0,0.0
2021-05-01,1051.0,0.0,0.0
2021-05-02,1206.0,0.0,0.0
2021-05-03,1341.0,0.0,0.0
2021-05-04,1380.0,0.0,0.0
2021-05-05,1380.0,0.0,0.0
2021-05-06,1380.0,0.0,0.0
2021-05-07,1380.0,2091511.0,362001.0
2021-05-08,1222.0,0.0,0.0
2021-05-09,1063.0,0.0,0.0
2021-05-10,904.0,0.0,0.0
2021-05-11,745.0,0.0,0.0
2021-05-12,586.0,0.0,0.0
2021-05-13,427.0,0.0,0.0
2021-05-14,269.0,0.0,0.0
2021-05-15,269.0,0.0,0.0
2021-05-16,269.0,0.0,0.0
2021-05-17,269.0,0.0,0.0
2021-05-18,269.0,2113080.0,426510.0
2021-05-19,370.0,0.0,0.0
2021-05-20,472.0,2113080.0,483631.0
2021-05-21,584.0,2113080.0,514253.0
2021-05-22,630.0,2113080.0,531568.0
2021-05-23,700.0,2113080.0,553589.0
2021-05-24,858.0,2113080.0,593755.0
2021-05-25,920.0,2113080.0,614113.0
2021-05-26,852.0,2113080.0,628884.0
2021-05-27,806.0,2113080.0,648068.0
2021-05-28,689.0,2113080.0,654851.0
2021-05-29,762.0,2113080.0,686939.0
2021-05-30,666.0,2113080.0,689516.0
