Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-01-10,0.0,33756.0,0.0
2021-01-11,361.0,0.0,0.0
2021-01-12,361.0,0.0,0.0
2021-01-13,361.0,0.0,0.0
2021-01-14,361.0,0.0,0.0
2021-01-15,361.0,0.0,0.0
2021-01-16,361.0,0.0,0.0
2021-01-17,361.0,77059.0,0.0
2021-01-18,416.0,0.0,0.0
2021-01-19,471.0,0.0,0.0
2021-01-20,527.0,0.0,0.0
2021-01-21,582.0,0.0,0.0
2021-01-22,637.0,0.0,0.0
2021-01-23,692.0,0.0,0.0
2021-01-24,748.0,166741.0,0.0
2021-01-25,862.0,0.0,0.0
2021-01-26,977.0,0.0,0.0
2021-01-27,1091.0,0.0,0.0
2021-01-28,1206.0,0.0,0.0
2021-01-29,1320.0,0.0,0.0
2021-01-30,1435.0,0.0,0.0
2021-01-31,1550.0,350197.0,2405.0
2021-02-01,1592.0,0.0,0.0
2021-02-02,1634.0,0.0,0.0
2021-02-03,1676.0,0.0,0.0
2021-02-04,1718.0,0.0,0.0
2021-02-05,1760.0,0.0,0.0
2021-02-06,1802.0,0.0,0.0
2021-02-07,1844.0,547576.0,26241.0
2021-02-08,1841.0,0.0,0.0
2021-02-09,1837.0,0.0,0.0
2021-02-10,1834.0,0.0,0.0
2021-02-11,1830.0,0.0,0.0
2021-02-12,1827.0,0.0,0.0
2021-02-13,1824.0,0.0,0.0
2021-02-14,1820.0,695462.0,96660.0
2021-02-15,1859.0,0.0,0.0
2021-02-16,1898.0,0.0,0.0
2021-02-17,1936.0,0.0,0.0
2021-02-18,1975.0,0.0,0.0
2021-02-19,2014.0,0.0,0.0
2021-02-20,2052.0,0.0,0.0
2021-02-21,2091.0,880377.0,162564.0
2021-02-22,2204.0,0.0,0.0
2021-02-23,2317.0,0.0,0.0
2021-02-24,2430.0,0.0,0.0
2021-02-25,2543.0,0.0,0.0
2021-02-26,2657.0,0.0,0.0
2021-02-27,2770.0,0.0,0.0
2021-02-28,2883.0,1113555.0,275142.0
2021-03-01,2823.0,0.0,0.0
2021-03-02,2764.0,0.0,0.0
2021-03-03,2704.0,0.0,0.0
2021-03-04,2645.0,0.0,0.0
2021-03-05,2586.0,0.0,0.0
2021-03-06,2526.0,0.0,0.0
2021-03-07,2467.0,1325470.0,359111.0
2021-03-08,2454.0,0.0,0.0
2021-03-09,2442.0,0.0,0.0
2021-03-10,2429.0,0.0,0.0
2021-03-11,2417.0,0.0,0.0
2021-03-12,2404.0,0.0,0.0
2021-03-13,2392.0,0.0,0.0
2021-03-14,2380.0,1525047.0,444945.0
2021-03-15,2294.0,0.0,0.0
2021-03-16,2209.0,0.0,0.0
2021-03-17,2124.0,0.0,0.0
2021-03-18,2039.0,0.0,0.0
2021-03-19,1954.0,0.0,0.0
2021-03-20,1868.0,0.0,0.0
2021-03-21,1783.0,1613457.0,570421.0
2021-03-22,1884.0,0.0,0.0
2021-03-23,1984.0,0.0,0.0
2021-03-24,2085.0,0.0,0.0
2021-03-25,2185.0,0.0,0.0
2021-03-26,2286.0,0.0,0.0
2021-03-27,2386.0,0.0,0.0
2021-03-28,2487.0,1814243.0,667924.0
2021-03-29,2670.0,0.0,0.0
2021-03-30,2853.0,0.0,0.0
2021-03-31,3036.0,0.0,0.0
