Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-01,0.0,0.0,0.0
2021-03-02,211.0,0.0,0.0
2021-03-03,211.0,0.0,0.0
2021-03-04,211.0,0.0,0.0
2021-03-05,211.0,0.0,0.0
2021-03-06,211.0,0.0,0.0
2021-03-07,211.0,0.0,0.0
2021-03-08,211.0,0.0,0.0
2021-03-09,211.0,0.0,0.0
2021-03-10,211.0,0.0,0.0
2021-03-11,211.0,0.0,0.0
2021-03-12,211.0,0.0,0.0
2021-03-13,211.0,0.0,0.0
2021-03-14,211.0,0.0,0.0
2021-03-15,211.0,0.0,0.0
2021-03-16,211.0,0.0,0.0
2021-03-17,211.0,0.0,0.0
2021-03-18,211.0,0.0,0.0
2021-03-19,211.0,0.0,0.0
2021-03-20,211.0,0.0,0.0
2021-03-21,211.0,0.0,0.0
2021-03-22,211.0,0.0,0.0
2021-03-23,211.0,0.0,0.0
2021-03-24,211.0,0.0,0.0
2021-03-25,211.0,0.0,0.0
2021-03-26,211.0,0.0,0.0
2021-03-27,211.0,0.0,0.0
2021-03-28,211.0,0.0,0.0
2021-03-29,211.0,0.0,0.0
2021-03-30,211.0,0.0,0.0
2021-03-31,211.0,0.0,0.0
2021-04-01,211.0,0.0,0.0
2021-04-02,211.0,0.0,0.0
2021-04-03,211.0,0.0,0.0
2021-04-04,211.0,0.0,0.0
2021-04-05,211.0,0.0,0.0
2021-04-06,211.0,0.0,0.0
2021-04-07,211.0,0.0,0.0
2021-04-08,211.0,0.0,0.0
2021-04-09,211.0,0.0,0.0
2021-04-10,211.0,0.0,0.0
2021-04-11,211.0,0.0,0.0
2021-04-12,211.0,0.0,0.0
2021-04-13,211.0,0.0,0.0
2021-04-14,211.0,61625.0,0.0
2021-04-15,340.0,0.0,0.0
2021-04-16,468.0,0.0,0.0
2021-04-17,596.0,0.0,0.0
2021-04-18,725.0,0.0,0.0
2021-04-19,853.0,0.0,0.0
2021-04-20,981.0,0.0,0.0
2021-04-21,1110.0,0.0,0.0
2021-04-22,1110.0,0.0,0.0
2021-04-23,1110.0,0.0,0.0
2021-04-24,1110.0,135130.0,0.0
2021-04-25,1003.0,0.0,0.0
2021-04-26,896.0,0.0,0.0
2021-04-27,789.0,0.0,0.0
2021-04-28,683.0,0.0,0.0
2021-04-29,576.0,0.0,0.0
2021-04-30,469.0,0.0,0.0
2021-05-01,363.0,0.0,0.0
2021-05-02,363.0,0.0,0.0
2021-05-03,363.0,0.0,0.0
2021-05-04,363.0,0.0,0.0
2021-05-05,363.0,0.0,0.0
2021-05-06,363.0,0.0,0.0
2021-05-07,363.0,166350.0,0.0
2021-05-08,312.0,0.0,0.0
2021-05-09,263.0,0.0,0.0
2021-05-10,213.0,0.0,0.0
2021-05-11,162.0,0.0,0.0
2021-05-12,112.0,0.0,0.0
2021-05-13,62.0,0.0,0.0
2021-05-14,12.0,0.0,0.0
2021-05-15,12.0,0.0,0.0
2021-05-16,12.0,0.0,0.0
2021-05-17,12.0,0.0,0.0
2021-05-18,12.0,0.0,0.0
2021-05-19,12.0,0.0,0.0
2021-05-20,12.0,0.0,0.0
2021-05-21,12.0,167500.0,0.0
