Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-28,0.0,0.0,0.0
2021-03-29,3.0,0.0,0.0
2021-03-30,3.0,0.0,0.0
2021-03-31,3.0,0.0,0.0
2021-04-01,3.0,0.0,0.0
2021-04-02,3.0,0.0,0.0
2021-04-03,3.0,0.0,0.0
2021-04-04,3.0,0.0,0.0
2021-04-05,3.0,0.0,0.0
2021-04-06,3.0,0.0,0.0
2021-04-07,3.0,0.0,0.0
2021-04-08,3.0,0.0,0.0
2021-04-09,3.0,0.0,0.0
2021-04-10,3.0,0.0,0.0
2021-04-11,3.0,0.0,0.0
2021-04-12,3.0,0.0,0.0
2021-04-13,3.0,0.0,0.0
2021-04-14,3.0,0.0,0.0
2021-04-15,3.0,0.0,0.0
2021-04-16,3.0,0.0,0.0
2021-04-17,3.0,1366.0,0.0
2021-04-18,20.0,0.0,0.0
2021-04-19,36.0,0.0,0.0
2021-04-20,53.0,0.0,0.0
2021-04-21,70.0,0.0,0.0
2021-04-22,87.0,0.0,0.0
2021-04-23,103.0,0.0,0.0
2021-04-24,120.0,0.0,0.0
2021-04-25,120.0,0.0,0.0
2021-04-26,120.0,0.0,0.0
2021-04-27,120.0,0.0,0.0
2021-04-28,120.0,0.0,0.0
2021-04-29,120.0,0.0,0.0
2021-04-30,120.0,0.0,0.0
2021-05-01,120.0,0.0,0.0
2021-05-02,120.0,0.0,0.0
2021-05-03,120.0,0.0,0.0
2021-05-04,120.0,0.0,0.0
2021-05-05,120.0,0.0,0.0
2021-05-06,120.0,0.0,0.0
2021-05-07,120.0,0.0,0.0
2021-05-08,120.0,0.0,0.0
2021-05-09,120.0,0.0,0.0
2021-05-10,120.0,0.0,0.0
2021-05-11,120.0,0.0,0.0
2021-05-12,120.0,68158.0,5948.0
2021-05-13,150.0,0.0,0.0
2021-05-14,179.0,0.0,0.0
2021-05-15,209.0,0.0,0.0
2021-05-16,238.0,0.0,0.0
2021-05-17,268.0,0.0,0.0
2021-05-18,298.0,115112.0,6514.0
2021-05-19,308.0,0.0,0.0
2021-05-20,290.0,0.0,0.0
2021-05-21,271.0,0.0,0.0
2021-05-22,252.0,0.0,0.0
2021-05-23,233.0,0.0,0.0
2021-05-24,214.0,0.0,0.0
2021-05-25,196.0,0.0,0.0
2021-05-26,196.0,152582.0,6943.0
