Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-04,0.0,0.0,0.0
2021-03-05,4.0,0.0,0.0
2021-03-06,4.0,0.0,0.0
2021-03-07,4.0,0.0,0.0
2021-03-08,4.0,0.0,0.0
2021-03-09,4.0,0.0,0.0
2021-03-10,4.0,0.0,0.0
2021-03-11,4.0,0.0,0.0
2021-03-12,4.0,0.0,0.0
2021-03-13,4.0,0.0,0.0
2021-03-14,4.0,0.0,0.0
2021-03-15,4.0,8000.0,0.0
2021-03-16,24.0,0.0,0.0
2021-03-17,44.0,0.0,0.0
2021-03-18,64.0,0.0,0.0
2021-03-19,85.0,0.0,0.0
2021-03-20,105.0,0.0,0.0
2021-03-21,125.0,0.0,0.0
2021-03-22,145.0,0.0,0.0
2021-03-23,145.0,0.0,0.0
2021-03-24,145.0,277458.0,0.0
2021-03-25,165.0,0.0,0.0
2021-03-26,186.0,0.0,0.0
2021-03-27,206.0,0.0,0.0
2021-03-28,226.0,513626.0,0.0
2021-03-29,252.0,0.0,0.0
2021-03-30,279.0,0.0,0.0
2021-03-31,306.0,718412.0,0.0
2021-04-01,334.0,818865.0,0.0
2021-04-02,314.0,0.0,0.0
2021-04-03,293.0,0.0,0.0
2021-04-04,272.0,0.0,0.0
2021-04-05,245.0,0.0,0.0
2021-04-06,218.0,964387.0,0.0
2021-04-07,177.0,0.0,0.0
2021-04-08,115.0,0.0,0.0
2021-04-09,101.0,0.0,0.0
2021-04-10,88.0,0.0,0.0
2021-04-11,75.0,0.0,0.0
2021-04-12,61.0,0.0,0.0
2021-04-13,48.0,0.0,0.0
2021-04-14,48.0,1043737.0,0.0
2021-04-15,46.0,1051096.0,0.0
2021-04-16,61.0,1081548.0,0.0
2021-04-17,59.0,0.0,0.0
2021-04-18,57.0,1096727.0,0.0
2021-04-19,54.0,1101827.0,0.0
2021-04-20,56.0,1114408.0,0.0
2021-04-21,62.0,1133325.0,0.0
2021-04-22,67.0,1148168.0,0.0
2021-04-23,53.0,1158582.0,0.0
2021-04-24,55.0,1167837.0,0.0
2021-04-25,52.0,1171515.0,0.0
2021-04-26,51.0,1175285.0,0.0
2021-04-27,47.0,1181941.0,0.0
2021-04-28,40.0,1191563.0,0.0
2021-04-29,37.0,0.0,0.0
2021-04-30,37.0,0.0,0.0
2021-05-01,38.0,1222109.0,0.0
2021-05-02,40.0,1229733.0,0.0
2021-05-03,43.0,1236815.0,0.0
2021-05-04,45.0,1246845.0,0.0
2021-05-05,52.0,1266742.0,0.0
2021-05-06,61.0,1289773.0,0.0
2021-05-07,280.0,1615787.0,0.0
2021-05-08,299.0,1653292.0,0.0
2021-05-09,302.0,1665698.0,0.0
2021-05-10,319.0,1697243.0,0.0
2021-05-11,323.0,1713306.0,0.0
2021-05-12,334.0,1748242.0,0.0
2021-05-13,328.0,1763552.0,0.0
2021-05-14,105.0,1767488.0,0.0
2021-05-15,98.0,1794552.0,0.0
2021-05-16,101.0,1811795.0,0.0
2021-05-17,87.0,1823095.0,0.0
2021-05-18,89.0,1842437.0,0.0
2021-05-19,92.0,1880788.0,0.0
2021-05-20,91.0,1894794.0,0.0
2021-05-21,100.0,1911254.0,0.0
2021-05-22,92.0,1927141.0,0.0
2021-05-23,81.0,1929237.0,0.0
2021-05-24,77.0,0.0,0.0
2021-05-25,67.0,1930922.0,8815.0
2021-05-26,51.0,1938611.0,15259.0
2021-05-27,50.0,1945273.0,22162.0
2021-05-28,51.0,1950298.0,33944.0
2021-05-29,48.0,1952694.0,44220.0
2021-05-30,59.0,1955652.0,58938.0
2021-05-31,66.0,1956598.0,73465.0
