Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-02,0.0,1.0,0.0
2020-12-03,0.0,1.0,0.0
2020-12-04,0.0,2.0,0.0
2020-12-05,0.0,2.0,0.0
2020-12-06,0.0,2.0,0.0
2020-12-07,0.0,4.0,0.0
2020-12-08,0.0,4.0,0.0
2020-12-09,0.0,5.0,0.0
2020-12-10,0.0,6.0,0.0
2020-12-11,0.0,7.0,0.0
2020-12-12,0.0,7.0,0.0
2020-12-13,0.0,7.0,0.0
2020-12-14,0.0,7.0,0.0
2020-12-15,0.0,7.0,0.0
2020-12-16,0.0,7.0,0.0
2020-12-17,0.0,7.0,0.0
2020-12-18,0.0,7.0,0.0
2020-12-19,0.0,7.0,0.0
2020-12-20,0.0,7.0,0.0
2020-12-21,0.0,7.0,0.0
2020-12-22,0.0,7.0,0.0
2020-12-23,0.0,7.0,0.0
2020-12-24,0.0,7.0,0.0
2020-12-25,0.0,7.0,0.0
2020-12-26,0.0,7.0,0.0
2020-12-27,0.0,12.0,0.0
2020-12-28,16.0,617.0,0.0
2020-12-29,44.0,1684.0,0.0
2020-12-30,56.0,2113.0,0.0
2020-12-31,57.0,2186.0,0.0
2021-01-01,58.0,2192.0,0.0
2021-01-02,58.0,2192.0,0.0
2021-01-03,58.0,2211.0,0.0
2021-01-04,42.0,2216.0,0.0
2021-01-05,103.0,5603.0,0.0
2021-01-06,331.0,14674.0,0.0
2021-01-07,502.0,21232.0,0.0
2021-01-08,544.0,22847.0,0.0
2021-01-09,548.0,22984.0,0.0
2021-01-10,550.0,23095.0,0.0
2021-01-11,560.0,23461.0,0.0
2021-01-12,583.0,27727.0,1.0
2021-01-13,603.0,37563.0,1.0
2021-01-14,654.0,46040.0,1.0
2021-01-15,730.0,50535.0,1.0
2021-01-16,746.0,51288.0,1.0
2021-01-17,753.0,51647.0,6.0
2021-01-18,785.0,52938.0,306.0
2021-01-19,815.0,57535.0,1129.0
2021-01-20,840.0,67608.0,1824.0
2021-01-21,844.0,76072.0,1993.0
2021-01-22,813.0,79404.0,2000.0
2021-01-23,803.0,79766.0,2000.0
2021-01-24,795.0,79837.0,2000.0
2021-01-25,769.0,80425.0,2006.0
2021-01-26,749.0,82705.0,4380.0
2021-01-27,973.0,94215.0,12140.0
2021-01-28,1208.0,105132.0,18785.0
2021-01-29,1276.0,108956.0,20885.0
2021-01-30,1276.0,109108.0,21087.0
2021-01-31,1279.0,109224.0,21140.0
2021-02-01,1277.0,109426.0,21449.0
2021-02-02,1408.0,115791.0,24720.0
2021-02-03,1792.0,140983.0,33370.0
