Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-28,0.0,1717.0,0.0
2020-12-29,322.0,3363.0,0.0
2020-12-30,326.0,5043.0,0.0
2020-12-31,313.0,6516.0,0.0
2021-01-01,252.0,0.0,0.0
2021-01-02,216.0,7231.0,0.0
2021-01-03,232.0,8826.0,0.0
2021-01-04,252.0,10728.0,0.0
2021-01-05,263.0,12751.0,0.0
2021-01-06,251.0,14005.0,0.0
2021-01-07,235.0,14911.0,0.0
2021-01-08,227.0,14980.0,0.0
2021-01-09,218.0,15023.0,0.0
2021-01-10,198.0,15907.0,0.0
2021-01-11,211.0,18287.0,0.0
2021-01-12,221.0,20649.0,0.0
2021-01-13,245.0,22749.0,0.0
2021-01-14,260.0,24204.0,0.0
2021-01-15,266.0,0.0,0.0
2021-01-16,273.0,24773.0,0.0
2021-01-17,267.0,24773.0,673.0
2021-01-18,237.0,24773.0,1985.0
2021-01-19,207.0,24773.0,3276.0
2021-01-20,190.0,24773.0,4775.0
2021-01-21,160.0,0.0,0.0
2021-01-22,163.0,0.0,0.0
2021-01-23,165.0,24773.0,5902.0
2021-01-24,205.0,24773.0,7992.0
2021-01-25,220.0,24773.0,9833.0
2021-01-26,228.0,24773.0,11433.0
2021-01-27,210.0,24773.0,12272.0
2021-01-28,204.0,0.0,0.0
2021-01-29,199.0,0.0,0.0
2021-01-30,193.0,0.0,0.0
2021-01-31,139.0,0.0,0.0
2021-02-01,93.0,0.0,0.0
2021-02-02,53.0,0.0,0.0
2021-02-03,34.0,0.0,0.0
2021-02-04,34.0,0.0,0.0
2021-02-05,34.0,0.0,0.0
2021-02-06,34.0,0.0,0.0
2021-02-07,34.0,0.0,0.0
2021-02-08,34.0,26874.0,12272.0
2021-02-09,87.0,28920.0,12272.0
2021-02-10,139.0,30961.0,12272.0
2021-02-11,185.0,32793.0,12272.0
2021-02-12,230.0,34557.0,12272.0
2021-02-13,235.0,34926.0,12272.0
2021-02-14,276.0,36547.0,12272.0
2021-02-15,306.0,37828.0,12272.0
2021-02-16,438.0,37828.0,19019.0
2021-02-17,420.0,39236.0,19019.0
2021-02-18,414.0,40859.0,19019.0
2021-02-19,424.0,42952.0,19019.0
2021-02-20,428.0,43468.0,19019.0
2021-02-21,440.0,45519.0,19019.0
2021-02-22,448.0,47084.0,19019.0
2021-02-23,303.0,48641.0,19019.0
2021-02-24,317.0,0.0,0.0
2021-02-25,325.0,0.0,0.0
2021-02-26,320.0,0.0,0.0
2021-02-27,359.0,0.0,0.0
2021-02-28,356.0,0.0,0.0
2021-03-01,366.0,0.0,0.0
2021-03-02,376.0,0.0,0.0
2021-03-03,376.0,0.0,0.0
2021-03-04,376.0,0.0,0.0
2021-03-05,376.0,0.0,0.0
2021-03-06,376.0,0.0,0.0
2021-03-07,376.0,0.0,0.0
2021-03-08,376.0,0.0,0.0
2021-03-09,376.0,75499.0,19019.0
2021-03-10,424.0,79149.0,19019.0
2021-03-11,409.0,0.0,0.0
2021-03-12,393.0,0.0,0.0
2021-03-13,378.0,0.0,0.0
2021-03-14,362.0,0.0,0.0
2021-03-15,347.0,85984.0,19019.0
2021-03-16,361.0,0.0,0.0
2021-03-17,327.0,90825.0,19019.0
