Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-02,0.0,0.0,0.0
2021-02-03,15.0,0.0,0.0
2021-02-04,15.0,0.0,0.0
2021-02-05,15.0,0.0,0.0
2021-02-06,15.0,0.0,0.0
2021-02-07,15.0,0.0,0.0
2021-02-08,15.0,0.0,0.0
2021-02-09,15.0,0.0,0.0
2021-02-10,15.0,27228.0,0.0
2021-02-11,16.0,0.0,0.0
2021-02-12,16.0,0.0,0.0
2021-02-13,16.0,0.0,0.0
2021-02-14,16.0,0.0,0.0
2021-02-15,16.0,0.0,0.0
2021-02-16,16.0,0.0,0.0
2021-02-17,17.0,52768.0,0.0
2021-02-18,17.0,0.0,0.0
2021-02-19,18.0,0.0,0.0
2021-02-20,19.0,0.0,0.0
2021-02-21,20.0,72882.0,0.0
2021-02-22,26.0,0.0,0.0
2021-02-23,32.0,0.0,0.0
2021-02-24,39.0,0.0,0.0
2021-02-25,44.0,0.0,0.0
2021-02-26,49.0,0.0,0.0
2021-02-27,54.0,0.0,0.0
2021-02-28,60.0,0.0,0.0
2021-03-01,60.0,0.0,0.0
2021-03-02,60.0,0.0,0.0
2021-03-03,60.0,0.0,0.0
2021-03-04,60.0,0.0,0.0
2021-03-05,60.0,0.0,0.0
2021-03-06,60.0,0.0,0.0
2021-03-07,60.0,0.0,0.0
2021-03-08,60.0,0.0,0.0
2021-03-09,60.0,0.0,0.0
2021-03-10,60.0,0.0,0.0
2021-03-11,60.0,0.0,0.0
2021-03-12,60.0,0.0,0.0
2021-03-13,60.0,0.0,0.0
2021-03-14,60.0,350000.0,0.0
2021-03-15,68.0,0.0,0.0
2021-03-16,77.0,0.0,0.0
2021-03-17,85.0,0.0,0.0
2021-03-18,94.0,0.0,0.0
2021-03-19,103.0,0.0,0.0
2021-03-20,111.0,0.0,0.0
2021-03-21,120.0,0.0,0.0
2021-03-22,120.0,0.0,0.0
2021-03-23,120.0,0.0,0.0
2021-03-24,120.0,0.0,0.0
2021-03-25,120.0,0.0,0.0
2021-03-26,120.0,0.0,0.0
2021-03-27,120.0,0.0,0.0
2021-03-28,120.0,0.0,0.0
2021-03-29,120.0,0.0,0.0
2021-03-30,120.0,0.0,0.0
2021-03-31,120.0,800000.0,0.0
2021-04-01,117.0,0.0,0.0
2021-04-02,115.0,0.0,0.0
2021-04-03,113.0,0.0,0.0
2021-04-04,110.0,0.0,0.0
2021-04-05,108.0,0.0,0.0
2021-04-06,105.0,936383.0,0.0
2021-04-07,146.0,0.0,0.0
2021-04-08,188.0,1114000.0,0.0
2021-04-09,198.0,0.0,0.0
2021-04-10,207.0,0.0,0.0
2021-04-11,216.0,0.0,0.0
2021-04-12,226.0,0.0,0.0
2021-04-13,235.0,1300000.0,0.0
2021-04-14,212.0,0.0,0.0
2021-04-15,189.0,0.0,0.0
2021-04-16,200.0,0.0,0.0
2021-04-17,210.0,0.0,0.0
2021-04-18,221.0,0.0,0.0
2021-04-19,231.0,0.0,0.0
2021-04-20,241.0,0.0,0.0
2021-04-21,241.0,0.0,0.0
2021-04-22,241.0,0.0,0.0
2021-04-23,241.0,0.0,0.0
2021-04-24,241.0,0.0,0.0
2021-04-25,241.0,0.0,0.0
2021-04-26,241.0,0.0,0.0
2021-04-27,241.0,0.0,0.0
2021-04-28,241.0,2100000.0,0.0
2021-04-29,300.0,0.0,0.0
2021-04-30,360.0,0.0,0.0
2021-05-01,419.0,0.0,0.0
2021-05-02,478.0,0.0,0.0
2021-05-03,537.0,0.0,0.0
2021-05-04,596.0,0.0,0.0
2021-05-05,679.0,0.0,0.0
2021-05-06,696.0,0.0,0.0
2021-05-07,652.0,0.0,0.0
2021-05-08,608.0,0.0,0.0
2021-05-09,564.0,0.0,0.0
2021-05-10,521.0,0.0,0.0
2021-05-11,477.0,2811726.0,952518.0
2021-05-12,401.0,0.0,0.0
2021-05-13,334.0,2931064.0,964227.0
2021-05-14,368.0,0.0,0.0
2021-05-15,402.0,0.0,0.0
2021-05-16,437.0,0.0,0.0
2021-05-17,471.0,0.0,0.0
2021-05-18,505.0,0.0,0.0
2021-05-19,547.0,0.0,0.0
2021-05-20,589.0,3647933.0,1156893.0
2021-05-21,641.0,3825314.0,1193441.0
2021-05-22,643.0,0.0,0.0
2021-05-23,646.0,0.0,0.0
2021-05-24,648.0,4144175.0,1286429.0
2021-05-25,730.0,0.0,0.0
2021-05-26,813.0,0.0,0.0
2021-05-27,895.0,4693390.0,1513144.0
