Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-01-20,0.0,641.0,0.0
2021-01-21,484.0,2728.0,0.0
2021-01-22,515.0,5081.0,0.0
2021-01-23,383.0,5594.0,0.0
2021-01-24,335.0,6420.0,0.0
2021-01-25,276.0,6597.0,0.0
2021-01-26,265.0,7497.0,0.0
2021-01-27,262.0,8546.0,0.0
2021-01-28,198.0,8723.0,0.0
2021-01-29,122.0,8772.0,0.0
2021-01-30,125.0,0.0,0.0
2021-01-31,117.0,0.0,0.0
2021-02-01,131.0,10549.0,0.0
2021-02-02,149.0,12013.0,0.0
2021-02-03,126.0,12362.0,0.0
2021-02-04,123.0,12428.0,0.0
2021-02-05,121.0,12441.0,0.0
2021-02-06,105.0,0.0,0.0
2021-02-07,88.0,0.0,0.0
2021-02-08,72.0,0.0,0.0
2021-02-09,26.0,12806.0,0.0
2021-02-10,81.0,0.0,0.0
2021-02-11,145.0,0.0,0.0
2021-02-12,210.0,0.0,0.0
2021-02-13,273.0,0.0,0.0
2021-02-14,337.0,0.0,0.0
2021-02-15,400.0,0.0,0.0
2021-02-16,463.0,0.0,0.0
2021-02-17,463.0,0.0,0.0
2021-02-18,463.0,28549.0,2227.0
2021-02-19,730.0,38262.0,2568.0
2021-02-20,819.0,42867.0,2668.0
2021-02-21,830.0,45014.0,2834.0
2021-02-22,1204.0,57896.0,3272.0
2021-02-23,1253.0,61104.0,3534.0
2021-02-24,1696.0,74711.0,5278.0
2021-02-25,1942.0,83733.0,5686.0
2021-02-26,2180.0,100819.0,5848.0
2021-02-27,2284.0,108675.0,5854.0
2021-02-28,2362.0,113320.0,5856.0
2021-03-01,2020.0,116326.0,5863.0
2021-03-02,2251.0,126732.0,5878.0
2021-03-03,1866.0,130462.0,5881.0
2021-03-04,2019.0,144529.0,5882.0
2021-03-05,1995.0,161039.0,5892.0
2021-03-06,2655.0,191140.0,5892.0
2021-03-07,2955.0,202522.0,5893.0
2021-03-08,2965.0,205850.0,5901.0
2021-03-09,2711.0,208590.0,5902.0
2021-03-10,2928.0,218861.0,5904.0
2021-03-11,2747.0,227461.0,5904.0
2021-03-12,2454.0,0.0,0.0
2021-03-13,1788.0,0.0,0.0
2021-03-14,1588.0,0.0,0.0
2021-03-15,1732.0,0.0,0.0
2021-03-16,1895.0,0.0,0.0
2021-03-17,1809.0,0.0,0.0
2021-03-18,1779.0,235570.0,51516.0
2021-03-19,1727.0,0.0,0.0
2021-03-20,1675.0,0.0,0.0
2021-03-21,1623.0,0.0,0.0
2021-03-22,1571.0,0.0,0.0
2021-03-23,1519.0,0.0,0.0
2021-03-24,1467.0,0.0,0.0
2021-03-25,1415.0,238228.0,91594.0
