Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-30,0.0,0.0,0.0
2021-03-31,2.0,0.0,0.0
2021-04-01,2.0,0.0,0.0
2021-04-02,2.0,0.0,0.0
2021-04-03,2.0,0.0,0.0
2021-04-04,2.0,0.0,0.0
2021-04-05,2.0,0.0,0.0
2021-04-06,2.0,0.0,0.0
2021-04-07,2.0,0.0,0.0
2021-04-08,2.0,0.0,0.0
2021-04-09,2.0,0.0,0.0
2021-04-10,2.0,0.0,0.0
2021-04-11,2.0,0.0,0.0
2021-04-12,2.0,0.0,0.0
2021-04-13,2.0,197.0,0.0
2021-04-14,3.0,0.0,0.0
2021-04-15,5.0,0.0,0.0
2021-04-16,7.0,0.0,0.0
2021-04-17,9.0,0.0,0.0
2021-04-18,11.0,0.0,0.0
2021-04-19,12.0,0.0,0.0
2021-04-20,14.0,1081.0,0.0
2021-04-21,13.0,0.0,0.0
2021-04-22,12.0,0.0,0.0
2021-04-23,11.0,0.0,0.0
2021-04-24,10.0,0.0,0.0
2021-04-25,9.0,0.0,0.0
2021-04-26,8.0,0.0,0.0
2021-04-27,7.0,1508.0,0.0
2021-04-28,9.0,0.0,0.0
2021-04-29,12.0,0.0,0.0
2021-04-30,14.0,0.0,0.0
2021-05-01,17.0,0.0,0.0
2021-05-02,19.0,0.0,0.0
2021-05-03,21.0,0.0,0.0
2021-05-04,24.0,3000.0,0.0
2021-05-05,20.0,0.0,0.0
2021-05-06,17.0,0.0,0.0
2021-05-07,14.0,0.0,0.0
2021-05-08,10.0,0.0,0.0
2021-05-09,7.0,0.0,0.0
2021-05-10,3.0,0.0,0.0
2021-05-11,0.0,3000.0,0.0
2021-05-12,45.0,0.0,0.0
2021-05-13,91.0,0.0,0.0
2021-05-14,136.0,11537.0,0.0
