Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-28,0.0,2000.0,0.0
2020-12-29,114.0,6300.0,0.0
2020-12-30,453.0,36300.0,0.0
2020-12-31,402.0,47600.0,0.0
2021-01-01,310.0,0.0,0.0
2021-01-02,256.0,50391.0,0.0
2021-01-03,215.0,50833.0,0.0
2021-01-04,341.0,92220.0,0.0
2021-01-05,506.0,140226.0,0.0
2021-01-06,468.0,160359.0,0.0
2021-01-07,534.0,188956.0,0.0
2021-01-08,565.0,198787.0,0.0
2021-01-09,565.0,200022.0,0.0
2021-01-10,575.0,203053.0,0.0
2021-01-11,625.0,257834.0,0.0
2021-01-12,639.0,309620.0,0.0
2021-01-13,788.0,369212.0,0.0
2021-01-14,836.0,410480.0,0.0
2021-01-15,899.0,436963.0,0.0
2021-01-16,971.0,457303.0,0.0
2021-01-17,1006.0,468795.0,671.0
2021-01-18,896.0,491696.0,3468.0
2021-01-19,874.0,530055.0,11174.0
2021-01-20,840.0,566793.0,24992.0
2021-01-21,885.0,605313.0,39686.0
2021-01-22,934.0,638798.0,45479.0
2021-01-23,920.0,654184.0,46980.0
2021-01-24,898.0,659753.0,47721.0
2021-01-25,1064.0,701222.0,75765.0
2021-01-26,1375.0,782413.0,123044.0
2021-01-27,1572.0,858474.0,149779.0
2021-01-28,1706.0,917908.0,179128.0
2021-01-29,1724.0,945600.0,195481.0
2021-01-30,1720.0,958453.0,198478.0
2021-01-31,1772.0,976367.0,200537.0
2021-02-01,1716.0,998587.0,233129.0
2021-02-02,1649.0,1053245.0,289190.0
2021-02-03,1711.0,1117146.0,344432.0
2021-02-04,1772.0,1171229.0,395375.0
2021-02-05,1799.0,1193034.0,424730.0
2021-02-06,1828.0,1200793.0,440365.0
2021-02-07,1811.0,1206212.0,450496.0
2021-02-08,1825.0,0.0,0.0
2021-02-09,1628.0,1291569.0,482146.0
2021-02-10,1593.0,0.0,0.0
2021-02-11,1612.0,1413132.0,580607.0
2021-02-12,1711.0,1446102.0,624907.0
2021-02-13,1759.0,1466439.0,640650.0
2021-02-14,1757.0,1476274.0,645971.0
2021-02-15,1676.0,1500911.0,658235.0
2021-02-16,1723.0,1538737.0,691380.0
2021-02-17,1891.0,1610734.0,774060.0
2021-02-18,2126.0,1691115.0,865884.0
2021-02-19,2226.0,1743841.0,916935.0
2021-02-20,2230.0,1772133.0,925682.0
2021-02-21,2238.0,1785194.0,929965.0
2021-02-22,2266.0,1824654.0,934782.0
2021-02-23,2434.0,0.0,0.0
2021-02-24,2287.0,1959165.0,1031518.0
2021-02-25,2164.0,0.0,0.0
2021-02-26,2299.0,2101754.0,1168058.0
2021-02-27,2285.0,0.0,0.0
2021-02-28,2345.0,2149607.0,1186747.0
