Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-27,0.0,965.0,0.0
2020-12-28,57.0,2066.0,0.0
2020-12-29,47.0,2778.0,0.0
2020-12-30,81.0,5666.0,0.0
2020-12-31,121.0,10289.0,0.0
2021-01-01,111.0,11656.0,0.0
2021-01-02,106.0,13242.0,0.0
2021-01-03,94.0,13596.0,0.0
2021-01-04,174.0,25508.0,0.0
2021-01-05,288.0,41609.0,0.0
2021-01-06,393.0,58554.0,0.0
2021-01-07,491.0,76400.0,0.0
2021-01-08,602.0,92706.0,0.0
2021-01-09,661.0,102301.0,0.0
2021-01-10,703.0,108294.0,0.0
2021-01-11,740.0,125190.0,0.0
2021-01-12,734.0,140447.0,0.0
2021-01-13,711.0,154268.0,0.0
2021-01-14,578.0,154268.0,0.0
2021-01-15,675.0,183669.0,0.0
2021-01-16,696.0,196090.0,0.0
2021-01-17,712.0,203310.0,875.0
2021-01-18,817.0,233289.0,1950.0
2021-01-19,962.0,267425.0,2621.0
2021-01-20,1144.0,302571.0,5813.0
2021-01-21,1439.0,338253.0,9843.0
2021-01-22,1502.0,374682.0,11254.0
2021-01-23,1654.0,406007.0,12878.0
2021-01-24,1798.0,433130.0,13155.0
2021-01-25,1852.0,459568.0,25063.0
2021-01-26,1918.0,487712.0,40666.0
2021-01-27,1948.0,513430.0,57274.0
2021-01-28,1940.0,534347.0,75049.0
2021-01-29,1939.0,554925.0,92075.0
2021-01-30,1883.0,571092.0,101304.0
2021-01-31,1820.0,585219.0,106196.0
2021-02-01,1757.0,598136.0,123048.0
2021-02-02,1636.0,610384.0,138348.0
2021-02-03,1496.0,620177.0,152025.0
2021-02-04,1377.0,629280.0,165515.0
2021-02-05,1296.0,638887.0,182665.0
2021-02-06,1251.0,647691.0,193121.0
2021-02-07,1225.0,656178.0,200144.0
2021-02-08,1264.0,661063.0,230285.0
2021-02-09,1347.0,666943.0,263212.0
2021-02-10,1476.0,671449.0,299518.0
2021-02-11,1594.0,675234.0,334187.0
2021-02-12,1688.0,679333.0,369464.0
2021-02-13,1807.0,683347.0,400749.0
2021-02-14,1913.0,686635.0,427340.0
2021-02-15,1929.0,696944.0,454168.0
2021-02-16,1982.0,715749.0,481340.0
2021-02-17,2001.0,734929.0,505479.0
2021-02-18,2011.0,753753.0,526475.0
2021-02-19,2002.0,771240.0,547115.0
2021-02-20,1984.0,788508.0,562771.0
2021-02-21,1970.0,803098.0,576125.0
2021-02-22,1916.0,819447.0,589640.0
2021-02-23,1792.0,836860.0,601572.0
2021-02-24,1680.0,855097.0,611552.0
2021-02-25,1535.0,872361.0,614546.0
2021-02-26,1394.0,890068.0,615964.0
2021-02-27,1266.0,905142.0,616594.0
2021-02-28,1141.0,915761.0,617111.0
2021-03-01,1158.0,946781.0,618240.0
2021-03-02,1223.0,983997.0,619182.0
2021-03-03,1301.0,1022066.0,619808.0
2021-03-04,1476.0,1058452.0,627159.0
2021-03-05,1685.0,1096911.0,636053.0
2021-03-06,1930.0,1136895.0,644707.0
2021-03-07,2183.0,1174219.0,652567.0
2021-03-08,2267.0,1212503.0,657741.0
2021-03-09,2341.0,1254801.0,663642.0
2021-03-10,2435.0,1297161.0,672685.0
2021-03-11,2481.0,1336828.0,682929.0
2021-03-12,2496.0,1375595.0,693548.0
2021-03-13,2497.0,1413636.0,704229.0
2021-03-14,2479.0,1447358.0,713206.0
2021-03-15,2524.0,1487184.0,722956.0
2021-03-16,2612.0,1531483.0,738641.0
2021-03-17,2633.0,1572466.0,751939.0
2021-03-18,2648.0,1615577.0,760753.0
2021-03-19,2651.0,1658270.0,767921.0
2021-03-20,2668.0,1704448.0,772647.0
2021-03-21,2680.0,1746105.0,775407.0
