Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2020-12-15,0.0,28500.0,0.0
2020-12-16,23.0,0.0,0.0
2020-12-17,23.0,0.0,0.0
2020-12-18,23.0,0.0,0.0
2020-12-19,23.0,0.0,0.0
2020-12-20,23.0,0.0,0.0
2020-12-21,23.0,0.0,0.0
2020-12-22,23.0,52000.0,0.0
2020-12-23,86.0,0.0,0.0
2020-12-24,150.0,0.0,0.0
2020-12-25,213.0,0.0,0.0
2020-12-26,276.0,0.0,0.0
2020-12-27,339.0,0.0,0.0
2020-12-28,403.0,0.0,0.0
2020-12-29,466.0,0.0,0.0
2020-12-30,466.0,0.0,0.0
2020-12-31,466.0,0.0,0.0
2021-01-01,466.0,0.0,0.0
2021-01-02,466.0,800000.0,0.0
2021-01-03,417.0,0.0,0.0
2021-01-04,368.0,0.0,0.0
2021-01-05,320.0,0.0,0.0
2021-01-06,271.0,0.0,0.0
2021-01-07,222.0,0.0,0.0
2021-01-08,173.0,0.0,0.0
2021-01-09,125.0,0.0,0.0
2021-01-10,125.0,0.0,0.0
2021-01-11,125.0,0.0,0.0
2021-01-12,125.0,0.0,0.0
2021-01-13,125.0,1000000.0,0.0
2021-01-14,193.0,0.0,0.0
2021-01-15,262.0,0.0,0.0
2021-01-16,331.0,0.0,0.0
2021-01-17,400.0,0.0,0.0
2021-01-18,469.0,0.0,0.0
2021-01-19,538.0,0.0,0.0
2021-01-20,607.0,0.0,0.0
2021-01-21,607.0,0.0,0.0
2021-01-22,607.0,0.0,0.0
2021-01-23,607.0,0.0,0.0
2021-01-24,607.0,0.0,0.0
2021-01-25,607.0,0.0,0.0
2021-01-26,607.0,0.0,0.0
2021-01-27,607.0,0.0,0.0
2021-01-28,607.0,0.0,0.0
2021-01-29,607.0,0.0,0.0
2021-01-30,607.0,0.0,0.0
2021-01-31,607.0,0.0,0.0
2021-02-01,607.0,0.0,0.0
2021-02-02,607.0,0.0,0.0
2021-02-03,607.0,0.0,0.0
2021-02-04,607.0,0.0,0.0
2021-02-05,607.0,0.0,0.0
2021-02-06,607.0,0.0,0.0
2021-02-07,607.0,0.0,0.0
2021-02-08,607.0,0.0,0.0
2021-02-09,607.0,0.0,0.0
2021-02-10,607.0,0.0,0.0
2021-02-11,607.0,0.0,0.0
2021-02-12,607.0,0.0,0.0
2021-02-13,607.0,0.0,0.0
2021-02-14,607.0,0.0,0.0
2021-02-15,607.0,0.0,0.0
2021-02-16,607.0,0.0,0.0
2021-02-17,607.0,0.0,0.0
2021-02-18,607.0,0.0,0.0
2021-02-19,607.0,0.0,0.0
2021-02-20,607.0,0.0,0.0
2021-02-21,607.0,0.0,0.0
2021-02-22,607.0,0.0,0.0
2021-02-23,607.0,0.0,0.0
2021-02-24,607.0,0.0,0.0
2021-02-25,607.0,0.0,0.0
2021-02-26,607.0,0.0,0.0
2021-02-27,607.0,0.0,0.0
2021-02-28,607.0,0.0,0.0
2021-03-01,607.0,0.0,0.0
2021-03-02,607.0,4158334.0,1091497.0
2021-03-03,754.0,4287423.0,1201919.0
2021-03-04,1178.0,4701175.0,1309569.0
2021-03-05,1377.0,4908178.0,1393676.0
2021-03-06,1566.0,5082127.0,1501746.0
2021-03-07,1549.0,5128138.0,1527349.0
2021-03-08,1476.0,5136605.0,1532861.0
2021-03-09,1414.0,5149589.0,1544760.0
2021-03-10,1526.0,5272651.0,1775478.0
2021-03-11,1237.0,5366009.0,1907924.0
2021-03-12,1040.0,0.0,0.0
2021-03-13,853.0,0.0,0.0
2021-03-14,872.0,0.0,0.0
2021-03-15,947.0,0.0,0.0
2021-03-16,1011.0,0.0,0.0
2021-03-17,754.0,5379359.0,2438650.0
2021-03-18,622.0,5431048.0,2478390.0
2021-03-19,804.0,5544777.0,2641167.0
2021-03-20,833.0,5595893.0,2710605.0
2021-03-21,799.0,5611139.0,2751436.0
2021-03-22,1049.0,0.0,0.0
2021-03-23,1298.0,0.0,0.0
2021-03-24,1547.0,0.0,0.0
2021-03-25,1795.0,0.0,0.0
2021-03-26,1863.0,0.0,0.0
2021-03-27,2083.0,0.0,0.0
2021-03-28,2366.0,0.0,0.0
2021-03-29,2366.0,6846664.0,4277686.0
2021-03-30,2085.0,6886259.0,4296849.0
2021-03-31,1934.0,7004336.0,4369236.0
2021-04-01,1859.0,7159411.0,4482884.0
2021-04-02,1655.0,7247479.0,4531816.0
2021-04-03,1571.0,7445035.0,4593824.0
2021-04-04,1313.0,7505764.0,4615046.0
2021-04-05,1068.0,7576640.0,4638702.0
2021-04-06,1265.0,7753876.0,4721078.0
2021-04-07,1639.0,7908918.0,5138882.0
2021-04-08,1676.0,8146598.0,5207904.0
2021-04-09,1811.0,8333331.0,5295548.0
2021-04-10,1898.0,8575951.0,5401446.0
2021-04-11,1946.0,8692848.0,5415493.0
2021-04-12,2011.0,8808044.0,5461499.0
2021-04-13,2064.0,9037705.0,5546176.0
2021-04-14,1880.0,9343939.0,5623863.0
2021-04-15,1771.0,9473241.0,5690858.0
2021-04-16,1802.0,9731470.0,5738147.0
2021-04-17,1687.0,9918665.0,5782138.0
2021-04-18,2015.0,10019885.0,6147266.0
2021-04-19,1926.0,10077017.0,6160302.0
2021-04-20,1942.0,10341593.0,6226249.0
2021-04-21,1814.0,10520393.0,6300874.0
2021-04-22,2011.0,10787419.0,6430894.0
2021-04-23,2023.0,10997801.0,6538025.0
2021-04-24,2330.0,11312625.0,6767873.0
2021-04-25,1944.0,11362893.0,6789814.0
2021-04-26,2034.0,11445394.0,6869922.0
2021-04-27,1947.0,11599037.0,6958027.0
2021-04-28,2176.0,11913555.0,7130216.0
2021-04-29,2257.0,12152170.0,7371691.0
2021-04-30,2250.0,12299770.0,7534622.0
2021-05-01,1815.0,12377978.0,7556421.0
2021-05-02,1878.0,12431003.0,7639740.0
2021-05-03,1757.0,12449156.0,7661398.0
2021-05-04,1577.0,12478994.0,7689449.0
2021-05-05,1641.0,12704207.0,8015940.0
2021-05-06,1619.0,12893563.0,8284150.0
2021-05-07,1432.0,12940465.0,8356282.0
2021-05-08,1628.0,13056228.0,8540846.0
2021-05-09,1587.0,0.0,0.0
2021-05-10,1640.0,13165465.0,8620666.0
2021-05-11,1641.0,13205698.0,8638684.0
2021-05-12,1817.0,13566658.0,9009287.0
2021-05-13,1571.0,13653498.0,9129433.0
2021-05-14,1953.0,13856566.0,9435479.0
2021-05-15,2213.0,14265642.0,9592559.0
2021-05-16,2231.0,14313416.0,9656918.0
2021-05-17,2253.0,14361832.0,9725703.0
2021-05-18,2618.0,14592957.0,9926270.0
2021-05-19,2239.0,14718070.0,10144832.0
2021-05-20,2334.0,14888987.0,10277972.0
2021-05-21,2130.0,15031015.0,10437042.0
2021-05-22,2508.0,15325919.0,11093801.0
2021-05-23,2449.0,15360666.0,11111844.0
2021-05-24,2658.0,15610238.0,11192086.0
2021-05-25,2455.0,15768938.0,11257859.0
2021-05-26,2691.0,16159658.0,11452201.0
2021-05-27,2519.0,16225813.0,11514143.0
2021-05-28,2589.0,16331436.0,11781458.0
2021-05-29,1904.0,16470154.0,11894928.0
2021-05-30,1935.0,16528341.0,11921211.0
2021-05-31,1663.0,16576370.0,11925267.0
