Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-15,0.0,0.0,0.0
2021-02-16,322.0,0.0,0.0
2021-02-17,322.0,0.0,0.0
2021-02-18,322.0,0.0,0.0
2021-02-19,322.0,0.0,0.0
2021-02-20,322.0,0.0,0.0
2021-02-21,322.0,0.0,0.0
2021-02-22,322.0,0.0,0.0
2021-02-23,322.0,0.0,0.0
2021-02-24,322.0,0.0,0.0
2021-02-25,322.0,0.0,0.0
2021-02-26,322.0,0.0,0.0
2021-02-27,322.0,0.0,0.0
2021-02-28,322.0,0.0,0.0
2021-03-01,322.0,0.0,0.0
2021-03-02,322.0,0.0,0.0
2021-03-03,322.0,0.0,0.0
2021-03-04,322.0,0.0,0.0
2021-03-05,322.0,75056.0,0.0
2021-03-06,1201.0,158898.0,0.0
2021-03-07,1591.0,198453.0,0.0
2021-03-08,1658.0,208677.0,0.0
2021-03-09,1737.0,220048.0,0.0
2021-03-10,1789.0,228954.0,0.0
2021-03-11,1854.0,238942.0,0.0
2021-03-12,1919.0,249074.0,0.0
2021-03-13,1044.0,253538.0,0.0
2021-03-14,651.0,257449.0,0.0
2021-03-15,1162.0,314015.0,0.0
2021-03-16,1077.0,317708.0,0.0
2021-03-17,1023.0,321698.0,0.0
2021-03-18,935.0,323744.0,0.0
2021-03-19,886.0,329410.0,0.0
2021-03-20,880.0,333355.0,0.0
2021-03-21,850.0,334538.0,0.0
2021-03-22,271.0,338544.0,0.0
2021-03-23,287.0,343723.0,0.0
2021-03-24,297.0,348629.0,0.0
2021-03-25,278.0,348926.0,0.0
2021-03-26,215.0,0.0,0.0
2021-03-27,172.0,0.0,0.0
2021-03-28,160.0,0.0,0.0
2021-03-29,116.0,0.0,0.0
2021-03-30,59.0,0.0,0.0
2021-03-31,5.0,0.0,0.0
2021-04-01,2.0,0.0,0.0
2021-04-02,2.0,0.0,0.0
2021-04-03,2.0,0.0,0.0
2021-04-04,2.0,0.0,0.0
2021-04-05,2.0,0.0,0.0
2021-04-06,2.0,0.0,0.0
2021-04-07,2.0,0.0,0.0
2021-04-08,2.0,0.0,0.0
2021-04-09,2.0,0.0,0.0
2021-04-10,2.0,0.0,0.0
2021-04-11,2.0,0.0,0.0
2021-04-12,2.0,0.0,0.0
2021-04-13,2.0,0.0,0.0
2021-04-14,2.0,0.0,0.0
2021-04-15,2.0,349427.0,0.0
2021-04-16,5.0,349702.0,0.0
2021-04-17,4.0,0.0,0.0
2021-04-18,4.0,0.0,0.0
2021-04-19,4.0,0.0,0.0
2021-04-20,4.0,0.0,0.0
2021-04-21,4.0,0.0,0.0
2021-04-22,4.0,0.0,0.0
2021-04-23,1.0,0.0,0.0
2021-04-24,1.0,0.0,0.0
2021-04-25,1.0,0.0,0.0
2021-04-26,1.0,0.0,0.0
2021-04-27,1.0,0.0,0.0
2021-04-28,1.0,0.0,0.0
2021-04-29,1.0,0.0,0.0
2021-04-30,1.0,349871.0,0.0
2021-05-01,2.0,350003.0,0.0
2021-05-02,81.0,0.0,0.0
2021-05-03,160.0,0.0,0.0
2021-05-04,239.0,0.0,0.0
2021-05-05,317.0,0.0,0.0
2021-05-06,396.0,0.0,0.0
2021-05-07,475.0,0.0,0.0
2021-05-08,552.0,350400.0,49696.0
