Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-22,0.0,0.0,0.0
2021-02-23,5903.0,0.0,0.0
2021-02-24,5903.0,0.0,0.0
2021-02-25,5903.0,0.0,0.0
2021-02-26,5903.0,0.0,0.0
2021-02-27,5903.0,0.0,0.0
2021-02-28,5903.0,0.0,0.0
2021-03-01,5903.0,0.0,0.0
2021-03-02,5903.0,0.0,0.0
2021-03-03,5903.0,0.0,0.0
2021-03-04,5903.0,0.0,0.0
2021-03-05,5903.0,0.0,0.0
2021-03-06,5903.0,0.0,0.0
2021-03-07,5903.0,0.0,0.0
2021-03-08,5903.0,0.0,0.0
2021-03-09,5903.0,0.0,0.0
2021-03-10,5903.0,0.0,0.0
2021-03-11,5903.0,0.0,0.0
2021-03-12,5903.0,0.0,0.0
2021-03-13,5903.0,0.0,0.0
2021-03-14,5903.0,0.0,0.0
2021-03-15,5903.0,0.0,0.0
2021-03-16,5903.0,6903.0,0.0
2021-03-17,5659.0,0.0,0.0
2021-03-18,5433.0,0.0,0.0
2021-03-19,5189.0,7580.0,0.0
2021-03-20,4681.0,0.0,0.0
2021-03-21,4174.0,0.0,0.0
2021-03-22,3666.0,0.0,0.0
2021-03-23,3158.0,0.0,0.0
2021-03-24,2876.0,0.0,0.0
2021-03-25,2613.0,0.0,0.0
2021-03-26,2331.0,0.0,0.0
2021-03-27,2331.0,8573.0,0.0
2021-03-28,2369.0,0.0,0.0
2021-03-29,2388.0,0.0,0.0
2021-03-30,2425.0,0.0,0.0
2021-03-31,2444.0,0.0,0.0
2021-04-01,2482.0,0.0,0.0
2021-04-02,2500.0,0.0,0.0
2021-04-03,2519.0,0.0,0.0
2021-04-04,2519.0,0.0,0.0
2021-04-05,2519.0,0.0,0.0
2021-04-06,2519.0,0.0,0.0
2021-04-07,2519.0,0.0,0.0
2021-04-08,2519.0,0.0,0.0
2021-04-09,2519.0,0.0,0.0
2021-04-10,2519.0,10456.0,0.0
2021-04-11,2632.0,0.0,0.0
2021-04-12,2745.0,0.0,0.0
2021-04-13,2839.0,0.0,0.0
2021-04-14,2952.0,11152.0,0.0
2021-04-15,3403.0,11451.0,0.0
2021-04-16,3215.0,0.0,0.0
2021-04-17,3027.0,0.0,0.0
2021-04-18,2745.0,0.0,0.0
2021-04-19,2444.0,0.0,0.0
2021-04-20,2162.0,0.0,0.0
2021-04-21,1861.0,11848.0,0.0
2021-04-22,1316.0,0.0,0.0
2021-04-23,1391.0,0.0,0.0
2021-04-24,1466.0,0.0,0.0
2021-04-25,1542.0,0.0,0.0
2021-04-26,1617.0,0.0,0.0
2021-04-27,1692.0,0.0,0.0
2021-04-28,1767.0,0.0,0.0
2021-04-29,1767.0,0.0,0.0
2021-04-30,1767.0,0.0,0.0
2021-05-01,1767.0,0.0,0.0
2021-05-02,1767.0,0.0,0.0
2021-05-03,1767.0,0.0,0.0
2021-05-04,1767.0,12943.0,127.0
2021-05-05,2350.0,0.0,0.0
2021-05-06,2933.0,0.0,0.0
2021-05-07,3516.0,0.0,0.0
2021-05-08,4117.0,0.0,0.0
2021-05-09,4700.0,0.0,0.0
2021-05-10,5283.0,0.0,0.0
2021-05-11,5866.0,0.0,0.0
2021-05-12,5866.0,13821.0,1746.0
2021-05-13,6430.0,0.0,0.0
2021-05-14,6994.0,0.0,0.0
2021-05-15,7558.0,0.0,0.0
2021-05-16,8122.0,0.0,0.0
2021-05-17,8686.0,0.0,0.0
2021-05-18,9231.0,14588.0,4107.0
2021-05-19,10265.0,0.0,0.0
2021-05-20,10716.0,0.0,0.0
2021-05-21,11167.0,0.0,0.0
2021-05-22,11618.0,15619.0,5840.0
2021-05-23,12314.0,0.0,0.0
2021-05-24,13009.0,0.0,0.0
2021-05-25,13686.0,0.0,0.0
2021-05-26,13912.0,0.0,0.0
2021-05-27,14156.0,18425.0,6922.0
