Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-27,0.0,35.0,0.0
2021-02-28,3536.0,0.0,0.0
2021-03-01,3536.0,275.0,0.0
2021-03-02,5363.0,580.0,0.0
2021-03-03,6247.0,883.0,0.0
2021-03-04,7956.0,1383.0,0.0
2021-03-05,9075.0,1880.0,0.0
2021-03-06,9694.0,2339.0,0.0
2021-03-07,9959.0,0.0,0.0
2021-03-08,10195.0,2700.0,0.0
2021-03-09,10460.0,3065.0,0.0
2021-03-10,11727.0,3668.0,0.0
2021-03-11,12199.0,4284.0,0.0
2021-03-12,12317.0,4806.0,0.0
2021-03-13,10490.0,4832.0,0.0
2021-03-14,10991.0,5130.0,0.0
2021-03-15,11492.0,5430.0,0.0
2021-03-16,12729.0,6087.0,0.0
2021-03-17,12935.0,6738.0,0.0
2021-03-18,12817.0,7299.0,29.0
2021-03-19,13112.0,7888.0,35.0
2021-03-20,13908.0,0.0,0.0
2021-03-21,13525.0,0.0,0.0
2021-03-22,13142.0,8293.0,260.0
2021-03-23,12611.0,8578.0,506.0
2021-03-24,11462.0,8607.0,854.0
2021-03-25,10755.0,0.0,0.0
2021-03-26,10048.0,8633.0,1675.0
2021-03-27,10696.0,0.0,0.0
2021-03-28,11315.0,0.0,0.0
2021-03-29,11963.0,0.0,0.0
2021-03-30,11256.0,8779.0,2980.0
2021-03-31,12110.0,8818.0,3523.0
2021-04-01,11609.0,0.0,0.0
2021-04-02,11108.0,8829.0,4121.0
2021-04-03,11816.0,8830.0,4645.0
2021-04-04,11167.0,0.0,0.0
2021-04-05,10519.0,0.0,0.0
2021-04-06,9871.0,8837.0,5265.0
2021-04-07,10342.0,8876.0,5921.0
2021-04-08,12729.0,9021.0,6652.0
2021-04-09,14556.0,9187.0,7220.0
2021-04-10,14379.0,9187.0,7702.0
2021-04-11,16235.0,0.0,0.0
2021-04-12,18062.0,0.0,0.0
2021-04-13,19919.0,10437.0,8398.0
2021-04-14,20331.0,0.0,0.0
2021-04-15,20007.0,11989.0,8435.0
2021-04-16,20950.0,12948.0,8436.0
2021-04-17,18946.0,12948.0,8442.0
2021-04-18,18386.0,13460.0,8445.0
2021-04-19,18534.0,0.0,0.0
2021-04-20,18681.0,14699.0,8573.0
2021-04-21,19506.0,15621.0,8641.0
2021-04-22,19860.0,16486.0,8655.0
2021-04-23,19536.0,17368.0,8657.0
2021-04-24,20744.0,0.0,0.0
2021-04-25,19771.0,0.0,0.0
2021-04-26,18121.0,18234.0,8661.0
2021-04-27,18858.0,19091.0,8661.0
2021-04-28,17267.0,0.0,0.0
2021-04-29,16118.0,20269.0,8701.0
2021-04-30,13760.0,0.0,0.0
2021-05-01,13908.0,0.0,0.0
2021-05-02,14055.0,20963.0,8978.0
2021-05-03,14968.0,0.0,0.0
2021-05-04,13525.0,21172.0,9792.0
2021-05-05,14851.0,21192.0,10694.0
2021-05-06,16736.0,0.0,0.0
2021-05-07,19860.0,21389.0,12622.0
2021-05-08,20626.0,0.0,0.0
2021-05-09,21362.0,0.0,0.0
2021-05-10,21333.0,0.0,0.0
2021-05-11,21304.0,0.0,0.0
2021-05-12,19536.0,0.0,0.0
2021-05-13,17178.0,0.0,0.0
2021-05-14,14851.0,0.0,0.0
2021-05-15,14851.0,0.0,0.0
2021-05-16,14851.0,0.0,0.0
2021-05-17,14851.0,0.0,0.0
2021-05-18,14851.0,0.0,0.0
2021-05-19,14851.0,0.0,0.0
2021-05-20,14851.0,0.0,0.0
2021-05-21,14851.0,0.0,0.0
2021-05-22,14851.0,0.0,0.0
2021-05-23,14851.0,21390.0,20677.0
2021-05-24,13230.0,21507.0,20680.0
2021-05-25,12199.0,21511.0,20936.0
2021-05-26,10077.0,21512.0,20936.0
2021-05-27,8074.0,21537.0,20939.0
2021-05-28,6040.0,0.0,0.0
2021-05-29,3978.0,0.0,0.0
2021-05-30,1945.0,21571.0,20958.0
