Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-15,0.0,0.0,0.0
2021-03-16,2583.0,0.0,0.0
2021-03-17,2583.0,0.0,0.0
2021-03-18,2583.0,0.0,0.0
2021-03-19,2583.0,0.0,0.0
2021-03-20,2583.0,0.0,0.0
2021-03-21,2583.0,0.0,0.0
2021-03-22,2583.0,3965.0,0.0
2021-03-23,2751.0,0.0,0.0
2021-03-24,2920.0,0.0,0.0
2021-03-25,3084.0,0.0,0.0
2021-03-26,3253.0,0.0,0.0
2021-03-27,3418.0,0.0,0.0
2021-03-28,3586.0,0.0,0.0
2021-03-29,3755.0,9724.0,0.0
2021-03-30,3253.0,0.0,0.0
2021-03-31,2751.0,0.0,0.0
2021-04-01,2249.0,0.0,0.0
2021-04-02,1748.0,0.0,0.0
2021-04-03,1246.0,0.0,0.0
2021-04-04,744.0,0.0,0.0
2021-04-05,242.0,0.0,0.0
2021-04-06,242.0,0.0,0.0
2021-04-07,242.0,0.0,0.0
2021-04-08,242.0,0.0,0.0
2021-04-09,242.0,0.0,0.0
2021-04-10,242.0,0.0,0.0
2021-04-11,242.0,0.0,0.0
2021-04-12,242.0,0.0,0.0
2021-04-13,242.0,0.0,0.0
2021-04-14,242.0,0.0,0.0
2021-04-15,242.0,0.0,0.0
2021-04-16,242.0,0.0,0.0
2021-04-17,242.0,0.0,0.0
2021-04-18,242.0,0.0,0.0
2021-04-19,242.0,0.0,0.0
2021-04-20,242.0,0.0,0.0
2021-04-21,242.0,0.0,0.0
2021-04-22,242.0,0.0,0.0
2021-04-23,242.0,0.0,0.0
2021-04-24,242.0,0.0,0.0
2021-04-25,242.0,0.0,0.0
2021-04-26,242.0,0.0,0.0
2021-04-27,242.0,0.0,0.0
2021-04-28,242.0,0.0,0.0
2021-04-29,242.0,0.0,0.0
2021-04-30,242.0,0.0,0.0
2021-05-01,242.0,0.0,0.0
2021-05-02,242.0,0.0,0.0
2021-05-03,242.0,0.0,0.0
2021-05-04,242.0,0.0,0.0
2021-05-05,242.0,0.0,0.0
2021-05-06,242.0,0.0,0.0
2021-05-07,242.0,0.0,0.0
2021-05-08,242.0,0.0,0.0
2021-05-09,242.0,0.0,0.0
2021-05-10,242.0,0.0,0.0
2021-05-11,242.0,0.0,0.0
2021-05-12,242.0,0.0,0.0
2021-05-13,242.0,0.0,0.0
2021-05-14,242.0,0.0,0.0
2021-05-15,242.0,0.0,0.0
2021-05-16,242.0,0.0,0.0
2021-05-17,242.0,0.0,0.0
2021-05-18,242.0,12374.0,0.0
2021-05-19,383.0,0.0,0.0
2021-05-20,520.0,0.0,0.0
2021-05-21,662.0,0.0,0.0
2021-05-22,798.0,0.0,0.0
2021-05-23,940.0,0.0,0.0
2021-05-24,1077.0,0.0,0.0
2021-05-25,1218.0,0.0,0.0
2021-05-26,1218.0,12374.0,2135.0
2021-05-27,1615.0,0.0,0.0
2021-05-28,2012.0,0.0,0.0
2021-05-29,2409.0,0.0,0.0
2021-05-30,2806.0,0.0,0.0
2021-05-31,3203.0,12374.0,6514.0
