Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-01-06,0.0,0.0,0.0
2021-01-07,388.0,0.0,0.0
2021-01-08,388.0,0.0,0.0
2021-01-09,388.0,0.0,0.0
2021-01-10,411.0,0.0,0.0
2021-01-11,425.0,0.0,0.0
2021-01-12,434.0,0.0,0.0
2021-01-13,441.0,0.0,0.0
2021-01-14,454.0,0.0,0.0
2021-01-15,468.0,0.0,0.0
2021-01-16,481.0,0.0,0.0
2021-01-17,469.0,0.0,0.0
2021-01-18,456.0,0.0,0.0
2021-01-19,444.0,0.0,0.0
2021-01-20,431.0,0.0,0.0
2021-01-21,419.0,0.0,0.0
2021-01-22,407.0,0.0,0.0
2021-01-23,394.0,0.0,0.0
2021-01-24,367.0,0.0,0.0
2021-01-25,339.0,0.0,0.0
2021-01-26,311.0,0.0,0.0
2021-01-27,284.0,0.0,0.0
2021-01-28,256.0,0.0,0.0
2021-01-29,229.0,0.0,0.0
2021-01-30,201.0,0.0,0.0
2021-01-31,174.0,0.0,0.0
2021-02-01,146.0,0.0,0.0
2021-02-02,119.0,0.0,0.0
2021-02-03,92.0,0.0,0.0
2021-02-04,65.0,0.0,0.0
2021-02-05,37.0,0.0,0.0
2021-02-06,10.0,0.0,0.0
2021-02-07,10.0,0.0,0.0
2021-02-08,10.0,0.0,0.0
2021-02-09,10.0,0.0,0.0
2021-02-10,10.0,0.0,0.0
2021-02-11,12.0,0.0,0.0
2021-02-12,14.0,0.0,0.0
2021-02-13,16.0,0.0,0.0
2021-02-14,47.0,0.0,0.0
2021-02-15,78.0,0.0,0.0
2021-02-16,157.0,0.0,0.0
2021-02-17,235.0,0.0,0.0
2021-02-18,313.0,0.0,0.0
2021-02-19,391.0,0.0,0.0
2021-02-20,469.0,0.0,0.0
2021-02-21,517.0,0.0,0.0
2021-02-22,566.0,0.0,0.0
2021-02-23,566.0,0.0,0.0
2021-02-24,566.0,0.0,0.0
2021-02-25,677.0,0.0,0.0
2021-02-26,789.0,0.0,0.0
2021-02-27,901.0,0.0,0.0
2021-02-28,1034.0,0.0,0.0
2021-03-01,1168.0,0.0,0.0
2021-03-02,1572.0,0.0,0.0
2021-03-03,1861.0,0.0,0.0
2021-03-04,2037.0,0.0,0.0
2021-03-05,2180.0,0.0,0.0
2021-03-06,2126.0,0.0,0.0
2021-03-07,2051.0,0.0,0.0
2021-03-08,2460.0,0.0,0.0
2021-03-09,2390.0,0.0,0.0
2021-03-10,2432.0,0.0,0.0
2021-03-11,2630.0,0.0,0.0
2021-03-12,2766.0,0.0,0.0
2021-03-13,3217.0,0.0,0.0
2021-03-14,3691.0,0.0,0.0
2021-03-15,3731.0,0.0,0.0
2021-03-16,3577.0,0.0,0.0
2021-03-17,3673.0,0.0,0.0
2021-03-18,3579.0,0.0,0.0
2021-03-19,4036.0,0.0,0.0
2021-03-20,3790.0,0.0,0.0
2021-03-21,3950.0,0.0,0.0
2021-03-22,3895.0,0.0,0.0
2021-03-23,4302.0,0.0,0.0
2021-03-24,4410.0,0.0,0.0
2021-03-25,4574.0,0.0,0.0
2021-03-26,3994.0,0.0,0.0
2021-03-27,4091.0,0.0,0.0
2021-03-28,3849.0,0.0,0.0
2021-03-29,3721.0,0.0,0.0
2021-03-30,3368.0,0.0,0.0
2021-03-31,3188.0,0.0,0.0
2021-04-01,3173.0,0.0,0.0
2021-04-02,3420.0,0.0,0.0
2021-04-03,3586.0,0.0,0.0
2021-04-04,3560.0,0.0,0.0
2021-04-05,3562.0,0.0,0.0
2021-04-06,4182.0,0.0,0.0
2021-04-07,4701.0,0.0,0.0
2021-04-08,5182.0,0.0,0.0
2021-04-09,5169.0,0.0,0.0
2021-04-10,5149.0,0.0,0.0
2021-04-11,5282.0,0.0,0.0
2021-04-12,5306.0,0.0,0.0
2021-04-13,4851.0,0.0,0.0
2021-04-14,4127.0,0.0,0.0
2021-04-15,3596.0,0.0,0.0
2021-04-16,3457.0,0.0,0.0
2021-04-17,3529.0,0.0,0.0
2021-04-18,3705.0,0.0,0.0
2021-04-19,3750.0,0.0,0.0
2021-04-20,3822.0,0.0,0.0
2021-04-21,4389.0,0.0,0.0
2021-04-22,4458.0,0.0,0.0
2021-04-23,4569.0,0.0,0.0
2021-04-24,4380.0,0.0,0.0
2021-04-25,4405.0,0.0,0.0
2021-04-26,4776.0,0.0,0.0
2021-04-27,5064.0,0.0,0.0
2021-04-28,5033.0,0.0,0.0
2021-04-29,5020.0,0.0,0.0
2021-04-30,5741.0,0.0,0.0
2021-05-01,5864.0,0.0,0.0
2021-05-02,5711.0,0.0,0.0
2021-05-03,5267.0,0.0,0.0
2021-05-04,4698.0,0.0,0.0
2021-05-05,4390.0,0.0,0.0
2021-05-06,4423.0,0.0,0.0
