Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-01-09,0.0,0.0,0.0
2021-01-10,5084.0,0.0,0.0
2021-01-11,5084.0,0.0,0.0
2021-01-12,5084.0,0.0,0.0
2021-01-13,5084.0,2000.0,0.0
2021-01-14,6101.0,0.0,0.0
2021-01-15,6783.0,4000.0,0.0
2021-01-16,10169.0,7000.0,0.0
2021-01-17,11369.0,0.0,0.0
2021-01-18,12569.0,0.0,0.0
2021-01-19,13769.0,10976.0,0.0
2021-01-20,16219.0,13163.0,0.0
2021-01-21,17470.0,0.0,0.0
2021-01-22,18721.0,16890.0,0.0
2021-01-23,16494.0,18353.0,0.0
2021-01-24,15680.0,0.0,0.0
2021-01-25,14877.0,19889.0,0.0
2021-01-26,17053.0,22712.0,0.0
2021-01-27,18050.0,25587.0,0.0
2021-01-28,19982.0,28779.0,0.0
2021-01-29,20297.0,30861.0,0.0
2021-01-30,20216.0,0.0,0.0
2021-01-31,21141.0,0.0,0.0
2021-02-01,22066.0,35079.0,0.0
2021-02-02,19717.0,36284.0,0.0
2021-02-03,16718.0,37087.0,5.0
2021-02-04,13087.0,0.0,0.0
2021-02-05,11074.0,0.0,0.0
2021-02-06,10037.0,37589.0,1586.0
2021-02-07,9823.0,0.0,0.0
2021-02-08,9610.0,37714.0,3980.0
2021-02-09,11826.0,37723.0,6700.0
2021-02-10,15935.0,37726.0,10335.0
2021-02-11,20388.0,37952.0,13867.0
2021-02-12,22402.0,0.0,0.0
2021-02-13,24415.0,41799.0,14181.0
2021-02-14,24232.0,0.0,0.0
2021-02-15,24049.0,41808.0,16441.0
2021-02-16,22615.0,41815.0,18176.0
2021-02-17,19311.0,41839.0,19512.0
2021-02-18,16656.0,42621.0,20665.0
2021-02-19,16209.0,43461.0,21599.0
2021-02-20,13565.0,0.0,0.0
2021-02-21,12294.0,43977.0,21599.0
2021-02-22,14267.0,0.0,0.0
2021-02-23,15365.0,47188.0,23380.0
2021-02-24,16677.0,0.0,0.0
2021-02-25,17155.0,51577.0,23519.0
2021-02-26,17734.0,0.0,0.0
2021-02-27,20510.0,55889.0,23549.0
2021-02-28,20643.0,0.0,0.0
2021-03-01,17521.0,55901.0,24230.0
2021-03-02,14419.0,0.0,0.0
2021-03-03,11664.0,56261.0,24602.0
2021-03-04,9620.0,57095.0,24620.0
2021-03-05,7464.0,0.0,0.0
2021-03-06,5308.0,0.0,0.0
2021-03-07,5806.0,0.0,0.0
2021-03-08,6305.0,57901.0,26567.0
2021-03-09,7850.0,0.0,0.0
2021-03-10,9396.0,60439.0,26894.0
2021-03-11,9284.0,61070.0,27036.0
2021-03-12,8796.0,0.0,0.0
2021-03-13,8308.0,0.0,0.0
2021-03-14,7810.0,0.0,0.0
2021-03-15,7322.0,62067.0,27442.0
2021-03-16,5552.0,0.0,0.0
2021-03-17,3783.0,0.0,0.0
2021-03-18,2969.0,62457.0,27693.0
2021-03-19,3712.0,0.0,0.0
2021-03-20,4464.0,0.0,0.0
2021-03-21,5206.0,0.0,0.0
2021-03-22,5959.0,0.0,0.0
2021-03-23,6894.0,63100.0,31372.0
2021-03-24,9569.0,63132.0,33391.0
2021-03-25,10230.0,0.0,0.0
2021-03-26,9955.0,0.0,0.0
2021-03-27,9671.0,0.0,0.0
2021-03-28,9396.0,0.0,0.0
2021-03-29,9111.0,0.0,0.0
2021-03-30,8837.0,63686.0,36866.0
2021-03-31,6966.0,0.0,0.0
2021-04-01,7098.0,64123.0,37957.0
2021-04-02,6671.0,0.0,0.0
2021-04-03,6244.0,0.0,0.0
2021-04-04,5817.0,0.0,0.0
2021-04-05,5389.0,0.0,0.0
2021-04-06,4962.0,64508.0,39460.0
2021-04-07,5593.0,0.0,0.0
2021-04-08,6213.0,0.0,0.0
2021-04-09,7403.0,0.0,0.0
2021-04-10,8593.0,65490.0,43259.0
2021-04-11,9711.0,0.0,0.0
2021-04-12,10830.0,0.0,0.0
2021-04-13,11948.0,66250.0,45944.0
2021-04-14,11369.0,0.0,0.0
2021-04-15,10779.0,0.0,0.0
2021-04-16,10199.0,0.0,0.0
2021-04-17,9620.0,0.0,0.0
2021-04-18,9101.0,0.0,0.0
2021-04-19,8582.0,66433.0,50524.0
2021-04-20,8450.0,0.0,0.0
2021-04-21,8827.0,0.0,0.0
2021-04-22,9193.0,0.0,0.0
2021-04-23,9569.0,66497.0,54668.0
2021-04-24,9711.0,0.0,0.0
2021-04-25,9843.0,0.0,0.0
2021-04-26,9986.0,66583.0,57248.0
2021-04-27,9701.0,0.0,0.0
2021-04-28,9406.0,67043.0,58496.0
2021-04-29,9772.0,67680.0,59160.0
2021-04-30,8562.0,0.0,0.0
2021-05-01,7596.0,0.0,0.0
2021-05-02,6620.0,0.0,0.0
2021-05-03,5654.0,68045.0,59676.0
2021-05-04,5278.0,0.0,0.0
