Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-23,0.0,0.0,0.0
2021-03-24,182.0,0.0,0.0
2021-03-25,182.0,0.0,0.0
2021-03-26,182.0,0.0,0.0
2021-03-27,182.0,0.0,0.0
2021-03-28,182.0,0.0,0.0
2021-03-29,182.0,0.0,0.0
2021-03-30,182.0,0.0,0.0
2021-03-31,182.0,0.0,0.0
2021-04-01,182.0,0.0,0.0
2021-04-02,182.0,0.0,0.0
2021-04-03,182.0,0.0,0.0
2021-04-04,182.0,0.0,0.0
2021-04-05,182.0,0.0,0.0
2021-04-06,182.0,0.0,0.0
2021-04-07,182.0,0.0,0.0
2021-04-08,182.0,0.0,0.0
2021-04-09,182.0,0.0,0.0
2021-04-10,182.0,0.0,0.0
2021-04-11,182.0,0.0,0.0
2021-04-12,182.0,0.0,0.0
2021-04-13,182.0,2622.0,0.0
2021-04-14,182.0,0.0,0.0
2021-04-15,181.0,0.0,0.0
2021-04-16,181.0,0.0,0.0
2021-04-17,179.0,0.0,0.0
2021-04-18,179.0,0.0,0.0
2021-04-19,179.0,0.0,0.0
2021-04-20,178.0,3479.0,0.0
2021-04-21,258.0,0.0,0.0
2021-04-22,336.0,0.0,0.0
2021-04-23,416.0,0.0,0.0
2021-04-24,495.0,0.0,0.0
2021-04-25,574.0,0.0,0.0
2021-04-26,654.0,0.0,0.0
2021-04-27,732.0,3522.0,3479.0
2021-04-28,651.0,0.0,0.0
2021-04-29,569.0,0.0,0.0
2021-04-30,486.0,0.0,0.0
2021-05-01,405.0,0.0,0.0
2021-05-02,323.0,0.0,0.0
2021-05-03,242.0,0.0,0.0
2021-05-04,160.0,4289.0,3479.0
2021-05-05,287.0,0.0,0.0
2021-05-06,413.0,0.0,0.0
2021-05-07,542.0,0.0,0.0
2021-05-08,668.0,0.0,0.0
2021-05-09,796.0,0.0,0.0
2021-05-10,923.0,0.0,0.0
2021-05-11,1051.0,9340.0,3479.0
2021-05-12,943.0,0.0,0.0
2021-05-13,837.0,0.0,0.0
2021-05-14,731.0,0.0,0.0
2021-05-15,623.0,0.0,0.0
2021-05-16,517.0,0.0,0.0
2021-05-17,411.0,0.0,0.0
2021-05-18,304.0,10800.0,3479.0
2021-05-19,329.0,0.0,0.0
2021-05-20,354.0,0.0,0.0
2021-05-21,379.0,0.0,0.0
2021-05-22,403.0,0.0,0.0
2021-05-23,428.0,0.0,0.0
2021-05-24,454.0,0.0,0.0
2021-05-25,479.0,13102.0,3479.0
