Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-04-17,0.0,117567.0,0.0
2021-04-18,25.0,0.0,0.0
2021-04-19,25.0,0.0,0.0
2021-04-20,25.0,0.0,0.0
2021-04-21,25.0,0.0,0.0
2021-04-22,25.0,0.0,0.0
2021-04-23,25.0,0.0,0.0
2021-04-24,25.0,0.0,0.0
2021-04-25,25.0,0.0,0.0
2021-04-26,25.0,0.0,0.0
2021-04-27,25.0,0.0,0.0
2021-04-28,25.0,0.0,0.0
2021-04-29,25.0,0.0,0.0
2021-04-30,25.0,0.0,0.0
2021-05-01,25.0,0.0,0.0
2021-05-02,25.0,123570.0,0.0
2021-05-03,22.0,0.0,0.0
2021-05-04,19.0,0.0,0.0
2021-05-05,16.0,0.0,0.0
2021-05-06,13.0,0.0,0.0
2021-05-07,10.0,0.0,0.0
2021-05-08,7.0,0.0,0.0
2021-05-09,4.0,0.0,0.0
2021-05-10,4.0,0.0,0.0
2021-05-11,4.0,0.0,0.0
2021-05-12,4.0,0.0,0.0
2021-05-13,4.0,0.0,0.0
2021-05-14,4.0,0.0,0.0
2021-05-15,4.0,0.0,0.0
2021-05-16,4.0,124471.0,0.0
2021-05-17,4.0,0.0,0.0
2021-05-18,5.0,0.0,0.0
2021-05-19,5.0,0.0,0.0
2021-05-20,5.0,0.0,0.0
2021-05-21,5.0,0.0,0.0
2021-05-22,6.0,0.0,0.0
2021-05-23,6.0,0.0,0.0
2021-05-24,6.0,125205.0,0.0
2021-05-25,8.0,125582.0,0.0
2021-05-26,25.0,0.0,0.0
2021-05-27,42.0,128519.0,942.0
2021-05-28,51.0,0.0,0.0
2021-05-29,61.0,0.0,0.0
2021-05-30,71.0,0.0,0.0
2021-05-31,80.0,129419.0,4714.0
