Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-04-05,0.0,0.0,0.0
2021-04-06,8.0,0.0,0.0
2021-04-07,8.0,0.0,0.0
2021-04-08,8.0,0.0,0.0
2021-04-09,8.0,0.0,0.0
2021-04-10,8.0,0.0,0.0
2021-04-11,8.0,0.0,0.0
2021-04-12,8.0,0.0,0.0
2021-04-13,8.0,0.0,0.0
2021-04-14,8.0,0.0,0.0
2021-04-15,8.0,947.0,0.0
2021-04-16,9.0,0.0,0.0
2021-04-17,10.0,0.0,0.0
2021-04-18,11.0,0.0,0.0
2021-04-19,12.0,0.0,0.0
2021-04-20,13.0,0.0,0.0
2021-04-21,14.0,0.0,0.0
2021-04-22,15.0,0.0,0.0
2021-04-23,15.0,0.0,0.0
2021-04-24,15.0,0.0,0.0
2021-04-25,15.0,0.0,0.0
2021-04-26,15.0,0.0,0.0
2021-04-27,15.0,0.0,0.0
2021-04-28,15.0,0.0,0.0
2021-04-29,15.0,0.0,0.0
2021-04-30,15.0,0.0,0.0
2021-05-01,15.0,0.0,0.0
2021-05-02,15.0,0.0,0.0
2021-05-03,15.0,0.0,0.0
2021-05-04,15.0,0.0,0.0
2021-05-05,15.0,0.0,0.0
2021-05-06,15.0,0.0,0.0
2021-05-07,15.0,0.0,0.0
2021-05-08,15.0,0.0,0.0
2021-05-09,15.0,0.0,0.0
2021-05-10,15.0,0.0,0.0
2021-05-11,15.0,0.0,0.0
2021-05-12,15.0,5459.0,0.0
2021-05-13,15.0,0.0,0.0
2021-05-14,15.0,0.0,0.0
2021-05-15,15.0,0.0,0.0
2021-05-16,14.0,0.0,0.0
2021-05-17,14.0,0.0,0.0
2021-05-18,14.0,6403.0,0.0
2021-05-19,17.0,0.0,0.0
2021-05-20,19.0,0.0,0.0
2021-05-21,22.0,7500.0,0.0
2021-05-22,22.0,0.0,0.0
2021-05-23,22.0,0.0,0.0
2021-05-24,22.0,7976.0,0.0
2021-05-25,24.0,0.0,0.0
2021-05-26,23.0,8606.0,0.0
2021-05-27,22.0,0.0,0.0
2021-05-28,20.0,0.0,0.0
2021-05-29,21.0,0.0,0.0
2021-05-30,22.0,0.0,0.0
2021-05-31,23.0,9744.0,0.0
