Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-01-28,0.0,0.0,0.0
2021-01-29,247.0,5286.0,0.0
2021-01-30,883.0,37825.0,0.0
2021-01-31,921.0,59154.0,0.0
2021-02-01,1116.0,95550.0,0.0
2021-02-02,1109.0,118767.0,0.0
2021-02-03,1089.0,139914.0,0.0
2021-02-04,976.0,146327.0,0.0
2021-02-05,1008.0,156310.0,0.0
2021-02-06,816.0,160148.0,0.0
2021-02-07,685.0,161773.0,0.0
2021-02-08,482.0,167762.0,0.0
2021-02-09,370.0,174193.0,0.0
2021-02-10,246.0,176725.0,0.0
2021-02-11,212.0,178087.0,0.0
2021-02-12,153.0,179197.0,0.0
2021-02-13,177.0,186654.0,0.0
2021-02-14,184.0,189349.0,0.0
2021-02-15,168.0,192938.0,0.0
2021-02-16,147.0,196163.0,0.0
2021-02-17,225.0,210405.0,0.0
2021-02-18,369.0,233472.0,0.0
2021-02-19,564.0,263779.0,0.0
2021-02-20,775.0,302857.0,0.0
2021-02-21,997.0,338769.0,0.0
2021-02-22,1077.0,354352.0,0.0
2021-02-23,1139.0,366907.0,0.0
2021-02-24,1221.0,393469.0,0.0
2021-02-25,1111.0,0.0,0.0
2021-02-26,953.0,406633.0,0.0
2021-02-27,928.0,441976.0,0.0
2021-02-28,851.0,466350.0,0.0
2021-03-01,1034.0,509275.0,0.0
2021-03-02,1247.0,553821.0,0.0
2021-03-03,1378.0,599991.0,0.0
2021-03-04,1674.0,650991.0,0.0
2021-03-05,1954.0,699521.0,0.0
2021-03-06,1883.0,724278.0,0.0
2021-03-07,1756.0,729562.0,0.0
2021-03-08,1520.0,737062.0,0.0
2021-03-09,1267.0,743775.0,0.0
2021-03-10,1015.0,752098.0,0.0
2021-03-11,724.0,759548.0,0.0
2021-03-12,409.0,760765.0,0.0
2021-03-13,308.0,770408.0,0.0
2021-03-14,290.0,773011.0,0.0
2021-03-15,316.0,784500.0,0.0
2021-03-16,354.0,796792.0,0.0
2021-03-17,363.0,806449.0,0.0
2021-03-18,374.0,815585.0,0.0
2021-03-19,425.0,824523.0,0.0
2021-03-20,392.0,829220.0,0.0
2021-03-21,379.0,829865.0,0.0
2021-03-22,359.0,838355.0,0.0
2021-03-23,338.0,0.0,0.0
2021-03-24,335.0,0.0,0.0
2021-03-25,335.0,0.0,0.0
2021-03-26,337.0,0.0,0.0
2021-03-27,367.0,884164.0,0.0
2021-03-28,428.0,894053.0,0.0
2021-03-29,374.0,894365.0,0.0
2021-03-30,373.0,903467.0,0.0
2021-03-31,377.0,913219.0,0.0
2021-04-01,360.0,919753.0,0.0
2021-04-02,327.0,923954.0,0.0
2021-04-03,267.0,0.0,0.0
2021-04-04,203.0,924479.0,0.0
2021-04-05,201.0,0.0,0.0
2021-04-06,141.0,924536.0,0.0
2021-04-07,76.0,924687.0,0.0
2021-04-08,34.0,0.0,0.0
2021-04-09,8.0,925082.0,0.0
2021-04-10,6.0,0.0,0.0
2021-04-11,5.0,925242.0,0.0
2021-04-12,8.0,0.0,0.0
2021-04-13,11.0,0.0,0.0
2021-04-14,13.0,0.0,0.0
2021-04-15,15.0,0.0,0.0
2021-04-16,17.0,0.0,0.0
2021-04-17,19.0,0.0,0.0
2021-04-18,22.0,0.0,0.0
2021-04-19,22.0,0.0,0.0
2021-04-20,22.0,0.0,0.0
2021-04-21,22.0,0.0,0.0
2021-04-22,22.0,0.0,0.0
2021-04-23,22.0,0.0,0.0
2021-04-24,22.0,0.0,0.0
2021-04-25,22.0,0.0,0.0
2021-04-26,22.0,0.0,0.0
2021-04-27,22.0,0.0,0.0
2021-04-28,22.0,0.0,0.0
2021-04-29,22.0,927711.0,5880.0
2021-04-30,151.0,928107.0,25354.0
2021-05-01,400.0,928107.0,63192.0
2021-05-02,563.0,928107.0,88088.0
2021-05-03,619.0,928107.0,96871.0
2021-05-04,770.0,928107.0,120006.0
2021-05-05,912.0,928107.0,141721.0
2021-05-06,1031.0,928107.0,159986.0
2021-05-07,1013.0,928107.0,177235.0
2021-05-08,829.0,0.0,0.0
2021-05-09,731.0,928400.0,197340.0
2021-05-10,702.0,931276.0,198981.0
2021-05-11,765.0,948817.0,213953.0
2021-05-12,1004.0,996445.0,223803.0
2021-05-13,1479.0,1075848.0,233992.0
2021-05-14,1860.0,1140122.0,243957.0
2021-05-15,2318.0,0.0,0.0
2021-05-16,2775.0,1273861.0,267900.0
2021-05-17,2934.0,1300558.0,269512.0
2021-05-18,3217.0,1350065.0,294892.0
2021-05-19,3089.0,1383082.0,300121.0
2021-05-20,2652.0,1399927.0,307396.0
2021-05-21,2286.0,1410615.0,316134.0
2021-05-22,1911.0,1426735.0,322631.0
2021-05-23,1492.0,1437147.0,328231.0
2021-05-24,1353.0,1439501.0,333423.0
2021-05-25,917.0,1441501.0,340928.0
2021-05-26,688.0,1443066.0,343277.0
2021-05-27,556.0,1446712.0,343976.0
2021-05-28,709.0,1488651.0,344397.0
2021-05-29,678.0,1505273.0,345728.0
2021-05-30,718.0,1526750.0,346240.0
2021-05-31,1226.0,1608518.0,348224.0
