Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-10,0.0,0.0,0.0
2021-03-11,38.0,0.0,0.0
2021-03-12,38.0,0.0,0.0
2021-03-13,38.0,0.0,0.0
2021-03-14,38.0,0.0,0.0
2021-03-15,38.0,0.0,0.0
2021-03-16,38.0,0.0,0.0
2021-03-17,38.0,0.0,0.0
2021-03-18,38.0,0.0,0.0
2021-03-19,38.0,0.0,0.0
2021-03-20,38.0,0.0,0.0
2021-03-21,38.0,0.0,0.0
2021-03-22,38.0,0.0,0.0
2021-03-23,38.0,0.0,0.0
2021-03-24,38.0,0.0,0.0
2021-03-25,38.0,0.0,0.0
2021-03-26,38.0,0.0,0.0
2021-03-27,38.0,0.0,0.0
2021-03-28,38.0,0.0,0.0
2021-03-29,38.0,0.0,0.0
2021-03-30,38.0,0.0,0.0
2021-03-31,38.0,0.0,0.0
2021-04-01,38.0,0.0,0.0
2021-04-02,38.0,0.0,0.0
2021-04-03,38.0,0.0,0.0
2021-04-04,38.0,0.0,0.0
2021-04-05,38.0,43122.0,0.0
2021-04-06,100.0,63837.0,0.0
2021-04-07,124.0,0.0,0.0
2021-04-08,148.0,0.0,0.0
2021-04-09,172.0,0.0,0.0
2021-04-10,196.0,100010.0,0.0
2021-04-11,201.0,0.0,0.0
2021-04-12,205.0,0.0,0.0
2021-04-13,148.0,0.0,0.0
2021-04-14,129.0,0.0,0.0
2021-04-15,109.0,0.0,0.0
2021-04-16,90.0,0.0,0.0
2021-04-17,71.0,0.0,0.0
2021-04-18,71.0,0.0,0.0
2021-04-19,71.0,0.0,0.0
2021-04-20,71.0,0.0,0.0
2021-04-21,71.0,0.0,0.0
2021-04-22,71.0,0.0,0.0
2021-04-23,71.0,140227.0,0.0
2021-04-24,80.0,0.0,0.0
2021-04-25,89.0,0.0,0.0
2021-04-26,98.0,0.0,0.0
2021-04-27,107.0,0.0,0.0
2021-04-28,116.0,0.0,0.0
2021-04-29,125.0,0.0,0.0
2021-04-30,134.0,0.0,0.0
2021-05-01,134.0,0.0,0.0
2021-05-02,134.0,0.0,0.0
2021-05-03,134.0,0.0,0.0
2021-05-04,134.0,0.0,0.0
2021-05-05,134.0,0.0,0.0
2021-05-06,134.0,0.0,0.0
2021-05-07,134.0,0.0,0.0
2021-05-08,134.0,0.0,0.0
2021-05-09,134.0,0.0,0.0
2021-05-10,134.0,0.0,0.0
2021-05-11,134.0,0.0,0.0
2021-05-12,134.0,0.0,0.0
2021-05-13,134.0,0.0,0.0
2021-05-14,134.0,0.0,0.0
2021-05-15,134.0,0.0,0.0
2021-05-16,134.0,0.0,0.0
2021-05-17,134.0,0.0,0.0
2021-05-18,134.0,0.0,0.0
2021-05-19,134.0,0.0,0.0
2021-05-20,134.0,0.0,0.0
2021-05-21,134.0,0.0,0.0
2021-05-22,134.0,0.0,0.0
2021-05-23,134.0,0.0,0.0
2021-05-24,134.0,0.0,0.0
2021-05-25,134.0,0.0,0.0
2021-05-26,134.0,0.0,0.0
2021-05-27,134.0,0.0,0.0
2021-05-28,134.0,0.0,0.0
2021-05-29,134.0,0.0,0.0
2021-05-30,134.0,320305.0,37931.0
