Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-01-24,0.0,0.0,0.0
2021-01-25,1903.0,0.0,0.0
2021-01-26,2266.0,0.0,0.0
2021-01-27,2536.0,0.0,0.0
2021-01-28,2616.0,0.0,0.0
2021-01-29,2625.0,0.0,0.0
2021-01-30,2302.0,0.0,0.0
2021-01-31,2011.0,0.0,0.0
2021-02-01,1995.0,0.0,0.0
2021-02-02,1929.0,0.0,0.0
2021-02-03,1831.0,0.0,0.0
2021-02-04,1744.0,0.0,0.0
2021-02-05,1669.0,0.0,0.0
2021-02-06,1624.0,0.0,0.0
2021-02-07,1617.0,0.0,0.0
2021-02-08,1660.0,0.0,0.0
2021-02-09,1754.0,0.0,0.0
2021-02-10,1876.0,0.0,0.0
2021-02-11,1990.0,0.0,0.0
2021-02-12,2100.0,0.0,0.0
2021-02-13,2161.0,0.0,0.0
2021-02-14,2200.0,444964.0,103864.0
2021-02-15,2200.0,454595.0,112368.0
2021-02-16,2183.0,466458.0,123909.0
2021-02-17,2176.0,477985.0,140091.0
2021-02-18,2181.0,489127.0,155600.0
2021-02-19,2141.0,498197.0,169267.0
2021-02-20,2142.0,500772.0,173620.0
2021-02-21,2135.0,502287.0,175885.0
2021-02-22,2149.0,508978.0,188159.0
2021-02-23,2172.0,518042.0,203921.0
2021-02-24,2233.0,529221.0,224142.0
2021-02-25,2236.0,538222.0,241970.0
2021-02-26,2244.0,546058.0,257339.0
2021-02-27,2232.0,548175.0,261435.0
2021-02-28,2223.0,549601.0,263261.0
2021-03-01,2262.0,559830.0,274370.0
2021-03-02,2255.0,570492.0,288089.0
2021-03-03,2317.0,588972.0,304752.0
2021-03-04,2386.0,604864.0,319850.0
2021-03-05,2456.0,618498.0,333684.0
2021-03-06,2449.0,621631.0,336332.0
2021-03-07,2456.0,624103.0,337550.0
2021-03-08,2474.0,636400.0,347680.0
2021-03-09,2541.0,652361.0,360164.0
2021-03-10,2501.0,672528.0,372701.0
2021-03-11,2479.0,689823.0,385089.0
2021-03-12,2442.0,704335.0,395801.0
2021-03-13,2439.0,707904.0,397797.0
2021-03-14,2419.0,709410.0,398773.0
2021-03-15,2387.0,719881.0,408813.0
2021-03-16,2362.0,733769.0,421832.0
2021-03-17,2372.0,750700.0,438250.0
2021-03-18,2399.0,766778.0,453454.0
2021-03-19,2421.0,781052.0,465778.0
2021-03-20,2429.0,784293.0,468567.0
2021-03-21,2417.0,785369.0,469235.0
2021-03-22,2478.0,798749.0,480068.0
2021-03-23,2536.0,816562.0,492679.0
2021-03-24,2646.0,840349.0,508918.0
2021-03-25,2714.0,863476.0,521162.0
2021-03-26,2821.0,885153.0,532551.0
2021-03-27,2872.0,891915.0,534946.0
2021-03-28,2966.0,897852.0,536427.0
2021-03-29,3083.0,917286.0,548305.0
2021-03-30,3205.0,942676.0,560740.0
2021-03-31,3245.0,968315.0,577561.0
2021-04-01,3285.0,990057.0,593622.0
2021-04-02,2888.0,995443.0,597244.0
2021-04-03,2837.0,999234.0,599500.0
2021-04-04,2783.0,1001353.0,601511.0
2021-04-05,2361.0,1005019.0,603626.0
2021-04-06,2330.0,1022807.0,621746.0
2021-04-07,2408.0,1050016.0,641763.0
2021-04-08,2577.0,1079272.0,660501.0
2021-04-09,3164.0,1108125.0,676231.0
2021-04-10,3301.0,1118524.0,680211.0
2021-04-11,3359.0,1123303.0,683031.0
2021-04-12,3965.0,1153767.0,695064.0
2021-04-13,4209.0,1189569.0,709957.0
2021-04-14,4427.0,1232808.0,727191.0
2021-04-15,4514.0,1271485.0,741753.0
2021-04-16,4618.0,1308071.0,756023.0
2021-04-17,4671.0,1322399.0,759336.0
2021-04-18,4702.0,1330256.0,760932.0
2021-04-19,4826.0,1365975.0,775246.0
2021-04-20,4991.0,1408759.0,793151.0
2021-04-21,5228.0,1460679.0,816069.0
2021-04-22,5488.0,1508548.0,837190.0
2021-04-23,5672.0,1552227.0,855459.0
2021-04-24,5806.0,1572804.0,860697.0
2021-04-25,5923.0,1585760.0,864229.0
2021-04-26,5984.0,1622403.0,881349.0
2021-04-27,6119.0,1670058.0,902576.0
2021-04-28,6195.0,1727273.0,924791.0
2021-04-29,6159.0,1774668.0,944170.0
2021-04-30,6119.0,1824433.0,953946.0
2021-05-01,6174.0,1850520.0,957015.0
2021-05-02,6160.0,1864650.0,958527.0
2021-05-03,6212.0,1913625.0,966466.0
2021-05-04,6233.0,1965686.0,984557.0
2021-05-05,6329.0,2023523.0,1011951.0
2021-05-06,6595.0,2079011.0,1039384.0
2021-05-07,6922.0,2131274.0,1066439.0
2021-05-08,7089.0,2161444.0,1075557.0
2021-05-09,7213.0,2178772.0,1081367.0
2021-05-10,7531.0,2223859.0,1112457.0
2021-05-11,7845.0,2276469.0,1149030.0
2021-05-12,8157.0,2338045.0,1191583.0
2021-05-13,7542.0,2368965.0,1206314.0
2021-05-14,7497.0,2411839.0,1240035.0
2021-05-15,7546.0,2442313.0,1251840.0
2021-05-16,7552.0,2460587.0,1257079.0
2021-05-17,7605.0,2500945.0,1296100.0
2021-05-18,7678.0,2550457.0,1340184.0
2021-05-19,7830.0,2613186.0,1390792.0
2021-05-20,8739.0,2668580.0,1436129.0
2021-05-21,9045.0,2722738.0,1477091.0
2021-05-22,9089.0,2752246.0,1492570.0
2021-05-23,9181.0,2772205.0,1501664.0
2021-05-24,8670.0,2802891.0,1519381.0
2021-05-25,8644.0,2851018.0,1563300.0
2021-05-26,8543.0,2906974.0,1614566.0
