Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-01,0.0,0.0,0.0
2021-03-02,4.0,0.0,0.0
2021-03-03,4.0,0.0,0.0
2021-03-04,4.0,0.0,0.0
2021-03-05,4.0,0.0,0.0
2021-03-06,4.0,0.0,0.0
2021-03-07,4.0,0.0,0.0
2021-03-08,4.0,0.0,0.0
2021-03-09,4.0,0.0,0.0
2021-03-10,4.0,0.0,0.0
2021-03-11,4.0,0.0,0.0
2021-03-12,4.0,0.0,0.0
2021-03-13,4.0,0.0,0.0
2021-03-14,4.0,0.0,0.0
2021-03-15,4.0,0.0,0.0
2021-03-16,4.0,0.0,0.0
2021-03-17,4.0,0.0,0.0
2021-03-18,4.0,0.0,0.0
2021-03-19,4.0,0.0,0.0
2021-03-20,4.0,0.0,0.0
2021-03-21,4.0,0.0,0.0
2021-03-22,4.0,0.0,0.0
2021-03-23,4.0,0.0,0.0
2021-03-24,4.0,0.0,0.0
2021-03-25,4.0,0.0,0.0
2021-03-26,4.0,0.0,0.0
2021-03-27,4.0,0.0,0.0
2021-03-28,4.0,0.0,0.0
2021-03-29,4.0,0.0,0.0
2021-03-30,4.0,0.0,0.0
2021-03-31,4.0,0.0,0.0
2021-04-01,4.0,0.0,0.0
2021-04-02,4.0,0.0,0.0
2021-04-03,4.0,0.0,0.0
2021-04-04,4.0,0.0,0.0
2021-04-05,4.0,0.0,0.0
2021-04-06,4.0,0.0,0.0
2021-04-07,4.0,0.0,0.0
2021-04-08,4.0,2500.0,0.0
2021-04-09,7.0,0.0,0.0
2021-04-10,10.0,0.0,0.0
2021-04-11,13.0,0.0,0.0
2021-04-12,16.0,0.0,0.0
2021-04-13,20.0,0.0,0.0
2021-04-14,23.0,0.0,0.0
2021-04-15,26.0,0.0,0.0
2021-04-16,26.0,0.0,0.0
2021-04-17,26.0,0.0,0.0
2021-04-18,26.0,0.0,0.0
2021-04-19,26.0,0.0,0.0
2021-04-20,26.0,0.0,0.0
2021-04-21,26.0,0.0,0.0
2021-04-22,26.0,0.0,0.0
2021-04-23,26.0,0.0,0.0
2021-04-24,26.0,0.0,0.0
2021-04-25,26.0,0.0,0.0
2021-04-26,26.0,0.0,0.0
2021-04-27,26.0,0.0,0.0
2021-04-28,26.0,0.0,0.0
2021-04-29,26.0,0.0,0.0
2021-04-30,26.0,0.0,0.0
2021-05-01,26.0,0.0,0.0
2021-05-02,26.0,0.0,0.0
2021-05-03,26.0,0.0,0.0
2021-05-04,26.0,0.0,0.0
2021-05-05,26.0,0.0,0.0
2021-05-06,26.0,0.0,0.0
2021-05-07,26.0,0.0,0.0
2021-05-08,26.0,0.0,0.0
2021-05-09,26.0,0.0,0.0
2021-05-10,26.0,0.0,0.0
2021-05-11,26.0,0.0,0.0
2021-05-12,26.0,0.0,0.0
2021-05-13,26.0,0.0,0.0
2021-05-14,26.0,0.0,0.0
2021-05-15,26.0,0.0,0.0
2021-05-16,26.0,0.0,0.0
2021-05-17,26.0,0.0,0.0
2021-05-18,26.0,0.0,0.0
2021-05-19,26.0,0.0,0.0
2021-05-20,26.0,0.0,0.0
2021-05-21,26.0,0.0,0.0
2021-05-22,26.0,0.0,0.0
2021-05-23,26.0,0.0,0.0
2021-05-24,26.0,0.0,0.0
2021-05-25,26.0,0.0,0.0
2021-05-26,26.0,0.0,0.0
2021-05-27,26.0,24781.0,0.0
