Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-21,0.0,0.0,0.0
2021-03-22,66.0,1578.0,0.0
2021-03-23,68.0,3218.0,0.0
2021-03-24,72.0,5169.0,0.0
2021-03-25,74.0,7053.0,0.0
2021-03-26,78.0,9232.0,0.0
2021-03-27,66.0,9377.0,0.0
2021-03-28,56.0,9412.0,0.0
2021-03-29,56.0,10891.0,0.0
2021-03-30,57.0,12648.0,0.0
2021-03-31,55.0,14400.0,0.0
2021-04-01,56.0,16450.0,0.0
2021-04-02,47.0,17056.0,0.0
2021-04-03,46.0,17078.0,0.0
2021-04-04,46.0,17078.0,0.0
2021-04-05,38.0,17245.0,0.0
2021-04-06,36.0,18657.0,0.0
2021-04-07,34.0,20075.0,0.0
2021-04-08,33.0,21873.0,0.0
2021-04-09,44.0,24450.0,0.0
2021-04-10,45.0,24658.0,0.0
2021-04-11,46.0,24701.0,0.0
2021-04-12,52.0,25882.0,0.0
2021-04-13,51.0,27113.0,0.0
2021-04-14,51.0,28497.0,0.0
2021-04-15,49.0,30039.0,0.0
2021-04-16,48.0,32389.0,0.0
2021-04-17,47.0,0.0,0.0
2021-04-18,50.0,0.0,0.0
2021-04-19,46.0,0.0,0.0
2021-04-20,42.0,0.0,0.0
2021-04-21,49.0,0.0,0.0
2021-04-22,55.0,0.0,0.0
2021-04-23,61.0,0.0,0.0
2021-04-24,61.0,0.0,0.0
2021-04-25,66.0,0.0,0.0
2021-04-26,71.0,0.0,0.0
2021-04-27,84.0,0.0,0.0
2021-04-28,85.0,0.0,0.0
2021-04-29,90.0,0.0,0.0
2021-04-30,92.0,0.0,0.0
2021-05-01,92.0,0.0,0.0
2021-05-02,85.0,0.0,0.0
2021-05-03,102.0,0.0,0.0
2021-05-04,118.0,0.0,0.0
2021-05-05,139.0,0.0,0.0
2021-05-06,160.0,0.0,0.0
2021-05-07,199.0,0.0,0.0
2021-05-08,201.0,0.0,0.0
2021-05-09,203.0,0.0,0.0
2021-05-10,239.0,0.0,0.0
2021-05-11,268.0,0.0,0.0
2021-05-12,334.0,0.0,0.0
2021-05-13,427.0,0.0,0.0
2021-05-14,571.0,0.0,0.0
2021-05-15,593.0,0.0,0.0
2021-05-16,616.0,0.0,0.0
2021-05-17,708.0,0.0,0.0
2021-05-18,795.0,0.0,0.0
2021-05-19,809.0,0.0,0.0
2021-05-20,778.0,0.0,0.0
2021-05-21,682.0,0.0,0.0
2021-05-22,665.0,0.0,0.0
2021-05-23,648.0,0.0,0.0
2021-05-24,548.0,0.0,0.0
2021-05-25,448.0,0.0,0.0
2021-05-26,364.0,0.0,0.0
2021-05-27,312.0,0.0,0.0
2021-05-28,470.0,0.0,0.0
2021-05-29,582.0,0.0,0.0
2021-05-30,693.0,0.0,0.0
2021-05-31,900.0,0.0,0.0
