Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-27,0.0,0.0,0.0
2021-02-28,2.0,0.0,0.0
2021-03-01,2.0,319.0,0.0
2021-03-02,35.0,7262.0,0.0
2021-03-03,38.0,0.0,0.0
2021-03-04,40.0,0.0,0.0
2021-03-05,41.0,0.0,0.0
2021-03-06,42.0,0.0,0.0
2021-03-07,48.0,0.0,0.0
2021-03-08,55.0,0.0,0.0
2021-03-09,47.0,0.0,0.0
2021-03-10,47.0,33621.0,0.0
2021-03-11,54.0,0.0,0.0
2021-03-12,61.0,0.0,0.0
2021-03-13,68.0,53842.0,0.0
2021-03-14,71.0,0.0,0.0
2021-03-15,73.0,0.0,0.0
2021-03-16,75.0,0.0,0.0
2021-03-17,77.0,0.0,0.0
2021-03-18,72.0,0.0,0.0
2021-03-19,68.0,0.0,0.0
2021-03-20,63.0,0.0,0.0
2021-03-21,63.0,0.0,0.0
2021-03-22,63.0,0.0,0.0
2021-03-23,63.0,0.0,0.0
2021-03-24,63.0,96188.0,5862.0
2021-03-25,81.0,0.0,0.0
2021-03-26,98.0,0.0,0.0
2021-03-27,116.0,0.0,0.0
2021-03-28,134.0,0.0,0.0
2021-03-29,152.0,0.0,0.0
2021-03-30,169.0,151413.0,29064.0
2021-03-31,185.0,0.0,0.0
2021-04-01,183.0,167235.0,37407.0
2021-04-02,212.0,189666.0,42216.0
2021-04-03,211.0,201864.0,42390.0
2021-04-04,211.0,213948.0,43536.0
2021-04-05,261.0,247850.0,47031.0
2021-04-06,294.0,274354.0,49635.0
2021-04-07,408.0,336808.0,54944.0
2021-04-08,536.0,405911.0,60463.0
2021-04-09,625.0,470301.0,67079.0
2021-04-10,637.0,485957.0,69439.0
2021-04-11,640.0,498791.0,71261.0
2021-04-12,581.0,505215.0,73317.0
2021-04-13,523.0,505744.0,73561.0
2021-04-14,391.0,0.0,0.0
2021-04-15,245.0,510456.0,75576.0
2021-04-16,139.0,523830.0,81429.0
2021-04-17,109.0,526706.0,81815.0
2021-04-18,99.0,535925.0,82658.0
2021-04-19,179.0,571825.0,94385.0
2021-04-20,273.0,604947.0,107663.0
2021-04-21,578.0,746617.0,118223.0
2021-04-22,775.0,834082.0,130743.0
2021-04-23,1003.0,934449.0,160996.0
2021-04-24,1055.0,949124.0,175029.0
2021-04-25,1087.0,972204.0,177462.0
2021-04-26,1148.0,1012388.0,214644.0
2021-04-27,1161.0,1038960.0,240753.0
2021-04-28,982.0,1059721.0,284925.0
2021-04-29,914.0,1075756.0,335858.0
2021-04-30,781.0,1095230.0,381848.0
2021-05-01,738.0,1097862.0,386703.0
2021-05-02,690.0,1099460.0,387447.0
2021-05-03,556.0,1106071.0,392546.0
2021-05-04,600.0,1150564.0,422511.0
2021-05-05,526.0,1167719.0,434114.0
2021-05-06,492.0,1201258.0,450524.0
2021-05-07,519.0,1262703.0,467785.0
2021-05-08,530.0,1273666.0,470054.0
2021-05-09,661.0,1296440.0,513454.0
2021-05-10,818.0,1365992.0,532462.0
2021-05-11,742.0,1372013.0,563552.0
2021-05-12,898.0,1395130.0,645233.0
2021-05-13,968.0,1416732.0,708300.0
2021-05-14,902.0,0.0,0.0
2021-05-15,970.0,0.0,0.0
2021-05-16,930.0,1482702.0,781606.0
2021-05-17,906.0,1521034.0,819961.0
2021-05-18,1044.0,1585773.0,859872.0
2021-05-19,1023.0,1647871.0,892245.0
2021-05-20,1071.0,1726431.0,921825.0
2021-05-21,1310.0,1849393.0,962156.0
2021-05-22,1325.0,1898332.0,966759.0
2021-05-23,1323.0,1941565.0,969099.0
2021-05-24,1399.0,2044123.0,980190.0
2021-05-25,1436.0,2157609.0,989618.0
2021-05-26,1369.0,2214721.0,994161.0
2021-05-27,1450.0,0.0,0.0
2021-05-28,1417.0,2415903.0,1088222.0
2021-05-29,1398.0,2453807.0,1094523.0
2021-05-30,1431.0,2498929.0,1110953.0
