Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-09,0.0,0.0,0.0
2021-03-10,339.0,0.0,0.0
2021-03-11,339.0,0.0,0.0
2021-03-12,339.0,0.0,0.0
2021-03-13,339.0,0.0,0.0
2021-03-14,339.0,0.0,0.0
2021-03-15,339.0,0.0,0.0
2021-03-16,339.0,0.0,0.0
2021-03-17,339.0,0.0,0.0
2021-03-18,339.0,0.0,0.0
2021-03-19,339.0,0.0,0.0
2021-03-20,339.0,0.0,0.0
2021-03-21,339.0,0.0,0.0
2021-03-22,339.0,0.0,0.0
2021-03-23,339.0,0.0,0.0
2021-03-24,339.0,42092.0,0.0
2021-03-25,337.0,0.0,0.0
2021-03-26,336.0,0.0,0.0
2021-03-27,334.0,0.0,0.0
2021-03-28,332.0,0.0,0.0
2021-03-29,331.0,0.0,0.0
2021-03-30,329.0,0.0,0.0
2021-03-31,327.0,0.0,0.0
2021-04-01,327.0,0.0,0.0
2021-04-02,327.0,0.0,0.0
2021-04-03,327.0,0.0,0.0
2021-04-04,327.0,0.0,0.0
2021-04-05,327.0,0.0,0.0
2021-04-06,327.0,0.0,0.0
2021-04-07,327.0,0.0,0.0
2021-04-08,327.0,82753.0,0.0
2021-04-09,340.0,0.0,0.0
2021-04-10,353.0,0.0,0.0
2021-04-11,366.0,0.0,0.0
2021-04-12,378.0,0.0,0.0
2021-04-13,391.0,100000.0,0.0
2021-04-14,603.0,0.0,0.0
2021-04-15,815.0,0.0,0.0
2021-04-16,1015.0,0.0,0.0
2021-04-17,1214.0,160000.0,0.0
2021-04-18,1214.0,0.0,0.0
2021-04-19,1214.0,0.0,0.0
2021-04-20,1214.0,0.0,0.0
2021-04-21,1015.0,0.0,0.0
2021-04-22,816.0,0.0,0.0
2021-04-23,616.0,0.0,0.0
2021-04-24,417.0,0.0,0.0
2021-04-25,417.0,0.0,0.0
2021-04-26,417.0,0.0,0.0
2021-04-27,417.0,0.0,0.0
2021-04-28,417.0,0.0,0.0
2021-04-29,417.0,0.0,0.0
2021-04-30,417.0,0.0,0.0
2021-05-01,417.0,0.0,0.0
2021-05-02,417.0,0.0,0.0
2021-05-03,417.0,0.0,0.0
2021-05-04,417.0,0.0,0.0
2021-05-05,417.0,0.0,0.0
2021-05-06,417.0,0.0,0.0
2021-05-07,417.0,0.0,0.0
2021-05-08,417.0,0.0,0.0
2021-05-09,417.0,0.0,0.0
2021-05-10,417.0,0.0,0.0
2021-05-11,417.0,0.0,0.0
2021-05-12,417.0,0.0,0.0
2021-05-13,417.0,0.0,0.0
2021-05-14,417.0,0.0,0.0
2021-05-15,417.0,0.0,0.0
2021-05-16,417.0,0.0,0.0
2021-05-17,417.0,0.0,0.0
2021-05-18,417.0,0.0,0.0
2021-05-19,417.0,0.0,0.0
2021-05-20,417.0,0.0,0.0
2021-05-21,417.0,0.0,0.0
2021-05-22,417.0,0.0,0.0
2021-05-23,417.0,0.0,0.0
2021-05-24,417.0,0.0,0.0
2021-05-25,417.0,0.0,0.0
2021-05-26,417.0,0.0,0.0
2021-05-27,417.0,0.0,0.0
2021-05-28,417.0,0.0,0.0
2021-05-29,417.0,0.0,0.0
2021-05-30,417.0,0.0,0.0
2021-05-31,417.0,270784.0,41154.0
