Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-02-15,0.0,0.0,0.0
2021-02-16,45.0,0.0,0.0
2021-02-17,45.0,0.0,0.0
2021-02-18,45.0,0.0,0.0
2021-02-19,45.0,0.0,0.0
2021-02-20,45.0,0.0,0.0
2021-02-21,45.0,0.0,0.0
2021-02-22,45.0,440.0,0.0
2021-02-23,50.0,0.0,0.0
2021-02-24,54.0,0.0,0.0
2021-02-25,59.0,0.0,0.0
2021-02-26,64.0,0.0,0.0
2021-02-27,69.0,991.0,0.0
2021-02-28,72.0,0.0,0.0
2021-03-01,76.0,0.0,0.0
2021-03-02,74.0,0.0,0.0
2021-03-03,72.0,0.0,0.0
2021-03-04,71.0,0.0,0.0
2021-03-05,69.0,0.0,0.0
2021-03-06,68.0,0.0,0.0
2021-03-07,68.0,0.0,0.0
2021-03-08,68.0,0.0,0.0
2021-03-09,68.0,0.0,0.0
2021-03-10,68.0,0.0,0.0
2021-03-11,68.0,0.0,0.0
2021-03-12,68.0,0.0,0.0
2021-03-13,68.0,0.0,0.0
2021-03-14,68.0,0.0,0.0
2021-03-15,68.0,0.0,0.0
2021-03-16,68.0,0.0,0.0
2021-03-17,68.0,0.0,0.0
2021-03-18,68.0,0.0,0.0
2021-03-19,68.0,0.0,0.0
2021-03-20,68.0,0.0,0.0
2021-03-21,68.0,0.0,0.0
2021-03-22,68.0,0.0,0.0
2021-03-23,68.0,0.0,0.0
2021-03-24,68.0,0.0,0.0
2021-03-25,68.0,0.0,0.0
2021-03-26,68.0,0.0,0.0
2021-03-27,68.0,0.0,0.0
2021-03-28,68.0,0.0,0.0
2021-03-29,68.0,0.0,0.0
2021-03-30,68.0,0.0,0.0
2021-03-31,68.0,0.0,0.0
2021-04-01,68.0,0.0,0.0
2021-04-02,68.0,0.0,0.0
2021-04-03,68.0,0.0,0.0
2021-04-04,68.0,0.0,0.0
2021-04-05,68.0,0.0,0.0
2021-04-06,68.0,0.0,0.0
2021-04-07,68.0,0.0,0.0
2021-04-08,68.0,4777.0,0.0
2021-04-09,179.0,0.0,0.0
2021-04-10,291.0,0.0,0.0
2021-04-11,402.0,0.0,0.0
2021-04-12,514.0,0.0,0.0
2021-04-13,625.0,0.0,0.0
2021-04-14,737.0,0.0,0.0
2021-04-15,848.0,13087.0,0.0
2021-04-16,966.0,15425.0,0.0
2021-04-17,945.0,16414.0,0.0
2021-04-18,830.0,16462.0,0.0
2021-04-19,834.0,17695.0,0.0
2021-04-20,895.0,19475.0,0.0
2021-04-21,952.0,21231.0,0.0
2021-04-22,1123.0,24086.0,0.0
2021-04-23,1253.0,27697.0,0.0
2021-04-24,1469.0,30808.0,0.0
2021-04-25,1826.0,34353.0,0.0
2021-04-26,2435.0,41549.0,0.0
2021-04-27,2266.0,41669.0,0.0
2021-04-28,2129.0,42082.0,0.0
2021-04-29,1844.0,42154.0,0.0
2021-04-30,1506.0,42455.0,0.0
2021-05-01,1189.0,42455.0,0.0
2021-05-02,827.0,42455.0,0.0
2021-05-03,333.0,44810.0,0.0
2021-05-04,1001.0,51283.0,196.0
2021-05-05,1375.0,55259.0,288.0
2021-05-06,1641.0,57744.0,480.0
2021-05-07,1748.0,58981.0,605.0
2021-05-08,1866.0,59786.0,946.0
2021-05-09,1905.0,60174.0,946.0
2021-05-10,1688.0,60245.0,1100.0
2021-05-11,1040.0,60487.0,1179.0
2021-05-12,635.0,60585.0,1179.0
2021-05-13,367.0,60645.0,1179.0
2021-05-14,231.0,60669.0,1179.0
2021-05-15,114.0,60671.0,1179.0
2021-05-16,74.0,60671.0,1179.0
2021-05-17,51.0,60671.0,1179.0
2021-05-18,134.0,61806.0,1179.0
2021-05-19,124.0,61806.0,1179.0
2021-05-20,119.0,61806.0,1179.0
2021-05-21,173.0,62360.0,1179.0
2021-05-22,405.0,64639.0,1179.0
2021-05-23,574.0,66299.0,1179.0
2021-05-24,679.0,67324.0,1179.0
2021-05-25,1053.0,72120.0,1179.0
2021-05-26,1407.0,75586.0,1179.0
2021-05-27,1682.0,78282.0,1179.0
2021-05-28,2301.0,84900.0,1179.0
2021-05-29,2677.0,90865.0,1179.0
2021-05-30,2755.0,93293.0,1179.0
2021-05-31,2792.0,94671.0,1179.0
