Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-12,0.0,0.0,0.0
2021-03-13,63.0,743.0,0.0
2021-03-14,88.0,2076.0,0.0
2021-03-15,72.0,2555.0,0.0
2021-03-16,77.0,0.0,0.0
2021-03-17,80.0,0.0,0.0
2021-03-18,82.0,0.0,0.0
2021-03-19,83.0,6861.0,0.0
2021-03-20,108.0,0.0,0.0
2021-03-21,126.0,12496.0,0.0
2021-03-22,187.0,18020.0,0.0
2021-03-23,223.0,22040.0,0.0
2021-03-24,270.0,0.0,0.0
2021-03-25,317.0,32026.0,0.0
2021-03-26,387.0,38853.0,0.0
2021-03-27,419.0,44311.0,0.0
2021-03-28,438.0,0.0,0.0
2021-03-29,424.0,53089.0,0.0
2021-03-30,429.0,0.0,0.0
2021-03-31,422.0,0.0,0.0
2021-04-01,415.0,0.0,0.0
2021-04-02,386.0,70769.0,0.0
2021-04-03,433.0,80140.0,0.0
2021-04-04,482.0,88543.0,0.0
2021-04-05,544.0,98057.0,0.0
2021-04-06,573.0,104922.0,0.0
2021-04-07,608.0,108266.0,3988.0
2021-04-08,706.0,119919.0,4860.0
2021-04-09,720.0,125395.0,4979.0
2021-04-10,759.0,134901.0,8031.0
2021-04-11,799.0,146284.0,8363.0
2021-04-12,822.0,157617.0,8476.0
2021-04-13,852.0,166959.0,8480.0
2021-04-14,855.0,174534.0,8491.0
2021-04-15,808.0,180829.0,10796.0
2021-04-16,878.0,0.0,0.0
2021-04-17,865.0,0.0,0.0
2021-04-18,861.0,192881.0,33019.0
2021-04-19,886.0,197437.0,41961.0
2021-04-20,934.0,204975.0,47697.0
2021-04-21,995.0,214150.0,51215.0
2021-04-22,1067.0,225834.0,54056.0
2021-04-23,1088.0,235977.0,57096.0
2021-04-24,1114.0,244387.0,62225.0
2021-04-25,1138.0,254096.0,65913.0
2021-04-26,1131.0,263189.0,69811.0
2021-04-27,1127.0,271129.0,74785.0
2021-04-28,1129.0,277918.0,80828.0
2021-04-29,1034.0,0.0,0.0
2021-04-30,955.0,282121.0,89962.0
2021-05-01,1133.0,305484.0,94880.0
2021-05-02,1158.0,314357.0,101444.0
2021-05-03,1106.0,320652.0,103833.0
2021-05-04,1051.0,325740.0,107138.0
2021-05-05,1036.0,330794.0,113696.0
2021-05-06,1114.0,333779.0,123789.0
2021-05-07,1289.0,340979.0,137776.0
2021-05-08,1197.0,350426.0,148943.0
2021-05-09,1242.0,362101.0,156437.0
2021-05-10,1365.0,372240.0,165140.0
2021-05-11,1343.0,0.0,0.0
2021-05-12,1283.0,0.0,0.0
2021-05-13,1205.0,0.0,0.0
2021-05-14,1029.0,0.0,0.0
2021-05-15,860.0,392067.0,178486.0
2021-05-16,984.0,414023.0,185946.0
2021-05-17,1097.0,432600.0,195507.0
2021-05-18,1355.0,450177.0,205900.0
2021-05-19,1614.0,466895.0,217278.0
2021-05-20,1863.0,0.0,0.0
2021-05-21,2112.0,494901.0,243766.0
2021-05-22,2359.0,512110.0,253641.0
2021-05-23,2280.0,528834.0,259744.0
2021-05-24,2188.0,542349.0,266814.0
2021-05-25,2124.0,560195.0,271629.0
2021-05-26,2046.0,578435.0,274997.0
2021-05-27,1987.0,597677.0,278131.0
2021-05-28,1939.0,616962.0,282147.0
2021-05-29,1899.0,633524.0,289314.0
2021-05-30,1861.0,644138.0,298394.0
