Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-01-13,0.0,0.0,0.0
2021-01-14,3313.0,0.0,0.0
2021-01-15,3656.0,0.0,0.0
2021-01-16,2675.0,0.0,0.0
2021-01-17,2094.0,0.0,0.0
2021-01-18,1974.0,0.0,0.0
2021-01-19,1879.0,0.0,0.0
2021-01-20,1783.0,0.0,0.0
2021-01-21,1424.0,0.0,0.0
2021-01-22,992.0,0.0,0.0
2021-01-23,932.0,0.0,0.0
2021-01-24,912.0,0.0,0.0
2021-01-25,797.0,0.0,0.0
2021-01-26,779.0,0.0,0.0
2021-01-27,796.0,0.0,0.0
2021-01-28,978.0,0.0,0.0
2021-01-29,1230.0,0.0,0.0
2021-01-30,1243.0,0.0,0.0
2021-01-31,1256.0,0.0,0.0
2021-02-01,1412.0,0.0,0.0
2021-02-02,1387.0,0.0,0.0
2021-02-03,1390.0,0.0,0.0
2021-02-04,1361.0,0.0,0.0
2021-02-05,1070.0,0.0,0.0
2021-02-06,1086.0,0.0,0.0
2021-02-07,1057.0,0.0,0.0
2021-02-08,894.0,0.0,0.0
2021-02-09,853.0,0.0,0.0
2021-02-10,765.0,0.0,0.0
2021-02-11,585.0,0.0,0.0
2021-02-12,1431.0,3067822.0,336532.0
2021-02-13,1877.0,3253005.0,456891.0
2021-02-14,2057.0,3336164.0,488937.0
2021-02-15,2571.0,3608148.0,573879.0
2021-02-16,3215.0,3984622.0,646162.0
2021-02-17,4113.0,4477432.0,746170.0
2021-02-18,5165.0,5028179.0,867116.0
2021-02-19,5009.0,5384983.0,976716.0
2021-02-20,4783.0,5503094.0,1030416.0
2021-02-21,4653.0,5517993.0,1053837.0
2021-02-22,4498.0,5738471.0,1098831.0
2021-02-23,4503.0,6106522.0,1182976.0
2021-02-24,4059.0,6352410.0,1267285.0
2021-02-25,3531.0,6582239.0,1397487.0
2021-02-26,3281.0,6745147.0,1553658.0
2021-02-27,3356.0,6854642.0,1660133.0
2021-02-28,3347.0,6869923.0,1677952.0
2021-03-01,3282.0,6975558.0,1799160.0
2021-03-02,3022.0,7123722.0,1949918.0
2021-03-03,2876.0,7240515.0,2077031.0
2021-03-04,2677.0,7353536.0,2206502.0
2021-03-05,2469.0,7446337.0,2309952.0
2021-03-06,2319.0,7509923.0,2373684.0
2021-03-07,2320.0,7524943.0,2392405.0
2021-03-08,2079.0,7565023.0,2436957.0
2021-03-09,1947.0,7676519.0,2546475.0
2021-03-10,1766.0,7745480.0,2614803.0
2021-03-11,1596.0,7807838.0,2694656.0
2021-03-12,1670.0,7858565.0,2883712.0
2021-03-13,1761.0,7887544.0,3035740.0
2021-03-14,1820.0,7892795.0,3099300.0
2021-03-15,2134.0,7911946.0,3349666.0
2021-03-16,2496.0,7948320.0,3747976.0
2021-03-17,3018.0,7977222.0,4165023.0
2021-03-18,3267.0,7991510.0,4439972.0
2021-03-19,3561.0,8007734.0,4836843.0
2021-03-20,3568.0,8016078.0,5013676.0
2021-03-21,3499.0,8017698.0,5040024.0
2021-03-22,3395.0,8045789.0,5220163.0
2021-03-23,3206.0,8091685.0,5497482.0
2021-03-24,3096.0,8133043.0,5836824.0
2021-03-25,3042.0,8163156.0,6064254.0
2021-03-26,2789.0,8195554.0,6295693.0
2021-03-27,2749.0,8217124.0,6435535.0
2021-03-28,2953.0,0.0,0.0
2021-03-29,2851.0,8370872.0,6578388.0
2021-03-30,2900.0,8614368.0,6687094.0
2021-03-31,3159.0,8994454.0,6840333.0
2021-04-01,3254.0,9206500.0,6942183.0
2021-04-02,3093.0,9313746.0,7003424.0
2021-04-03,3303.0,9478896.0,7124023.0
2021-04-04,3188.0,9546643.0,7136424.0
2021-04-05,3463.0,9796506.0,7197068.0
2021-04-06,3500.0,10088238.0,7279637.0
2021-04-07,3168.0,10359390.0,7345498.0
2021-04-08,3288.0,10627037.0,7462746.0
2021-04-09,3393.0,10777451.0,7542933.0
2021-04-10,3121.0,10865731.0,7579623.0
2021-04-11,3069.0,10907432.0,7587364.0
2021-04-12,2940.0,11108847.0,7620131.0
2021-04-13,2871.0,11388406.0,7674352.0
2021-04-14,2656.0,11556291.0,7716384.0
2021-04-15,2296.0,11708135.0,7737134.0
2021-04-16,2526.0,12038403.0,7773371.0
2021-04-17,2527.0,12151728.0,7785631.0
2021-04-18,2499.0,12182430.0,7787785.0
2021-04-19,2281.0,12260361.0,7815143.0
2021-04-20,2067.0,12426580.0,7856647.0
2021-04-21,2041.0,12590582.0,7887103.0
2021-04-22,2174.0,12796678.0,7932297.0
2021-04-23,1822.0,12940482.0,7946945.0
2021-04-24,1916.0,13114373.0,7954030.0
2021-04-25,1966.0,13171984.0,7958979.0
2021-04-26,2235.0,13287707.0,8107078.0
2021-04-27,2363.0,13383037.0,8295424.0
2021-04-28,2804.0,13512810.0,8619993.0
2021-04-29,3115.0,13646398.0,8921774.0
2021-04-30,3268.0,13712254.0,9104637.0
2021-05-01,3101.0,13752107.0,9146939.0
2021-05-02,3177.0,13800405.0,9206329.0
2021-05-03,3218.0,13933868.0,9360609.0
2021-05-04,3473.0,14132161.0,9596952.0
2021-05-05,3339.0,14264014.0,9839869.0
2021-05-06,3218.0,14391595.0,10076124.0
2021-05-07,3175.0,14476881.0,10214163.0
2021-05-08,3310.0,14545524.0,10307829.0
2021-05-09,3239.0,14585980.0,10332793.0
2021-05-10,2920.0,14618167.0,10399911.0
2021-05-11,2455.0,14660551.0,10518123.0
2021-05-12,2109.0,14711273.0,10637602.0
2021-05-13,1583.0,14732527.0,10669750.0
2021-05-14,1475.0,14814316.0,10747682.0
2021-05-15,1413.0,14895052.0,10792375.0
2021-05-16,1446.0,14947740.0,10825003.0
2021-05-17,1580.0,14986982.0,10963952.0
2021-05-18,2301.0,15202819.0,11334344.0
2021-05-19,2494.0,15366071.0,11455389.0
2021-05-20,2848.0,15511277.0,11572097.0
2021-05-21,3698.0,15871547.0,11873853.0
2021-05-22,3610.0,15919759.0,11899188.0
2021-05-23,3855.0,16045835.0,12002892.0
2021-05-24,3744.0,16115588.0,12045647.0
2021-05-25,3152.0,16255095.0,12142752.0
2021-05-26,2862.0,16320454.0,12190879.0
2021-05-27,2578.0,16377100.0,12228353.0
2021-05-28,1668.0,16452864.0,12277313.0
2021-05-29,1666.0,16498868.0,12303813.0
2021-05-30,1545.0,16551775.0,12409186.0
2021-05-31,1711.0,16628831.0,12542712.0
