Dates vaccination,Vaccines per millon,Total vaccintaed,Total full vaccinated
2021-03-09,0.0,0.0,0.0
2021-03-10,7.0,0.0,0.0
2021-03-11,7.0,0.0,0.0
2021-03-12,7.0,1015.0,0.0
2021-03-13,7.0,1215.0,0.0
2021-03-14,5.0,1215.0,0.0
2021-03-15,10.0,2841.0,0.0
2021-03-16,15.0,4684.0,0.0
2021-03-17,24.0,7920.0,0.0
2021-03-18,39.0,13027.0,0.0
2021-03-19,52.0,17543.0,0.0
2021-03-20,56.0,19008.0,0.0
2021-03-21,70.0,23527.0,0.0
2021-03-22,72.0,25860.0,0.0
2021-03-23,87.0,32526.0,0.0
2021-03-24,120.0,46444.0,0.0
2021-03-25,105.0,46664.0,0.0
2021-03-26,91.0,46664.0,0.0
2021-03-27,128.0,60139.0,0.0
2021-03-28,144.0,69701.0,0.0
2021-03-29,172.0,80836.0,0.0
2021-03-30,180.0,90196.0,0.0
2021-03-31,161.0,0.0,0.0
2021-04-01,185.0,0.0,0.0
2021-04-02,210.0,0.0,0.0
2021-04-03,192.0,0.0,0.0
2021-04-04,187.0,129634.0,0.0
2021-04-05,179.0,138064.0,0.0
2021-04-06,168.0,144025.0,0.0
2021-04-07,204.0,163491.0,0.0
2021-04-08,220.0,176469.0,0.0
2021-04-09,203.0,0.0,0.0
2021-04-10,185.0,180969.0,0.0
2021-04-11,187.0,189409.0,0.0
2021-04-12,185.0,197299.0,0.0
2021-04-13,196.0,206708.0,0.0
2021-04-14,179.0,220893.0,0.0
2021-04-15,149.0,0.0,0.0
2021-04-16,153.0,227691.0,0.0
2021-04-17,161.0,232514.0,0.0
2021-04-18,157.0,239617.0,0.0
2021-04-19,152.0,245939.0,0.0
2021-04-20,146.0,253562.0,0.0
2021-04-21,148.0,268317.0,0.0
2021-04-22,146.0,0.0,0.0
2021-04-23,144.0,0.0,0.0
2021-04-24,137.0,276306.0,0.0
2021-04-25,158.0,0.0,0.0
2021-04-26,181.0,304030.0,0.0
2021-04-27,212.0,321350.0,0.0
2021-04-28,193.0,330077.0,0.0
2021-04-29,194.0,0.0,0.0
2021-04-30,196.0,0.0,0.0
2021-05-01,198.0,339607.0,0.0
2021-05-02,161.0,341819.0,0.0
2021-05-03,189.0,364582.0,0.0
2021-05-04,168.0,375283.0,0.0
2021-05-05,178.0,387024.0,0.0
2021-05-06,184.0,392146.0,0.0
2021-05-07,185.0,395805.0,0.0
2021-05-08,188.0,399746.0,0.0
2021-05-09,197.0,404972.0,0.0
2021-05-10,147.0,0.0,0.0
2021-05-11,135.0,418354.0,0.0
2021-05-12,113.0,423092.0,0.0
2021-05-13,108.0,0.0,0.0
2021-05-14,108.0,430301.0,0.0
2021-05-15,132.0,0.0,0.0
2021-05-16,151.0,453422.0,0.0
2021-05-17,172.0,466823.0,0.0
2021-05-18,186.0,0.0,0.0
2021-05-19,206.0,488986.0,0.0
2021-05-20,222.0,0.0,0.0
2021-05-21,239.0,506787.0,0.0
2021-05-22,223.0,511064.0,2274.0
2021-05-23,241.0,527917.0,2736.0
2021-05-24,233.0,537440.0,4129.0
2021-05-25,236.0,0.0,0.0
2021-05-26,238.0,565163.0,0.0
2021-05-27,247.0,577036.0,0.0
2021-05-28,249.0,0.0,0.0
2021-05-29,258.0,595924.0,0.0
